RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3492000.0,3328000.0,3116000.0,4534000.0,2849000.0,1247000.0,1104000.0,4853000.0,2974000.0,6.01E7,4.0999999999999994E8,
3484000.0,3328000.0,3108000.0,4525000.0,2843000.0,1245000.0,1104000.0,4853000.0,2973000.0,6.01E7,4.0999999999999994E8,
3482000.0,3326000.0,3107000.0,4509000.0,2809000.0,1243000.0,1104000.0,4853000.0,2973000.0,6.01E7,4.1009999999999994E8,
3481000.0,3326000.0,3107000.0,4496000.0,2781000.0,1243000.0,1104000.0,4853000.0,2973000.0,6.03E7,4.1009999999999994E8,
3480000.0,3324000.0,3087000.0,4481000.0,2570000.0,1237000.0,1101000.0,4846000.0,2971000.0,6.03E7,4.1029999999999994E8,
3480000.0,3324000.0,3087000.0,4471000.0,2552000.0,1237000.0,1101000.0,4846000.0,2971000.0,6.03E7,4.1039999999999994E8,
3479000.0,3324000.0,3087000.0,4451000.0,2546000.0,1235000.0,1100000.0,4846000.0,2971000.0,6.03E7,4.1039999999999994E8,
3558000.0,3322000.0,3087000.0,4443000.0,2493000.0,1235000.0,1100000.0,4846000.0,3177000.0,6.009E7,4.1029999999999994E8,
3553000.0,3322000.0,3086000.0,4430000.0,2460000.0,1235000.0,1100000.0,4846000.0,3177000.0,6.03E7,4.1039999999999994E8,
3552000.0,3320000.0,3069000.0,4422000.0,2446000.0,1235000.0,1100000.0,4846000.0,3177000.0,6.03E7,4.1039999999999994E8,
3552000.0,3320000.0,3069000.0,4417000.0,2426000.0,1233000.0,1100000.0,4846000.0,3177000.0,6.03E7,4.1039999999999994E8,
3541000.0,3319000.0,3069000.0,4416000.0,2426000.0,1233000.0,1100000.0,4846000.0,3177000.0,6.03E7,4.1039999999999994E8,
3547000.0,3316000.0,3068000.0,4395000.0,2405000.0,1232000.0,1100000.0,4845000.0,3326000.0,6.015E7,4.1039999999999994E8,
3556000.0,3316000.0,3067000.0,4362000.0,2384000.0,1232000.0,1100000.0,4845000.0,3388000.0,6.009E7,4.1039999999999994E8,
3550000.0,3312000.0,3065000.0,4357000.0,2365000.0,1231000.0,1100000.0,4845000.0,3388000.0,6.009E7,4.1049999999999994E8,
3547000.0,3305000.0,3043000.0,4324000.0,2309000.0,1225000.0,1100000.0,4845000.0,3388000.0,6.03E7,4.1059999999999994E8,
3547000.0,3305000.0,3029000.0,4304000.0,2275000.0,1224000.0,1100000.0,4845000.0,3388000.0,6.03E7,4.1059999999999994E8,
3546000.0,3305000.0,3029000.0,4280000.0,2264000.0,1222000.0,1098000.0,4845000.0,3388000.0,6.03E7,4.1059999999999994E8,
3577000.0,3304000.0,3029000.0,4271000.0,2244000.0,1220000.0,1098000.0,4845000.0,3453000.0,6.03E7,4.1059999999999994E8,
3575000.0,3297000.0,3028000.0,4259000.0,2062000.0,1216000.0,1096000.0,4844000.0,3452000.0,6.03E7,4.1079999999999994E8,
3591000.0,3297000.0,3028000.0,4259000.0,2062000.0,1216000.0,1096000.0,4844000.0,3525000.0,6.023E7,4.1079999999999994E8,
3612000.0,3296000.0,3028000.0,4246000.0,2051000.0,1214000.0,1095000.0,4844000.0,3579000.0,6.025E7,4.1079999999999994E8,
3676000.0,3293000.0,3027000.0,4232000.0,2051000.0,1214000.0,1095000.0,4844000.0,3761000.0,6.03E7,4.1069999999999994E8,
3676000.0,3293000.0,3027000.0,4222000.0,2051000.0,1214000.0,1095000.0,4844000.0,3761000.0,6.03E7,4.1069999999999994E8,
3692000.0,3290000.0,3013000.0,4211000.0,2021000.0,1214000.0,1095000.0,4844000.0,3839000.0,6.022E7,4.1069999999999994E8,
3745000.0,3290000.0,3013000.0,4206000.0,2021000.0,1214000.0,1095000.0,4844000.0,3931000.0,6.013E7,4.1069999999999994E8,
3752000.0,3288000.0,3013000.0,4202000.0,2015000.0,1212000.0,1095000.0,4844000.0,4050000.0,6.001E7,4.1069999999999994E8,
3742000.0,3284000.0,3012000.0,4188000.0,1990000.0,1212000.0,1095000.0,4844000.0,4050000.0,6.03E7,4.1069999999999994E8,
3742000.0,3284000.0,3012000.0,4173000.0,1990000.0,1212000.0,1095000.0,4844000.0,4050000.0,6.03E7,4.1069999999999994E8,
3775000.0,3284000.0,3012000.0,4154000.0,1980000.0,1210000.0,1093000.0,4844000.0,4255000.0,6.009E7,4.1069999999999994E8,
3772000.0,3281000.0,3011000.0,4135000.0,1956000.0,1209000.0,1091000.0,4844000.0,4255000.0,6.03E7,4.1069999999999994E8,
3855000.0,3282000.0,3014000.0,4131000.0,1959000.0,1223000.0,1074000.0,4902000.0,4239000.0,6.031E7,4.1059999999999994E8,
3848000.0,3281000.0,3019000.0,4123000.0,1948000.0,1200000.0,1092000.0,5053000.0,4071000.0,6.031E7,4.1069999999999994E8,
3822000.0,3280000.0,3007000.0,4127000.0,1980000.0,1174000.0,1094000.0,5217000.0,3884000.0,6.033E7,4.1069999999999994E8,
3786000.0,3279000.0,3012000.0,4160000.0,1989000.0,1172000.0,1093000.0,5267000.0,3854000.0,6.027E7,4.1069999999999994E8,
3806000.0,3285000.0,3013000.0,4141000.0,1995000.0,1165000.0,1173000.0,5363000.0,3799000.0,6.015E7,4.1059999999999994E8,
3835000.0,3282000.0,3016000.0,4124000.0,1995000.0,1170000.0,1185000.0,5345000.0,3830000.0,6.011E7,4.1059999999999994E8,
3819000.0,3294000.0,3020000.0,4119000.0,1995000.0,1164000.0,1196000.0,5490000.0,3611000.0,6.017E7,4.1059999999999994E8,
3814000.0,3294000.0,3021000.0,4113000.0,1995000.0,1170000.0,1222000.0,5476000.0,3520000.0,6.031E7,4.1059999999999994E8,
3833000.0,3287000.0,3025000.0,4105000.0,1982000.0,1171000.0,1219000.0,5530000.0,3586000.0,6.017E7,4.1059999999999994E8,
3823000.0,3292000.0,3027000.0,4088000.0,1977000.0,1174000.0,1227000.0,5535000.0,3566000.0,6.017E7,4.1059999999999994E8,
