entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8685,0.4143,0.01129,0.008892,0.009367,0.01004,0.007528,0.00484,0.003546,0.005854,0.008243,0.1868,0.7436,
0.8679,0.3987,0.01125,0.008892,0.009316,0.01003,0.007495,0.004832,0.003541,0.005854,0.008243,0.1868,0.7437,
0.8672,0.4011,0.01125,0.008889,0.009293,0.01,0.007388,0.00483,0.00354,0.005853,0.008242,0.1868,0.7439,
0.8663,0.4019,0.01116,0.008882,0.00929,0.01,0.007287,0.00483,0.003541,0.005854,0.008243,0.1868,0.7441,
0.8666,0.3996,0.01122,0.008881,0.009267,0.009988,0.007287,0.00483,0.003541,0.005854,0.00832,0.1868,0.7441,
0.8681,0.3966,0.0113,0.008869,0.009266,0.009988,0.007287,0.00483,0.003541,0.005854,0.008716,0.1864,0.744,
0.868,0.4032,0.0113,0.008869,0.009266,0.009974,0.007287,0.00483,0.003541,0.005854,0.008716,0.1864,0.744,
0.8705,0.4122,0.0116,0.008869,0.009265,0.009917,0.00724,0.00483,0.00354,0.005854,0.009259,0.1858,0.7438,
0.8712,0.409,0.01159,0.00886,0.009255,0.00988,0.007232,0.004825,0.003536,0.005848,0.00925,0.1867,0.7431,
0.8718,0.4039,0.01169,0.00886,0.009254,0.009867,0.007214,0.00482,0.003536,0.005848,0.009355,0.1866,0.743,
0.8722,0.4015,0.01186,0.008857,0.009252,0.00984,0.007015,0.004814,0.003536,0.005846,0.009548,0.1866,0.7428,
0.8727,0.3985,0.01196,0.008857,0.009252,0.009814,0.006996,0.004809,0.003536,0.005846,0.009646,0.1865,0.7428,
0.8732,0.3955,0.01193,0.008852,0.009249,0.009775,0.006979,0.004804,0.00353,0.005845,0.009815,0.1866,0.7426,
0.8731,0.3933,0.01193,0.008852,0.009249,0.00976,0.006979,0.004804,0.00353,0.005845,0.009816,0.1866,0.7426,
0.8753,0.3869,0.01193,0.008849,0.009246,0.009718,0.006976,0.004804,0.00353,0.005845,0.01067,0.1858,0.7427,
