entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8664,0.4172,0.01091,0.008878,0.009406,0.01005,0.007475,0.004842,0.003547,0.005856,0.008246,0.1865,0.7443,
0.8663,0.4105,0.0108,0.008875,0.009403,0.01004,0.007472,0.00484,0.003546,0.005854,0.008243,0.1868,0.7441,
0.8648,0.4088,0.01054,0.008838,0.009399,0.01003,0.007422,0.00484,0.003546,0.005854,0.008243,0.1868,0.7445,
0.864,0.408,0.01052,0.008821,0.009352,0.01001,0.007363,0.00484,0.003546,0.005854,0.008243,0.1868,0.7446,
0.8631,0.3913,0.0104,0.008799,0.009352,0.009993,0.007306,0.004836,0.003546,0.005855,0.008243,0.1868,0.7448,
0.8609,0.3938,0.009989,0.008773,0.009334,0.009942,0.007302,0.004835,0.003545,0.005854,0.008243,0.1868,0.7453,
0.8601,0.3917,0.009886,0.008772,0.009333,0.00992,0.007253,0.004835,0.003545,0.005854,0.008243,0.1869,0.7455,
0.8612,0.3894,0.01003,0.008771,0.009331,0.009876,0.007237,0.00483,0.003539,0.005853,0.008443,0.1868,0.7453,
0.8617,0.3912,0.01003,0.008763,0.009329,0.009876,0.007224,0.00483,0.003539,0.005853,0.008605,0.1867,0.7453,
0.863,0.3892,0.01023,0.008763,0.009329,0.009876,0.007193,0.00483,0.003539,0.005853,0.008813,0.1865,0.7451,
0.8655,0.391,0.0103,0.008759,0.009329,0.009876,0.00715,0.00483,0.003539,0.005853,0.009602,0.1857,0.7451,
0.864,0.3888,0.01008,0.008745,0.009275,0.009863,0.007107,0.00483,0.003539,0.005853,0.009602,0.1857,0.7454,
0.8613,0.4111,0.00952,0.008732,0.009271,0.009853,0.007088,0.004826,0.003539,0.005853,0.009602,0.1857,0.746,
0.8593,0.4031,0.009216,0.008708,0.00926,0.009808,0.007002,0.004826,0.003539,0.005853,0.009603,0.1857,0.7465,
0.8583,0.4014,0.009209,0.008706,0.009261,0.009787,0.006825,0.004822,0.003535,0.005854,0.009603,0.1857,0.7467,
0.8571,0.3966,0.009075,0.008696,0.009261,0.009787,0.006725,0.004813,0.003535,0.005854,0.009603,0.1857,0.747,
0.8549,0.3941,0.008756,0.008641,0.009261,0.009771,0.006617,0.004809,0.00353,0.005854,0.009604,0.1857,0.7475,
0.8542,0.4001,0.008679,0.008633,0.009261,0.009701,0.006616,0.004809,0.00353,0.005854,0.009604,0.1857,0.7476,
0.8536,0.3997,0.008677,0.008633,0.009261,0.009613,0.006564,0.004809,0.00353,0.005854,0.009604,0.1857,0.7477,
0.8545,0.3987,0.008667,0.008623,0.00925,0.009588,0.006557,0.004803,0.003525,0.005847,0.009593,0.1867,0.7469,
0.8541,0.3767,0.008666,0.008622,0.009186,0.009563,0.006557,0.004803,0.003525,0.005847,0.009593,0.1867,0.747,
0.8537,0.3681,0.008623,0.008615,0.009185,0.00955,0.006529,0.004803,0.003525,0.005847,0.009593,0.1867,0.747,
0.8554,0.3684,0.008716,0.008607,0.009184,0.009547,0.006479,0.004803,0.003525,0.005847,0.01014,0.1861,0.747,
0.8566,0.3644,0.008832,0.008588,0.009175,0.009512,0.006403,0.004795,0.003522,0.005842,0.01033,0.1866,0.7464,
0.8563,0.3589,0.008832,0.008588,0.009175,0.009498,0.006353,0.004795,0.003522,0.005842,0.01033,0.1866,0.7465,
0.8557,0.3596,0.008778,0.008588,0.009175,0.009498,0.00628,0.004787,0.003522,0.005842,0.01033,0.1866,0.7466,
0.8536,0.3803,0.008575,0.008583,0.009108,0.009467,0.006121,0.004788,0.003523,0.005843,0.01033,0.1866,0.7471,
0.8528,0.3752,0.008574,0.008579,0.009106,0.00942,0.006011,0.004778,0.003518,0.005843,0.01033,0.1866,0.7472,
0.853,0.3648,0.008637,0.008575,0.009106,0.009369,0.005948,0.004778,0.003518,0.005843,0.01049,0.1864,0.7473,
0.8526,0.3656,0.008637,0.008575,0.009067,0.009369,0.005898,0.004778,0.003518,0.005843,0.01049,0.1864,0.7474,
0.8524,0.3724,0.008618,0.008575,0.009083,0.009368,0.005893,0.004784,0.003536,0.006031,0.01014,0.1866,0.7473,
0.8521,0.376,0.008595,0.008593,0.009089,0.009353,0.005869,0.004787,0.003558,0.006315,0.009756,0.1867,0.7474,
0.8519,0.3816,0.00858,0.008596,0.009103,0.009354,0.005846,0.004795,0.003537,0.006646,0.009428,0.1866,0.7475,
0.8517,0.393,0.008528,0.008598,0.009113,0.009394,0.006698,0.003942,0.003537,0.006929,0.009145,0.1866,0.7475,
0.8516,0.3787,0.008509,0.008606,0.009117,0.009372,0.006734,0.003918,0.003525,0.007107,0.008966,0.1866,0.7475,
0.8534,0.3768,0.008508,0.008608,0.009122,0.009358,0.00674,0.003889,0.003525,0.007384,0.009305,0.186,0.7476,
0.8533,0.3767,0.008331,0.008595,0.009128,0.009395,0.006771,0.003882,0.003492,0.007463,0.009215,0.1865,0.7472,
0.8552,0.3753,0.008412,0.008591,0.009139,0.00945,0.006723,0.003905,0.003469,0.007482,0.009713,0.186,0.7471,
0.8564,0.3807,0.008535,0.008592,0.009101,0.009417,0.006705,0.003911,0.003452,0.007762,0.009578,0.1862,0.7467,
0.856,0.4041,0.008529,0.008576,0.00911,0.009386,0.006659,0.003895,0.003521,0.007838,0.009434,0.1862,0.7468,
0.8587,0.3843,0.008769,0.008561,0.009126,0.009366,0.006676,0.003894,0.00352,0.008575,0.009139,0.186,0.7464,
0.861,0.3884,0.008893,0.008575,0.009134,0.009337,0.006675,0.003913,0.003501,0.008631,0.009667,0.1854,0.7462,
0.8614,0.375,0.00887,0.008578,0.009127,0.00932,0.006701,0.003852,0.003498,0.008806,0.009419,0.1862,0.7456,
0.8617,0.3778,0.008933,0.008577,0.009128,0.009313,0.006648,0.003863,0.003492,0.00894,0.009362,0.1861,0.7456,
0.8606,0.3827,0.008717,0.008578,0.009074,0.009319,0.006657,0.003853,0.003491,0.008939,0.009361,0.1862,0.7458,
0.8603,0.3755,0.008662,0.008585,0.009081,0.009306,0.006657,0.003853,0.003491,0.009036,0.009263,0.1862,0.7458,
0.8604,0.3993,0.008638,0.008592,0.009088,0.009316,0.006657,0.003872,0.003491,0.009188,0.009093,0.1862,0.7458,
0.861,0.4102,0.008729,0.008608,0.009096,0.009303,0.006656,0.003872,0.003491,0.009251,0.009098,0.1862,0.7457,
0.8618,0.3837,0.008796,0.008626,0.0091,0.009333,0.006642,0.003887,0.003468,0.009392,0.009088,0.186,0.7456,
0.8616,0.3747,0.008719,0.008634,0.009109,0.009379,0.006605,0.003905,0.003449,0.009423,0.009057,0.186,0.7457,
0.8615,0.3748,0.008662,0.008644,0.009112,0.00935,0.006582,0.003905,0.003449,0.009424,0.009168,0.1859,0.7458,
0.8612,0.37,0.008564,0.008623,0.009113,0.009342,0.00658,0.003904,0.003448,0.009459,0.009127,0.1862,0.7457,
0.8598,0.3872,0.008465,0.008623,0.009118,0.009342,0.006598,0.005589,0.001744,0.009693,0.008893,0.1862,0.7458,
0.8598,0.3836,0.008279,0.00861,0.009123,0.009319,0.006531,0.00562,0.001752,0.009815,0.009164,0.1858,0.746,
0.8597,0.4119,0.008258,0.008618,0.009133,0.009307,0.006574,0.005577,0.001752,0.01002,0.008962,0.1858,0.746,
0.8594,0.4074,0.008242,0.008611,0.009141,0.009308,0.006542,0.005575,0.001764,0.009989,0.008963,0.1858,0.7461,
0.8589,0.413,0.008161,0.008608,0.009147,0.009304,0.006421,0.005568,0.001763,0.01024,0.008703,0.1861,0.746,
0.8583,0.3915,0.008151,0.008607,0.009159,0.00929,0.006319,0.005544,0.001798,0.01027,0.008638,0.1861,0.7461,
0.858,0.3883,0.008213,0.008609,0.009169,0.00929,0.007547,0.004218,0.001794,0.01032,0.008709,0.186,0.7461,
0.8583,0.3823,0.008208,0.008609,0.009182,0.009301,0.007506,0.004182,0.001812,0.01042,0.008733,0.186,0.7461,
0.8575,0.3797,0.008199,0.008607,0.009142,0.009235,0.007438,0.004191,0.001812,0.0105,0.00864,0.186,0.7463,
0.8585,0.3812,0.008289,0.008617,0.009142,0.009218,0.007416,0.004171,0.001873,0.01061,0.0086,0.1861,0.746,
0.8589,0.381,0.008328,0.00861,0.009152,0.009164,0.007325,0.004209,0.001862,0.01064,0.008847,0.1858,0.7461,
0.8589,0.383,0.008306,0.008614,0.009156,0.009137,0.007343,0.004205,0.001915,0.01061,0.008812,0.1858,0.7461,
0.8587,0.3823,0.008298,0.008605,0.009127,0.00912,0.00734,0.004185,0.001928,0.01095,0.008442,0.186,0.746,
0.8572,0.3837,0.008264,0.008632,0.009134,0.00912,0.007102,0.004147,0.001937,0.01105,0.008313,0.186,0.7463,
0.8571,0.4192,0.008199,0.008626,0.009146,0.009135,0.007112,0.004137,0.001962,0.01102,0.008313,0.186,0.7463,
0.8566,0.3954,0.007964,0.008626,0.009118,0.009283,0.007125,0.004163,0.001985,0.01099,0.008276,0.186,0.7464,
0.8565,0.4151,0.007939,0.008645,0.009123,0.009271,0.007125,0.004163,0.002,0.01111,0.008147,0.186,0.7464,
0.8614,0.429,0.008126,0.008645,0.009122,0.009256,0.007125,0.004163,0.0077,0.005589,0.0082,0.1858,0.7463,
0.8611,0.4366,0.007905,0.008656,0.009132,0.009456,0.00711,0.004159,0.007714,0.005941,0.007752,0.1859,0.7463,
0.8605,0.425,0.007874,0.00866,0.009139,0.009415,0.007021,0.004158,0.007713,0.006124,0.007528,0.1861,0.7463,
0.8602,0.3829,0.007811,0.008678,0.009144,0.009429,0.006975,0.004158,0.007712,0.006328,0.007323,0.1861,0.7464,
0.8595,0.3878,0.007769,0.008679,0.009151,0.009425,0.006869,0.004157,0.007762,0.006436,0.007164,0.1861,0.7465,
0.8589,0.4143,0.007763,0.008675,0.009157,0.009413,0.006762,0.004139,0.007762,0.006785,0.006816,0.1861,0.7467,
