RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3645000.0,2870000.0,3036000.0,3242000.0,2396000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.03E7,2.3999999999999997E8,
3667000.0,2870000.0,3036000.0,3238000.0,2378000.0,1562000.0,1144000.0,1890000.0,2767000.0,6.019E7,2.3999999999999997E8,
3681000.0,2870000.0,3036000.0,3238000.0,2354000.0,1561000.0,1143000.0,1890000.0,2828000.0,6.024E7,2.3999999999999997E8,
3746000.0,2869000.0,3034000.0,3236000.0,2297000.0,1558000.0,1143000.0,1890000.0,2981000.0,6.028E7,2.3999999999999997E8,
3746000.0,2869000.0,3034000.0,3232000.0,2239000.0,1558000.0,1143000.0,1890000.0,2981000.0,6.028E7,2.4009999999999997E8,
3746000.0,2869000.0,3034000.0,3222000.0,2176000.0,1557000.0,1141000.0,1890000.0,2981000.0,6.028E7,2.4019999999999997E8,
3779000.0,2869000.0,3034000.0,3214000.0,2117000.0,1557000.0,1141000.0,1889000.0,3167000.0,6.009E7,2.4019999999999997E8,
3801000.0,2869000.0,3034000.0,3205000.0,2102000.0,1557000.0,1141000.0,1889000.0,3192000.0,6.007E7,2.4019999999999997E8,
3836000.0,2869000.0,3034000.0,3200000.0,2057000.0,1552000.0,1138000.0,1889000.0,3308000.0,5.995E7,2.4019999999999997E8,
3835000.0,2869000.0,3033000.0,3195000.0,1953000.0,1545000.0,1136000.0,1885000.0,3303000.0,5.995E7,2.4029999999999997E8,
3715000.0,2856000.0,3033000.0,3182000.0,1920000.0,1544000.0,1136000.0,1885000.0,3303000.0,6.03E7,2.4049999999999997E8,
3602000.0,2856000.0,3033000.0,3177000.0,1920000.0,1544000.0,1136000.0,1885000.0,3340000.0,6.026E7,2.4059999999999997E8,
3424000.0,2849000.0,3024000.0,3158000.0,1914000.0,1543000.0,1136000.0,1885000.0,3409000.0,6.023E7,2.4079999999999997E8,
3367000.0,2843000.0,3001000.0,3158000.0,1818000.0,1541000.0,1136000.0,1885000.0,3409000.0,6.023E7,2.4099999999999997E8,
