cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,FeCyCy,FeEnEr,FeEnPm,FeEnRabA,FeEnRabB,FeEnRabC,FeEnRabD,FeEnRabE,FeEnRabF,FeEnRabG,FeEnRabH,FeEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,TfEnEr,TfEnPm,TfEnRabA,TfEnRabB,TfEnRabC,TfEnRabD,TfEnRabE,TfEnRabF,TfEnRabG,TfEnRabH,TfEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02334,0.01398,0.01126,0.2711,0.03037,0.002094,0.007516,0.01716,0.006416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1320.0,290.2,142.2,73.84,5956.0,39.37,23.04,52.33,20.65,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,23720.0,11800.0,8242.0,295800.0,23320.0,1916.0,6103.0,15450.0,7244.0,8.809,1536.0,366.0,158.8,84.82,101.4,6.997,0.4214,1.241,3.593,4.007,2.061,1369.0,327.8,117.1,55.87,89.89,4.971,0.2881,0.9167,2.65,2.936,24.62,471.0,109.5,67.93,43.42,30.84,3.188,0.2002,0.5087,1.567,1.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,66.93,0.3562,0.2962,0.2531,4.83,1.085,0.05814,0.1929,0.4659,0.1309,3.595E-5,0.005353,2.05E-5,1.488E-5,1.097E-5,3.303E-4,2.746E-5,2.259E-6,6.579E-6,1.493E-5,6.033E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02355,0.01381,0.01098,0.2702,0.03057,0.0021,0.007445,0.01724,0.006422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1324.0,296.1,142.1,75.33,5913.0,40.04,23.35,52.19,20.71,25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,24170.0,11670.0,8077.0,294600.0,23440.0,1933.0,6067.0,15500.0,7362.0,8.809,1525.0,382.5,153.4,84.52,101.5,7.329,0.4177,1.226,3.589,3.965,2.061,1358.0,341.8,113.5,55.85,89.93,5.259,0.2852,0.9056,2.647,2.911,24.62,468.2,115.1,65.6,42.89,30.86,3.294,0.1986,0.5028,1.566,1.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,66.94,0.3572,0.2951,0.2407,4.813,1.089,0.05829,0.192,0.4672,0.1311,3.595E-5,0.005353,2.065E-5,1.467E-5,1.079E-5,3.291E-4,2.759E-5,2.274E-6,6.516E-6,1.501E-5,6.04E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.0236,0.01351,0.01092,0.2695,0.02866,0.002057,0.007478,0.01743,0.006527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1324.0,297.8,132.7,80.15,5915.0,39.63,22.93,54.3,22.47,28.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,24250.0,11320.0,8157.0,293900.0,22340.0,1888.0,6100.0,15620.0,7655.0,8.809,1526.0,380.2,157.9,80.74,101.3,6.976,0.4224,1.351,3.615,4.089,2.061,1360.0,340.1,117.3,52.62,89.63,4.98,0.2877,0.9974,2.661,2.998,24.62,468.8,114.2,67.08,41.58,30.92,3.164,0.2013,0.5578,1.584,1.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.02,0.3591,0.2901,0.2414,4.798,1.008,0.05719,0.1916,0.4721,0.1334,3.595E-5,0.005355,2.064E-5,1.437E-5,1.08E-5,3.282E-4,2.595E-5,2.226E-6,6.584E-6,1.518E-5,6.159E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02476,0.01385,0.009884,0.2674,0.02858,0.002004,0.007508,0.01744,0.007044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1328.0,328.0,159.0,49.33,5849.0,39.17,22.66,53.76,22.66,40.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,25270.0,11770.0,7161.0,291400.0,22280.0,1833.0,6118.0,15640.0,8390.0,8.809,1527.0,385.6,152.2,83.66,98.48,7.001,0.361,1.278,3.635,3.992,2.061,1360.0,344.0,113.4,54.16,87.95,5.005,0.2474,0.9463,2.68,2.938,24.62,469.0,116.6,64.42,43.29,29.45,3.171,0.1711,0.5258,1.589,1.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.03,0.385,0.2942,0.2192,4.755,1.006,0.05557,0.1927,0.4726,0.1443,3.595E-5,0.005356,2.192E-5,1.474E-5,9.637E-6,3.256E-4,2.588E-5,2.168E-6,6.605E-6,1.519E-5,6.9E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02486,0.01371,0.00988,0.2666,0.02826,0.002008,0.00747,0.0174,0.007084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1328.0,337.6,152.1,49.54,5852.0,39.69,23.03,54.32,22.56,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,25380.0,11690.0,7169.0,290200.0,22030.0,1845.0,6105.0,15590.0,8454.0,8.809,1530.0,385.2,150.5,83.79,98.39,6.098,0.362,1.309,3.622,3.994,2.061,1361.0,343.8,113.0,54.25,87.88,4.35,0.2484,0.9701,2.67,2.94,24.62,470.5,116.2,63.77,43.35,29.41,2.694,0.1714,0.5377,1.584,1.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.05,0.3864,0.2838,0.2192,4.737,0.9965,0.05561,0.1918,0.4718,0.1457,3.595E-5,0.005356,2.201E-5,1.465E-5,9.639E-6,3.244E-4,2.557E-5,2.176E-6,6.577E-6,1.515E-5,6.949E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02374,0.0145,0.00989,0.2663,0.02757,0.002003,0.007336,0.01752,0.007026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1328.0,301.7,184.0,53.18,5869.0,36.81,22.53,52.96,22.67,41.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,24450.0,12380.0,7181.0,289700.0,21690.0,1836.0,6008.0,15680.0,8439.0,8.809,1529.0,387.2,146.1,84.4,100.3,6.066,0.4336,1.347,3.668,4.204,2.061,1361.0,345.7,109.9,54.67,89.06,4.339,0.292,0.9909,2.7,3.07,24.62,470.4,116.8,61.82,43.63,30.42,2.671,0.2087,0.5591,1.607,1.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.06,0.3641,0.2998,0.2191,4.732,0.98,0.05588,0.1889,0.475,0.1445,3.595E-5,0.005356,2.092E-5,1.54E-5,9.634E-6,3.239E-4,2.522E-5,2.165E-6,6.451E-6,1.525E-5,6.892E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02476,14.28,0.02412,0.01264,0.009834,0.267,0.02752,0.001952,0.007339,0.01744,0.00693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1330.0,319.4,122.5,51.7,5922.0,37.18,21.95,53.3,22.02,39.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40900.0,9.475999999999999E25,24900.0,10660.0,7131.0,289800.0,21660.0,1806.0,6010.0,15610.0,8450.0,8.809,1530.0,384.1,155.1,83.16,96.37,6.366,0.2681,1.238,3.515,2.743,2.061,1361.0,343.2,116.7,53.82,86.06,4.575,0.1925,0.9266,2.588,1.877,24.62,470.6,115.6,65.52,43.06,28.81,2.783,0.1214,0.5006,1.542,1.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.07,0.3739,0.2596,0.2177,4.747,0.9782,0.05479,0.1888,0.4733,0.1438,3.595E-5,0.005356,2.138E-5,1.34E-5,9.571E-6,3.243E-4,2.518E-5,2.116E-6,6.453E-6,1.519E-5,6.806E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02475,14.28,0.0235,0.01221,0.009854,0.2678,0.02692,0.001926,0.007367,0.01727,0.007107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1333.0,308.7,109.6,52.57,5955.0,31.47,22.34,53.71,19.14,43.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40890.0,9.475999999999999E25,24360.0,10290.0,7159.0,290200.0,21260.0,1791.0,6046.0,15540.0,8683.0,8.809,1534.0,385.8,150.5,83.75,95.74,5.815,0.2544,1.25,3.454,2.711,2.061,1364.0,344.6,113.0,54.23,85.69,4.185,0.1843,0.9367,2.542,1.856,24.62,472.6,116.2,63.31,43.33,28.48,2.543,0.1141,0.5038,1.517,1.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.08,0.361,0.2482,0.2183,4.76,0.9682,0.05395,0.1899,0.4724,0.1452,3.595E-5,0.005357,2.071E-5,1.296E-5,9.598E-6,3.249E-4,2.461E-5,2.098E-6,6.478E-6,1.504E-5,6.964E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02475,14.28,0.02348,0.01212,0.009807,0.2669,0.02688,0.001917,0.007268,0.01729,0.007372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1333.0,305.7,109.9,51.9,5971.0,31.11,22.24,53.16,19.43,43.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40890.0,9.475999999999999E25,24260.0,10220.0,7104.0,289300.0,21230.0,1780.0,5974.0,15560.0,8788.0,8.809,1534.0,379.3,157.6,84.36,94.91,5.772,0.2118,1.148,3.414,2.551,2.061,1364.0,339.1,119.0,54.78,84.94,4.149,0.1489,0.8584,2.509,1.708,24.62,472.7,114.3,65.59,43.47,28.1,2.524,0.09566,0.4579,1.493,1.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.08,0.3327,0.2362,0.2142,4.779,0.9678,0.05445,0.1884,0.475,0.1523,3.595E-5,0.005357,2.031E-5,1.27E-5,9.48E-6,3.244E-4,2.458E-5,2.094E-6,6.408E-6,1.507E-5,7.203E-6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8E-6,0.02475,14.28,0.02344,0.01293,0.009776,0.2651,0.02687,0.002364,0.007525,0.01717,0.007253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287E-22,1333.0,306.2,122.7,49.06,5951.0,31.06,38.77,58.87,17.21,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,40890.0,9.475999999999999E25,24240.0,10610.0,7081.0,288100.0,21230.0,1962.0,6127.0,15460.0,8730.0,8.809,1535.0,379.1,156.0,84.76,95.46,5.785,0.2578,1.338,3.194,2.475,2.061,1365.0,338.8,118.1,55.08,85.2,4.159,0.1878,1.006,2.339,1.633,24.62,472.9,114.2,64.81,43.64,28.47,2.53,0.1109,0.531,1.411,1.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,67.08,0.3323,0.2438,0.214,4.751,0.9676,0.06244,0.1939,0.4727,0.151,3.595E-5,0.005357,2.039E-5,1.329E-5,9.461E-6,3.226E-4,2.457E-5,2.438E-6,6.616E-6,1.495E-5,7.125E-6,
