FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,701.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,801.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,901.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1701.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1801.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,1901.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2701.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2801.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,2901.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3701.0,342188.0,
