entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.3369,0.1882,0.002948,5.664E-4,2.128E-4,0.001264,7.905E-4,9.407E-5,4.382E-4,0.001291,9.889E-4,0.9142,0.07725,
0.3373,0.1858,0.003047,5.653E-4,2.122E-4,0.00126,7.826E-4,9.404E-5,4.382E-4,0.001291,0.001015,0.9141,0.07716,
0.3376,0.1883,0.003061,5.651E-4,2.121E-4,0.001258,7.751E-4,9.283E-5,4.382E-4,0.001291,0.001068,0.9141,0.07715,
0.3375,0.188,0.003058,5.651E-4,2.121E-4,0.001254,7.727E-4,9.156E-5,4.381E-4,0.001291,0.001067,0.9141,0.07715,
0.3375,0.1925,0.003057,5.648E-4,2.121E-4,0.001249,7.636E-4,9.154E-5,4.381E-4,0.001291,0.001067,0.9141,0.07716,
0.3375,0.1976,0.003068,5.633E-4,2.119E-4,0.001246,7.612E-4,9.153E-5,4.381E-4,0.001291,0.001081,0.9141,0.07715,
0.3376,0.1937,0.003066,5.622E-4,2.118E-4,0.001243,7.588E-4,9.074E-5,4.38E-4,0.001291,0.001094,0.9141,0.07715,
0.3378,0.1854,0.003063,5.607E-4,2.118E-4,0.001241,7.555E-4,9.053E-5,4.378E-4,0.001291,0.00114,0.9141,0.07715,
0.3377,0.1871,0.003058,5.593E-4,2.117E-4,0.001238,7.565E-4,8.952E-5,4.377E-4,0.001291,0.00114,0.9141,0.07715,
0.3377,0.1875,0.003056,5.585E-4,2.116E-4,0.001234,7.585E-4,8.75E-5,4.376E-4,0.001291,0.00114,0.9141,0.07715,
0.3376,0.189,0.003054,5.58E-4,2.115E-4,0.001229,7.585E-4,8.749E-5,4.376E-4,0.001291,0.00114,0.9141,0.07715,
0.3375,0.1851,0.003047,5.574E-4,2.114E-4,0.001225,7.529E-4,8.632E-5,4.375E-4,0.001291,0.00114,0.9141,0.07716,
0.3372,0.189,0.002973,5.547E-4,2.113E-4,0.00122,7.511E-4,8.449E-5,4.375E-4,0.001291,0.00114,0.9141,0.07724,
0.3371,0.1884,0.00294,5.539E-4,2.101E-4,0.001216,7.511E-4,8.448E-5,4.375E-4,0.001291,0.00114,0.9141,0.07728,
0.3369,0.1887,0.002902,5.525E-4,2.1E-4,0.001211,7.43E-4,8.448E-5,4.374E-4,0.001291,0.00114,0.9141,0.07732,
0.3367,0.1852,0.002877,5.498E-4,2.093E-4,0.00121,7.379E-4,8.447E-5,4.374E-4,0.001291,0.00114,0.9141,0.07735,
0.3365,0.1875,0.002816,5.443E-4,2.087E-4,0.001208,7.375E-4,8.447E-5,4.374E-4,0.001291,0.00114,0.9141,0.07742,
0.3364,0.1874,0.002793,5.435E-4,2.087E-4,0.001204,7.351E-4,8.445E-5,4.374E-4,0.001291,0.001139,0.9141,0.07744,
0.336,0.1813,0.002738,5.303E-4,2.082E-4,0.001201,7.784E-4,3.886E-5,4.374E-4,0.001291,0.001139,0.9141,0.07751,
0.3371,0.1689,0.003068,5.295E-4,2.081E-4,0.001196,7.783E-4,3.882E-5,4.373E-4,0.001291,0.001159,0.9141,0.07718,
0.3373,0.1648,0.003104,5.203E-4,2.077E-4,0.001192,7.783E-4,3.882E-5,4.373E-4,0.001291,0.001178,0.9141,0.07715,
0.3375,0.1674,0.00311,5.203E-4,2.076E-4,0.001192,7.753E-4,3.881E-5,4.372E-4,0.001291,0.00121,0.9141,0.07714,
0.3374,0.1639,0.003095,5.2E-4,2.076E-4,0.001187,7.675E-4,3.878E-5,4.372E-4,0.001291,0.00121,0.9141,0.07716,
0.3375,0.1613,0.003099,5.19E-4,2.075E-4,0.001182,7.651E-4,3.874E-5,4.371E-4,0.001291,0.001244,0.9141,0.07716,
