RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.894E7,3639000.0,1367000.0,8120000.0,5078000.0,604300.0,2815000.0,8296000.0,6353000.0,5.873E9,4.9629999999999994E8,
1.957E7,3632000.0,1363000.0,8095000.0,5028000.0,604200.0,2815000.0,8296000.0,6521000.0,5.873E9,4.9569999999999994E8,
1.966E7,3630000.0,1363000.0,8081000.0,4980000.0,596400.0,2815000.0,8296000.0,6859000.0,5.873E9,4.9569999999999994E8,
1.965E7,3630000.0,1363000.0,8058000.0,4965000.0,588300.0,2815000.0,8296000.0,6858000.0,5.873E9,4.9569999999999994E8,
1.964E7,3629000.0,1363000.0,8027000.0,4906000.0,588100.0,2815000.0,8296000.0,6856000.0,5.873E9,4.9569999999999994E8,
1.971E7,3619000.0,1362000.0,8008000.0,4890000.0,588100.0,2815000.0,8296000.0,6944000.0,5.873E9,4.9569999999999994E8,
1.97E7,3612000.0,1361000.0,7988000.0,4875000.0,583000.0,2814000.0,8296000.0,7031000.0,5.873E9,4.9569999999999994E8,
1.968E7,3602000.0,1361000.0,7975000.0,4854000.0,581700.0,2813000.0,8295000.0,7325000.0,5.873E9,4.9569999999999994E8,
1.965E7,3593000.0,1360000.0,7952000.0,4861000.0,575200.0,2813000.0,8295000.0,7325000.0,5.873E9,4.9569999999999994E8,
1.963E7,3588000.0,1359000.0,7927000.0,4873000.0,562200.0,2812000.0,8295000.0,7324000.0,5.873E9,4.9569999999999994E8,
1.962E7,3585000.0,1359000.0,7896000.0,4873000.0,562100.0,2811000.0,8295000.0,7323000.0,5.873E9,4.9569999999999994E8,
1.958E7,3581000.0,1358000.0,7867000.0,4838000.0,554600.0,2811000.0,8294000.0,7323000.0,5.873E9,4.9579999999999994E8,
1.91E7,3564000.0,1357000.0,7839000.0,4826000.0,542900.0,2811000.0,8294000.0,7322000.0,5.873E9,4.9629999999999994E8,
1.889E7,3559000.0,1350000.0,7816000.0,4826000.0,542800.0,2811000.0,8294000.0,7322000.0,5.873E9,4.9649999999999994E8,
1.865E7,3550000.0,1349000.0,7781000.0,4773000.0,542700.0,2810000.0,8294000.0,7322000.0,5.873E9,4.9679999999999994E8,
1.848E7,3532000.0,1345000.0,7777000.0,4741000.0,542700.0,2810000.0,8294000.0,7322000.0,5.873E9,4.9699999999999994E8,
1.809E7,3497000.0,1341000.0,7761000.0,4738000.0,542700.0,2810000.0,8294000.0,7322000.0,5.873E9,4.9739999999999994E8,
1.794E7,3492000.0,1341000.0,7735000.0,4723000.0,542600.0,2810000.0,8294000.0,7320000.0,5.873E9,4.9749999999999994E8,
1.759E7,3407000.0,1338000.0,7715000.0,5001000.0,249700.0,2810000.0,8294000.0,7320000.0,5.873E9,4.9799999999999994E8,
1.971E7,3402000.0,1337000.0,7684000.0,5000000.0,249400.0,2809000.0,8294000.0,7448000.0,5.873E9,4.9589999999999994E8,
1.994E7,3343000.0,1334000.0,7661000.0,5000000.0,249400.0,2809000.0,8294000.0,7567000.0,5.873E9,4.9569999999999994E8,
1.998E7,3343000.0,1334000.0,7656000.0,4981000.0,249400.0,2809000.0,8294000.0,7775000.0,5.873E9,4.9569999999999994E8,
1.988E7,3341000.0,1334000.0,7629000.0,4931000.0,249200.0,2809000.0,8293000.0,7775000.0,5.873E9,4.9579999999999994E8,
1.991E7,3335000.0,1333000.0,7591000.0,4916000.0,248900.0,2808000.0,8293000.0,7990000.0,5.873E9,4.9579999999999994E8,
2.004E7,3329000.0,1333000.0,7560000.0,4885000.0,248800.0,2808000.0,8293000.0,8512000.0,5.873E9,4.9569999999999994E8,
2.004E7,3319000.0,1332000.0,7528000.0,4884000.0,241900.0,2805000.0,8290000.0,8618000.0,5.873E9,4.9559999999999994E8,
2.011E7,3315000.0,1332000.0,7515000.0,4819000.0,234200.0,2805000.0,8290000.0,8643000.0,5.873E9,4.9559999999999994E8,
1.982E7,3309000.0,1331000.0,7481000.0,4777000.0,234100.0,2805000.0,8290000.0,8641000.0,5.873E9,4.9599999999999994E8,
1.979E7,3304000.0,1330000.0,7464000.0,4779000.0,230800.0,2805000.0,8290000.0,8640000.0,5.873E9,4.9599999999999994E8,
1.971E7,3297000.0,1330000.0,7439000.0,4726000.0,230700.0,2805000.0,8289000.0,8640000.0,5.873E9,4.9609999999999994E8,
1.933E7,3284000.0,1330000.0,7423000.0,4713000.0,230600.0,2805000.0,8289000.0,8640000.0,5.873E9,4.9649999999999994E8,
1.907E7,3307000.0,1332000.0,7391000.0,4687000.0,230300.0,2817000.0,8382000.0,8486000.0,5.873E9,4.9679999999999994E8,
1.891E7,3323000.0,1335000.0,7372000.0,4687000.0,238100.0,2820000.0,8540000.0,8297000.0,5.873E9,4.9689999999999994E8,
1.869E7,3342000.0,1343000.0,7427000.0,4654000.0,246500.0,2845000.0,8597000.0,8183000.0,5.873E9,4.9699999999999994E8,
2.004E7,3358000.0,1339000.0,7411000.0,4641000.0,250500.0,2854000.0,8645000.0,8914000.0,5.872E9,4.9569999999999994E8,
1.97E7,3367000.0,1341000.0,7416000.0,4631000.0,244600.0,2865000.0,8792000.0,8703000.0,5.873E9,4.9599999999999994E8,
