entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.3377,0.2142,0.002825,6.88E-4,2.395E-4,0.001372,0.001089,4.001E-4,5.256E-4,6.774E-4,8.501E-4,0.9142,0.0771,
0.3374,0.2066,0.002814,6.864E-4,2.391E-4,0.001364,0.001059,3.971E-4,5.253E-4,6.771E-4,8.705E-4,0.9143,0.07709,
0.3377,0.188,0.002804,6.854E-4,2.39E-4,0.001356,0.001033,3.968E-4,5.249E-4,6.77E-4,9.428E-4,0.9142,0.07711,
0.3375,0.1906,0.002797,6.846E-4,2.388E-4,0.001349,0.001018,3.952E-4,5.249E-4,6.77E-4,9.428E-4,0.9142,0.07713,
0.3373,0.1952,0.00279,6.832E-4,2.384E-4,0.001343,9.987E-4,3.938E-4,5.249E-4,6.77E-4,9.428E-4,0.9143,0.07715,
0.3373,0.193,0.002786,6.831E-4,2.384E-4,0.00134,9.953E-4,3.938E-4,5.249E-4,6.77E-4,9.427E-4,0.9143,0.07716,
0.3372,0.2011,0.002782,6.822E-4,2.381E-4,0.001334,9.829E-4,3.929E-4,5.249E-4,6.77E-4,9.427E-4,0.9143,0.07717,
0.3371,0.1886,0.00278,6.819E-4,2.38E-4,0.001329,9.71E-4,3.927E-4,5.246E-4,6.77E-4,9.427E-4,0.9143,0.07718,
0.3371,0.1949,0.002798,6.805E-4,2.379E-4,0.001323,0.001102,2.493E-4,5.245E-4,6.769E-4,9.834E-4,0.9143,0.07717,
0.337,0.1963,0.002794,6.793E-4,2.349E-4,0.00132,0.001091,2.493E-4,5.245E-4,6.769E-4,9.833E-4,0.9143,0.07719,
0.3375,0.1993,0.002816,6.783E-4,2.346E-4,0.001315,0.001089,2.493E-4,5.245E-4,6.769E-4,0.001061,0.9142,0.07716,
0.3376,0.191,0.002795,6.756E-4,2.345E-4,0.00131,0.001083,2.493E-4,5.245E-4,6.769E-4,0.00109,0.9142,0.07718,
0.3372,0.1884,0.002724,6.7E-4,2.339E-4,0.001305,0.00108,2.486E-4,5.243E-4,6.767E-4,0.00109,0.9142,0.07726,
0.337,0.1849,0.002671,6.669E-4,2.339E-4,0.0013,0.001069,2.486E-4,5.243E-4,6.766E-4,0.00109,0.9142,0.07733,
0.3367,0.1862,0.002639,6.634E-4,2.304E-4,0.001295,0.001065,2.484E-4,5.239E-4,6.763E-4,0.00109,0.9142,0.07737,
0.3364,0.1833,0.002577,6.574E-4,2.291E-4,0.00129,0.001057,2.474E-4,5.239E-4,6.763E-4,0.00109,0.9142,0.07744,
0.3373,0.1828,0.002862,6.519E-4,2.271E-4,0.001286,0.00105,2.474E-4,5.239E-4,6.763E-4,0.001092,0.9142,0.07717,
0.337,0.1774,0.002807,6.494E-4,2.243E-4,0.001283,0.001043,2.465E-4,5.238E-4,6.763E-4,0.001092,0.9142,0.07723,
0.3368,0.1831,0.002768,6.441E-4,2.239E-4,0.001277,0.001034,2.464E-4,5.238E-4,6.762E-4,0.001092,0.9142,0.07728,
0.3372,0.172,0.002891,6.408E-4,2.237E-4,0.001273,0.001031,2.464E-4,5.237E-4,6.762E-4,0.001109,0.9142,0.07716,
0.3374,0.1745,0.002901,6.333E-4,2.227E-4,0.001267,0.001027,2.464E-4,5.237E-4,6.761E-4,0.001151,0.9142,0.07716,
0.3373,0.1631,0.002893,6.298E-4,2.214E-4,0.001263,0.001011,2.459E-4,5.236E-4,6.761E-4,0.001162,0.9142,0.07718,
0.3372,0.1645,0.002861,6.283E-4,2.212E-4,0.001261,0.001002,2.459E-4,5.236E-4,6.761E-4,0.001162,0.9142,0.07722,
0.3374,0.1627,0.002934,6.273E-4,2.21E-4,0.001257,9.953E-4,2.454E-4,5.236E-4,6.761E-4,0.00117,0.9142,0.07716,
0.3376,0.1575,0.002922,6.257E-4,2.208E-4,0.001255,9.761E-4,2.454E-4,5.236E-4,6.761E-4,0.001224,0.9141,0.07718,
0.3372,0.1593,0.00284,6.145E-4,2.176E-4,0.001247,9.76E-4,2.453E-4,5.235E-4,6.761E-4,0.001224,0.9142,0.07727,
0.3378,0.1553,0.002959,6.144E-4,2.176E-4,0.001241,9.718E-4,2.453E-4,5.234E-4,6.76E-4,0.001272,0.9141,0.07715,
0.338,0.1574,0.002959,6.132E-4,2.175E-4,0.001233,9.6E-4,2.453E-4,5.234E-4,6.76E-4,0.001314,0.9141,0.07716,
0.338,0.158,0.00295,6.108E-4,2.174E-4,0.001226,9.487E-4,2.452E-4,5.233E-4,6.759E-4,0.001351,0.9141,0.07718,
0.3379,0.1533,0.002925,6.105E-4,2.169E-4,0.00122,9.425E-4,2.452E-4,5.232E-4,6.759E-4,0.001351,0.9141,0.07721,
0.3377,0.1489,0.002902,6.1E-4,2.166E-4,0.001213,9.353E-4,2.452E-4,5.232E-4,6.759E-4,0.001351,0.9141,0.07724,
