FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
1.63325E-4,4.92855,1.67847E-4,0.116358,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,4.80096E-7,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,7.04934,0.0,0.0,23.8656,0.0,301.0,278575.0,
0.0163673,4.91197,0.0167566,0.116359,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.51059E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.83667,0.0,0.0,39.5763,0.0,401.0,278575.0,
0.138459,4.75252,0.176219,0.116361,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,3.09842E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.72122,0.0,0.0,51.9319,0.0,501.0,278575.0,
0.259804,4.4231,0.505627,0.116362,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,4.47845E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.65828,0.0,0.0,60.1872,0.0,601.0,278575.0,
0.288032,3.81344,1.11528,0.116364,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,6.04284E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.59804,0.0,0.0,69.2907,0.0,701.0,278575.0,
0.25697,3.29177,1.63695,0.116365,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,7.03808E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.56241,0.0,0.0,75.3004,0.0,801.0,278575.0,
0.227037,2.8946,2.03413,0.116365,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,7.69769E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.54014,0.0,0.0,79.3158,0.0,901.0,278575.0,
0.194067,2.47182,2.45691,0.116366,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,8.35407E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.51971,0.0,0.0,83.1846,0.0,1001.0,278575.0,
0.165383,2.10618,2.82252,0.116366,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,8.91191E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.50429,0.0,0.0,86.2272,0.0,1101.0,278575.0,
0.136999,1.74468,3.18402,0.116367,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,9.48143E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.49086,0.0,0.0,88.9659,0.0,1201.0,278575.0,
0.119682,1.52414,3.40455,0.116367,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,9.8518E-6,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.48351,0.0,0.0,90.502,0.0,1301.0,278575.0,
0.101718,1.29538,3.63333,0.116368,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.02685E-5,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.47654,0.0,0.0,91.9818,0.0,1401.0,278575.0,
0.0841026,1.07104,3.85765,0.116368,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.07276E-5,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.47037,0.0,0.0,93.3139,0.0,1501.0,278575.0,
0.0714341,0.909709,4.019,0.116369,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.1105E-5,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.46634,0.0,0.0,94.1934,0.0,1601.0,278575.0,
0.064061,0.815814,4.11288,0.116369,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.13506E-5,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.46415,0.0,0.0,94.6728,0.0,1701.0,278575.0,
0.0543976,0.692748,4.23595,0.11637,21421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4923500000000004E-24,1.17125E-5,21421.0,0.0,0.0,0.0,1.0,1.24405E-21,0.0,0.0,6.46149,0.0,0.0,95.262,0.0,1801.0,278575.0,
