entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2653,0.05407,0.01193,0.008016,0.04714,0.02347,0.01284,0.01673,0.01456,0.01487,0.3949,0.4015,
1.462,0.2708,0.05396,0.01193,0.008017,0.04708,0.02331,0.01284,0.01673,0.01456,0.01488,0.395,0.4017,
1.476,0.2529,0.06094,0.01193,0.008017,0.04702,0.02328,0.01283,0.01672,0.01456,0.01503,0.395,0.3947,
1.478,0.2539,0.06086,0.01192,0.00801,0.04698,0.02326,0.01282,0.01671,0.01455,0.01586,0.3947,0.3944,
1.477,0.2537,0.06081,0.01192,0.008011,0.04692,0.02304,0.0128,0.01669,0.01455,0.01586,0.3947,0.3947,
1.478,0.2607,0.06094,0.01191,0.008011,0.04677,0.02304,0.0128,0.01669,0.01455,0.01603,0.3947,0.3945,
1.478,0.2556,0.06095,0.01187,0.007964,0.04638,0.02304,0.0128,0.01669,0.01455,0.01631,0.3948,0.3947,
1.476,0.2346,0.06091,0.01187,0.007917,0.04607,0.02296,0.01278,0.0167,0.01456,0.01632,0.3949,0.395,
1.476,0.2347,0.06122,0.01186,0.007913,0.04594,0.02281,0.01277,0.01669,0.01456,0.01637,0.395,0.3949,
1.476,0.2267,0.06121,0.01186,0.007916,0.04569,0.02276,0.01278,0.01669,0.01457,0.01638,0.3951,0.395,
1.473,0.2501,0.06001,0.01182,0.007918,0.04541,0.02272,0.01278,0.0167,0.01457,0.01638,0.3952,0.3965,
1.474,0.2178,0.06079,0.01182,0.007809,0.04512,0.02258,0.01277,0.01669,0.01457,0.01681,0.3952,0.3959,
1.47,0.2205,0.05911,0.01173,0.007801,0.04496,0.02251,0.01277,0.01669,0.01457,0.01681,0.3953,0.3978,
1.468,0.2137,0.05809,0.01169,0.007803,0.04477,0.02252,0.01278,0.01669,0.01457,0.01682,0.3954,0.3989,
1.464,0.2241,0.05697,0.01168,0.007806,0.0444,0.02243,0.01278,0.0167,0.01458,0.01683,0.3955,0.4003,
1.473,0.2123,0.06219,0.01161,0.007756,0.04414,0.02223,0.01278,0.0167,0.01458,0.01705,0.3955,0.3954,
1.47,0.2189,0.06141,0.01162,0.007764,0.04336,0.02221,0.01278,0.01671,0.01459,0.01707,0.3959,0.3966,
1.467,0.215,0.06047,0.01161,0.007766,0.04295,0.02195,0.01278,0.01672,0.0146,0.01708,0.3961,0.398,
