RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8222000.0,1813000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2260000.0,6.0E7,6.1E7,
8217000.0,1813000.0,1218000.0,7164000.0,3567000.0,1951000.0,2542000.0,2212000.0,2260000.0,6.001E7,6.101E7,
8198000.0,1812000.0,1218000.0,7153000.0,3541000.0,1951000.0,2542000.0,2212000.0,2260000.0,6.001E7,6.103E7,
9258000.0,1812000.0,1218000.0,7143000.0,3536000.0,1949000.0,2540000.0,2212000.0,2284000.0,6.001E7,5.996E7,
9253000.0,1812000.0,1218000.0,7143000.0,3536000.0,1949000.0,2540000.0,2212000.0,2411000.0,6.001E7,5.996E7,
9244000.0,1811000.0,1218000.0,7133000.0,3502000.0,1945000.0,2537000.0,2212000.0,2411000.0,6.001E7,6.0E7,
9264000.0,1811000.0,1218000.0,7109000.0,3502000.0,1945000.0,2537000.0,2212000.0,2437000.0,6.001E7,5.997E7,
9264000.0,1805000.0,1210000.0,7049000.0,3502000.0,1945000.0,2537000.0,2212000.0,2479000.0,6.001E7,5.998E7,
9255000.0,1804000.0,1203000.0,6999000.0,3488000.0,1942000.0,2537000.0,2212000.0,2479000.0,6.001E7,6.001E7,
9300000.0,1802000.0,1202000.0,6979000.0,3465000.0,1940000.0,2535000.0,2212000.0,2488000.0,6.001E7,5.999E7,
9295000.0,1802000.0,1202000.0,6939000.0,3457000.0,1940000.0,2535000.0,2212000.0,2488000.0,6.001E7,6.0E7,
9111000.0,1795000.0,1202000.0,6894000.0,3450000.0,1940000.0,2535000.0,2212000.0,2488000.0,6.001E7,6.019E7,
9230000.0,1794000.0,1186000.0,6850000.0,3428000.0,1939000.0,2534000.0,2212000.0,2553000.0,6.001E7,6.01E7,
8974000.0,1781000.0,1184000.0,6825000.0,3417000.0,1939000.0,2534000.0,2212000.0,2553000.0,6.001E7,6.039E7,
8816000.0,1775000.0,1184000.0,6795000.0,3417000.0,1939000.0,2534000.0,2212000.0,2553000.0,6.001E7,6.054E7,
8643000.0,1772000.0,1184000.0,6736000.0,3402000.0,1939000.0,2533000.0,2212000.0,2553000.0,6.001E7,6.073E7,
9434000.0,1762000.0,1177000.0,6697000.0,3372000.0,1939000.0,2533000.0,2212000.0,2587000.0,6.001E7,5.999E7,
9307000.0,1761000.0,1177000.0,6571000.0,3366000.0,1937000.0,2533000.0,2212000.0,2587000.0,6.001E7,6.01E7,
9160000.0,1759000.0,1176000.0,6506000.0,3325000.0,1936000.0,2533000.0,2212000.0,2587000.0,6.001E7,6.029E7,
