FeEn,GLUT4En,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,101.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,201.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,301.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,401.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,501.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,601.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,701.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,801.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,901.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1001.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1101.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1201.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1301.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1401.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1501.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1601.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1701.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1801.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,1901.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2001.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2101.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2201.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2301.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2401.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,2501.0,673979.0,
