entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1.491,0.2678,0.05314,0.01189,0.007963,0.03577,0.02346,0.01281,0.0167,0.01454,0.01484,0.01262,0.3948,0.4014,
1.504,0.2467,0.05983,0.01189,0.007962,0.03576,0.02333,0.0128,0.01669,0.01454,0.01511,0.01262,0.3948,0.3947,
1.506,0.2444,0.05975,0.01188,0.007955,0.03573,0.02328,0.01278,0.01667,0.01453,0.01593,0.01261,0.3945,0.3944,
1.506,0.2536,0.05966,0.01188,0.007956,0.03574,0.02306,0.01278,0.01667,0.01453,0.01593,0.01261,0.3945,0.3947,
1.508,0.2494,0.06003,0.01187,0.007952,0.03572,0.02301,0.01276,0.01666,0.01452,0.01643,0.01261,0.3943,0.3941,
1.508,0.2484,0.05994,0.01187,0.007952,0.03572,0.02301,0.01276,0.01667,0.01452,0.01643,0.01261,0.3944,0.3941,
1.507,0.2467,0.0599,0.01186,0.007951,0.03572,0.02281,0.01275,0.01666,0.01452,0.01659,0.01261,0.3943,0.3943,
1.508,0.2429,0.06003,0.01186,0.007943,0.03568,0.02273,0.01273,0.01665,0.01452,0.01702,0.0126,0.3942,0.3941,
1.508,0.2487,0.06003,0.01185,0.007944,0.03564,0.02269,0.01272,0.01665,0.01452,0.01702,0.0126,0.3942,0.3941,
1.508,0.2448,0.05999,0.01185,0.007944,0.03562,0.02258,0.01271,0.01664,0.01452,0.01702,0.0126,0.3942,0.3943,
1.509,0.2406,0.06017,0.01184,0.007932,0.0356,0.02243,0.01269,0.01663,0.01451,0.01771,0.0126,0.394,0.3939,
1.507,0.2522,0.0593,0.01179,0.007932,0.0356,0.02224,0.01267,0.01663,0.01451,0.01771,0.0126,0.394,0.395,
1.506,0.2401,0.05874,0.01173,0.007923,0.03559,0.02216,0.01265,0.01662,0.0145,0.01806,0.01259,0.3938,0.3956,
1.513,0.2499,0.06046,0.01137,0.007816,0.03541,0.02174,0.0126,0.01658,0.01447,0.0204,0.01256,0.393,0.3936,
1.51,0.2455,0.05957,0.01128,0.007814,0.03539,0.02165,0.01258,0.01656,0.01446,0.0204,0.01255,0.393,0.3947,
1.514,0.2362,0.06166,0.01125,0.007798,0.03536,0.0216,0.01258,0.01656,0.01446,0.02045,0.01255,0.393,0.3927,
1.512,0.2423,0.06058,0.0112,0.007799,0.03537,0.02153,0.01258,0.01657,0.01446,0.02045,0.01255,0.3931,0.3938,
1.514,0.2506,0.06136,0.01117,0.00779,0.03529,0.02139,0.01257,0.01654,0.01445,0.0212,0.01254,0.3928,0.3929,
1.515,0.22,0.06139,0.01107,0.007788,0.03524,0.02129,0.01256,0.01654,0.01445,0.02161,0.01253,0.3927,0.3928,
1.514,0.2162,0.06122,0.01105,0.007783,0.03524,0.02125,0.01255,0.01654,0.01445,0.02161,0.01254,0.3928,0.393,
1.513,0.2173,0.06082,0.01102,0.007783,0.03524,0.02112,0.01255,0.01654,0.01445,0.02161,0.01254,0.3928,0.3936,
1.515,0.2156,0.06177,0.01099,0.00778,0.03523,0.02106,0.01255,0.01654,0.01445,0.02195,0.01253,0.3926,0.3925,
1.515,0.219,0.06135,0.01091,0.007725,0.03518,0.02091,0.01253,0.01651,0.01444,0.0225,0.01253,0.3924,0.393,
1.514,0.2226,0.06088,0.01079,0.007708,0.03519,0.02091,0.01253,0.01651,0.01444,0.0225,0.01253,0.3925,0.3935,
1.512,0.216,0.06037,0.01075,0.007697,0.03516,0.02087,0.01252,0.01651,0.01444,0.0225,0.01253,0.3925,0.3942,
1.516,0.2281,0.06202,0.01067,0.007671,0.03512,0.02057,0.0125,0.01649,0.01443,0.02325,0.01252,0.3922,0.3925,
1.513,0.2221,0.06114,0.01055,0.007666,0.03512,0.02038,0.01249,0.01648,0.01443,0.02325,0.01252,0.3922,0.3937,
1.51,0.2234,0.05971,0.01051,0.007667,0.03506,0.02027,0.01249,0.01647,0.01443,0.02325,0.01252,0.3923,0.3953,
1.508,0.2176,0.05931,0.01049,0.007615,0.03504,0.02021,0.01247,0.01645,0.01443,0.02325,0.01252,0.3923,0.3959,
1.517,0.2041,0.06333,0.01047,0.007609,0.03501,0.01994,0.01242,0.01643,0.01442,0.02396,0.01251,0.392,0.3919,
1.515,0.2098,0.06283,0.01041,0.007609,0.03496,0.01976,0.01239,0.0164,0.01442,0.02396,0.01251,0.3921,0.3927,
1.513,0.2173,0.06183,0.01051,0.007607,0.03509,0.01982,0.01241,0.01619,0.0145,0.02382,0.01251,0.3921,0.3936,
1.511,0.2166,0.06087,0.01055,0.007643,0.03526,0.01978,0.01233,0.01613,0.01476,0.02356,0.0125,0.3922,0.3944,
1.517,0.2174,0.0627,0.0107,0.007636,0.03532,0.01967,0.01241,0.01601,0.01482,0.02412,0.01249,0.392,0.3921,
1.515,0.2306,0.06203,0.0107,0.007657,0.03542,0.01961,0.01239,0.01597,0.01492,0.02384,0.0125,0.3921,0.3929,
1.514,0.2116,0.06133,0.0108,0.007608,0.03564,0.0196,0.0124,0.01588,0.0152,0.02348,0.0125,0.3921,0.3934,
1.514,0.2141,0.06067,0.01098,0.00762,0.03589,0.01957,0.0124,0.01584,0.01527,0.02341,0.0125,0.3922,0.3937,
1.517,0.2155,0.06183,0.01107,0.007629,0.03611,0.01961,0.01216,0.01579,0.01537,0.0238,0.01248,0.392,0.3921,
1.517,0.2191,0.06154,0.0112,0.007641,0.03614,0.01968,0.01213,0.01588,0.01569,0.02327,0.01248,0.3921,0.3923,
1.516,0.217,0.0609,0.0112,0.007641,0.03617,0.01972,0.0121,0.01588,0.01592,0.02304,0.01248,0.3921,0.3929,
1.516,0.2086,0.06058,0.01119,0.007653,0.03627,0.01975,0.01222,0.01583,0.01581,0.023,0.01248,0.3921,0.3931,
1.519,0.2071,0.06135,0.01129,0.007654,0.03623,0.01974,0.01225,0.01581,0.01581,0.02338,0.01248,0.392,0.392,
1.52,0.2109,0.06124,0.01127,0.007667,0.03639,0.01973,0.01228,0.01571,0.01618,0.02362,0.01247,0.3918,0.3917,
1.52,0.2102,0.06069,0.01134,0.00766,0.03649,0.01973,0.01232,0.01571,0.01633,0.02335,0.01247,0.3918,0.3921,
1.521,0.2162,0.06038,0.01149,0.007658,0.03664,0.01967,0.01239,0.01564,0.01644,0.02356,0.01247,0.3917,0.392,
1.521,0.2133,0.06011,0.01152,0.007676,0.0368,0.01968,0.01245,0.01564,0.01766,0.02215,0.01247,0.3918,0.392,
1.525,0.2179,0.06007,0.01161,0.007678,0.03674,0.01972,0.01243,0.01549,0.01782,0.02371,0.01245,0.3911,0.3911,
1.525,0.2117,0.05948,0.01168,0.007668,0.03677,0.01977,0.01391,0.01391,0.01821,0.02331,0.01245,0.3911,0.3917,
1.526,0.2152,0.05942,0.01179,0.007652,0.03679,0.01975,0.0139,0.01381,0.0182,0.02403,0.01244,0.3909,0.3913,
1.526,0.2166,0.05909,0.01185,0.007673,0.03672,0.01967,0.01397,0.0137,0.01842,0.02382,0.01245,0.391,0.3917,
1.524,0.2289,0.05892,0.01196,0.007682,0.03611,0.01965,0.01396,0.0137,0.0184,0.02383,0.01246,0.3913,0.3921,
1.524,0.2177,0.05867,0.01212,0.007701,0.03588,0.0197,0.01408,0.01359,0.01875,0.02345,0.01246,0.3914,0.3922,
1.523,0.2401,0.0579,0.01228,0.007713,0.03599,0.01964,0.01411,0.01355,0.01875,0.02342,0.01246,0.3915,0.3927,
