RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
8075000.0,1807000.0,1210000.0,5436000.0,3564000.0,1946000.0,2537000.0,2210000.0,2255000.0,1918000.0,6.0E7,6.1E7,
9094000.0,1807000.0,1210000.0,5436000.0,3546000.0,1945000.0,2537000.0,2210000.0,2296000.0,1918000.0,6.001E7,5.999E7,
9089000.0,1807000.0,1210000.0,5436000.0,3541000.0,1944000.0,2536000.0,2210000.0,2423000.0,1918000.0,6.001E7,5.999E7,
9074000.0,1807000.0,1210000.0,5436000.0,3508000.0,1944000.0,2536000.0,2210000.0,2423000.0,1918000.0,6.001E7,6.003E7,
9134000.0,1806000.0,1210000.0,5436000.0,3502000.0,1942000.0,2536000.0,2210000.0,2500000.0,1918000.0,6.001E7,5.997E7,
9120000.0,1805000.0,1210000.0,5436000.0,3502000.0,1942000.0,2536000.0,2210000.0,2500000.0,1918000.0,6.001E7,5.997E7,
9115000.0,1805000.0,1210000.0,5436000.0,3471000.0,1941000.0,2536000.0,2210000.0,2525000.0,1918000.0,6.001E7,6.0E7,
9138000.0,1805000.0,1209000.0,5432000.0,3460000.0,1938000.0,2534000.0,2210000.0,2591000.0,1918000.0,6.001E7,5.999E7,
9138000.0,1804000.0,1209000.0,5425000.0,3453000.0,1936000.0,2534000.0,2210000.0,2591000.0,1918000.0,6.001E7,6.0E7,
9131000.0,1804000.0,1209000.0,5422000.0,3437000.0,1935000.0,2533000.0,2210000.0,2591000.0,1918000.0,6.001E7,6.002E7,
9165000.0,1803000.0,1208000.0,5422000.0,3417000.0,1933000.0,2533000.0,2210000.0,2697000.0,1918000.0,6.001E7,6.0E7,
9031000.0,1796000.0,1208000.0,5422000.0,3388000.0,1930000.0,2533000.0,2210000.0,2697000.0,1918000.0,6.001E7,6.016E7,
8950000.0,1787000.0,1207000.0,5422000.0,3376000.0,1927000.0,2533000.0,2210000.0,2752000.0,1918000.0,6.001E7,6.027E7,
9233000.0,1736000.0,1193000.0,5408000.0,3319000.0,1924000.0,2531000.0,2210000.0,3115000.0,1918000.0,6.001E7,6.011E7,
9096000.0,1722000.0,1193000.0,5403000.0,3305000.0,1921000.0,2529000.0,2208000.0,3115000.0,1916000.0,6.001E7,6.027E7,
