entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1.432,0.2525,0.03183,0.01782,0.01698,0.04082,0.01259,0.004328,0.003862,0.03009,0.01643,0.01005,0.4076,0.4076,
1.432,0.2566,0.03212,0.0178,0.01698,0.04053,0.01249,0.004328,0.003863,0.03009,0.01668,0.009861,0.4077,0.4076,
1.43,0.2522,0.03212,0.01779,0.01687,0.0404,0.01248,0.004329,0.003863,0.0301,0.01669,0.009584,0.4078,0.408,
1.429,0.257,0.03209,0.01777,0.01687,0.0403,0.01234,0.004329,0.003864,0.0301,0.01669,0.009581,0.4078,0.4082,
1.428,0.2579,0.03205,0.01773,0.01687,0.04026,0.01224,0.004329,0.003865,0.03011,0.01669,0.009411,0.4079,0.4086,
1.43,0.2574,0.03285,0.01768,0.01686,0.04007,0.01214,0.004329,0.003865,0.03011,0.01695,0.009412,0.4079,0.4078,
1.429,0.247,0.03278,0.01765,0.01684,0.03995,0.01214,0.00433,0.003866,0.03012,0.01696,0.009264,0.408,0.4081,
1.431,0.2498,0.033,0.01761,0.01675,0.03983,0.01213,0.004327,0.003863,0.0301,0.01781,0.009087,0.4077,0.4078,
1.429,0.2519,0.03298,0.01758,0.01675,0.03973,0.01188,0.004317,0.003864,0.0301,0.01781,0.009089,0.4078,0.4081,
1.429,0.2504,0.03298,0.01756,0.01675,0.03953,0.01178,0.004318,0.003865,0.03011,0.01782,0.009091,0.4079,0.4083,
1.428,0.2564,0.03296,0.0175,0.01674,0.03941,0.01179,0.00432,0.003866,0.03012,0.01782,0.009042,0.408,0.4084,
1.427,0.2483,0.03293,0.01748,0.01675,0.03931,0.0117,0.004319,0.003866,0.03012,0.01782,0.009039,0.4081,0.4086,
1.426,0.248,0.03291,0.01745,0.01674,0.03924,0.0116,0.00432,0.003867,0.03013,0.01783,0.008989,0.4081,0.4088,
1.431,0.2277,0.03366,0.0174,0.01672,0.03901,0.01159,0.004316,0.003863,0.0301,0.01907,0.008865,0.4077,0.4077,
1.43,0.2272,0.03361,0.01736,0.01667,0.03889,0.01159,0.004317,0.003864,0.03011,0.01908,0.008752,0.4078,0.4079,
1.429,0.2401,0.03357,0.01735,0.01667,0.03878,0.01159,0.004318,0.003865,0.03011,0.01908,0.008754,0.4079,0.408,
1.431,0.2427,0.03412,0.01732,0.01666,0.03853,0.01154,0.004317,0.003864,0.03011,0.01948,0.008753,0.4079,0.4074,
1.431,0.2414,0.03394,0.01725,0.01654,0.03839,0.01154,0.004317,0.003864,0.03011,0.01991,0.008751,0.4079,0.4075,
1.43,0.2441,0.03386,0.01719,0.01654,0.03823,0.01145,0.004318,0.003865,0.03012,0.01991,0.008752,0.408,0.4077,
1.429,0.225,0.03382,0.01716,0.01654,0.03815,0.01136,0.004319,0.003866,0.03012,0.01992,0.008748,0.4081,0.4079,
1.428,0.2286,0.03373,0.01714,0.01655,0.03801,0.01129,0.00432,0.003867,0.03013,0.01992,0.00875,0.4082,0.4081,
1.428,0.2364,0.03373,0.0171,0.01654,0.03801,0.0112,0.00432,0.003867,0.03013,0.02002,0.008751,0.4082,0.4081,
