RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
4686000.0,2623000.0,2500000.0,6008000.0,1853000.0,637100.0,568600.0,4429000.0,2418000.0,1479000.0,6.001E7,5.999E7,
4728000.0,2620000.0,2499000.0,5965000.0,1839000.0,637000.0,568600.0,4429000.0,2455000.0,1451000.0,6.001E7,5.999E7,
4727000.0,2618000.0,2483000.0,5945000.0,1837000.0,637000.0,568600.0,4429000.0,2455000.0,1410000.0,6.001E7,6.004E7,
4722000.0,2614000.0,2483000.0,5930000.0,1816000.0,637000.0,568500.0,4429000.0,2455000.0,1410000.0,6.001E7,6.006E7,
4714000.0,2609000.0,2482000.0,5923000.0,1801000.0,636900.0,568500.0,4429000.0,2455000.0,1385000.0,6.001E7,6.01E7,
4832000.0,2601000.0,2479000.0,5895000.0,1786000.0,636900.0,568500.0,4429000.0,2494000.0,1385000.0,6.001E7,5.999E7,
4821000.0,2596000.0,2477000.0,5875000.0,1785000.0,636800.0,568500.0,4429000.0,2494000.0,1362000.0,6.001E7,6.001E7,
4857000.0,2592000.0,2464000.0,5862000.0,1785000.0,636800.0,568500.0,4429000.0,2621000.0,1337000.0,6.001E7,6.001E7,
4853000.0,2587000.0,2464000.0,5846000.0,1749000.0,635300.0,568500.0,4429000.0,2621000.0,1337000.0,6.001E7,6.004E7,
4851000.0,2583000.0,2464000.0,5816000.0,1733000.0,635300.0,568500.0,4429000.0,2621000.0,1337000.0,6.001E7,6.006E7,
4848000.0,2573000.0,2463000.0,5795000.0,1733000.0,635300.0,568500.0,4429000.0,2621000.0,1330000.0,6.001E7,6.007E7,
4842000.0,2571000.0,2462000.0,5780000.0,1720000.0,635100.0,568500.0,4429000.0,2621000.0,1329000.0,6.001E7,6.008E7,
4839000.0,2566000.0,2461000.0,5769000.0,1705000.0,635100.0,568500.0,4429000.0,2621000.0,1322000.0,6.001E7,6.01E7,
4953000.0,2561000.0,2461000.0,5741000.0,1705000.0,635100.0,568500.0,4429000.0,2807000.0,1305000.0,6.001E7,5.999E7,
4945000.0,2554000.0,2453000.0,5721000.0,1705000.0,635100.0,568500.0,4429000.0,2807000.0,1288000.0,6.001E7,6.002E7,
4939000.0,2552000.0,2453000.0,5705000.0,1705000.0,635100.0,568500.0,4429000.0,2807000.0,1288000.0,6.001E7,6.002E7,
5020000.0,2548000.0,2451000.0,5669000.0,1698000.0,635100.0,568500.0,4429000.0,2866000.0,1288000.0,6.001E7,5.994E7,
4993000.0,2538000.0,2434000.0,5648000.0,1698000.0,635100.0,568500.0,4429000.0,2929000.0,1287000.0,6.001E7,5.995E7,
4979000.0,2528000.0,2433000.0,5623000.0,1683000.0,635100.0,568500.0,4429000.0,2929000.0,1287000.0,6.001E7,5.997E7,
