entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1.432,0.2524,0.03183,0.01782,0.01698,0.04082,0.01259,0.004328,0.003862,0.03009,0.01643,0.01005,0.4076,0.4076,
1.432,0.2504,0.03179,0.01781,0.01698,0.04081,0.01246,0.004328,0.003863,0.03009,0.01643,0.01005,0.4077,0.4077,
1.431,0.2516,0.03176,0.01778,0.01698,0.04073,0.01228,0.004328,0.003863,0.0301,0.01643,0.01005,0.4077,0.408,
1.43,0.2625,0.03175,0.01775,0.01698,0.04073,0.0121,0.004328,0.003863,0.0301,0.01643,0.01005,0.4077,0.4082,
1.429,0.2629,0.0317,0.01772,0.01697,0.04061,0.01187,0.004329,0.003864,0.03011,0.01644,0.01005,0.4078,0.4085,
1.428,0.2813,0.03167,0.01768,0.01697,0.04057,0.01186,0.00433,0.003865,0.03011,0.01644,0.01005,0.4079,0.4086,
1.431,0.2305,0.03241,0.01767,0.01696,0.04046,0.01186,0.004329,0.003864,0.03011,0.01675,0.01005,0.4078,0.4077,
1.43,0.225,0.03237,0.01765,0.01696,0.04035,0.01166,0.004329,0.003865,0.03011,0.01676,0.01006,0.4079,0.408,
1.429,0.2241,0.03231,0.01757,0.01695,0.04021,0.01161,0.004331,0.003866,0.03012,0.01676,0.01006,0.4081,0.4081,
1.428,0.2213,0.03228,0.01757,0.01687,0.04015,0.01153,0.004331,0.003866,0.03012,0.01676,0.01006,0.4081,0.4084,
1.43,0.209,0.03272,0.01755,0.01686,0.04004,0.01143,0.00433,0.003865,0.03012,0.0172,0.01006,0.408,0.4079,
1.429,0.2157,0.03236,0.01734,0.01685,0.03987,0.01142,0.004328,0.003864,0.03011,0.01769,0.01005,0.4079,0.4082,
1.425,0.209,0.03178,0.01694,0.01684,0.03978,0.0112,0.004315,0.003865,0.03011,0.01769,0.01005,0.4079,0.4095,
1.431,0.2082,0.03342,0.0169,0.01682,0.03948,0.01109,0.004312,0.003862,0.03009,0.01874,0.01005,0.4076,0.4076,
1.433,0.2075,0.0334,0.01684,0.0168,0.03927,0.0109,0.004309,0.003859,0.03007,0.0198,0.01004,0.4073,0.4074,
1.433,0.2064,0.03341,0.01684,0.0168,0.03917,0.0109,0.004309,0.003859,0.03007,0.0198,0.01004,0.4073,0.4075,
1.436,0.2021,0.03376,0.0168,0.01669,0.03899,0.01089,0.004307,0.003857,0.03006,0.02079,0.01004,0.4068,0.407,
1.436,0.1972,0.03374,0.01676,0.01667,0.03881,0.01089,0.004305,0.003856,0.03004,0.02112,0.01003,0.407,0.4068,
1.435,0.1893,0.03359,0.01674,0.01667,0.03869,0.01073,0.004306,0.003856,0.03005,0.02113,0.01003,0.4071,0.4071,
1.434,0.1955,0.03356,0.0167,0.01667,0.03858,0.01074,0.004306,0.003857,0.03005,0.02113,0.01004,0.4071,0.4072,
1.435,0.1979,0.03368,0.01667,0.01667,0.03856,0.01073,0.004305,0.003856,0.03005,0.02143,0.01003,0.407,0.407,
1.435,0.1955,0.03366,0.01666,0.01667,0.03846,0.01069,0.004296,0.003857,0.03005,0.02144,0.01003,0.4071,0.4071,
1.435,0.2013,0.03364,0.01664,0.01667,0.03845,0.01069,0.004296,0.003857,0.03005,0.02144,0.01003,0.4071,0.4071,
1.436,0.1993,0.03385,0.01663,0.01665,0.03843,0.01053,0.004293,0.003854,0.03003,0.02213,0.01003,0.4069,0.4067,
1.436,0.2001,0.03359,0.01661,0.01665,0.03837,0.01053,0.004294,0.003855,0.03004,0.02213,0.01003,0.4069,0.407,
1.435,0.1935,0.03353,0.0166,0.01665,0.03832,0.01048,0.004295,0.003856,0.03004,0.02213,0.01003,0.407,0.4071,
