RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
4686000.0,2623000.0,2500000.0,6008000.0,1853000.0,637100.0,568600.0,4429000.0,2418000.0,1479000.0,6.001E7,5.999E7,
4679000.0,2622000.0,2500000.0,6007000.0,1834000.0,637000.0,568600.0,4429000.0,2418000.0,1479000.0,6.001E7,6.001E7,
4674000.0,2616000.0,2499000.0,5994000.0,1807000.0,637000.0,568600.0,4429000.0,2418000.0,1479000.0,6.001E7,6.004E7,
4673000.0,2612000.0,2499000.0,5994000.0,1781000.0,637000.0,568500.0,4429000.0,2418000.0,1479000.0,6.001E7,6.007E7,
4665000.0,2607000.0,2497000.0,5974000.0,1746000.0,637000.0,568500.0,4429000.0,2418000.0,1479000.0,6.001E7,6.01E7,
4658000.0,2601000.0,2496000.0,5968000.0,1745000.0,636900.0,568500.0,4429000.0,2418000.0,1479000.0,6.001E7,6.01E7,
4769000.0,2600000.0,2495000.0,5953000.0,1745000.0,636900.0,568500.0,4429000.0,2465000.0,1479000.0,6.001E7,5.998E7,
4761000.0,2596000.0,2494000.0,5936000.0,1715000.0,636900.0,568500.0,4429000.0,2465000.0,1479000.0,6.001E7,6.001E7,
4751000.0,2584000.0,2493000.0,5913000.0,1708000.0,636800.0,568500.0,4429000.0,2465000.0,1479000.0,6.001E7,6.002E7,
4747000.0,2584000.0,2480000.0,5903000.0,1695000.0,636800.0,568500.0,4429000.0,2465000.0,1479000.0,6.001E7,6.005E7,
4812000.0,2581000.0,2480000.0,5888000.0,1681000.0,636800.0,568500.0,4429000.0,2529000.0,1479000.0,6.001E7,5.999E7,
4761000.0,2552000.0,2479000.0,5866000.0,1681000.0,636800.0,568500.0,4429000.0,2602000.0,1479000.0,6.001E7,6.006E7,
4674000.0,2492000.0,2477000.0,5851000.0,1647000.0,634800.0,568500.0,4429000.0,2602000.0,1479000.0,6.001E7,6.024E7,
4920000.0,2487000.0,2476000.0,5811000.0,1633000.0,634800.0,568500.0,4429000.0,2759000.0,1479000.0,6.001E7,6.0E7,
4921000.0,2481000.0,2475000.0,5786000.0,1605000.0,634800.0,568500.0,4429000.0,2916000.0,1479000.0,6.001E7,6.002E7,
4921000.0,2481000.0,2475000.0,5771000.0,1605000.0,634800.0,568500.0,4429000.0,2916000.0,1479000.0,6.001E7,6.002E7,
4976000.0,2476000.0,2460000.0,5745000.0,1605000.0,634700.0,568500.0,4429000.0,3064000.0,1479000.0,5.995E7,5.998E7,
4974000.0,2471000.0,2458000.0,5723000.0,1605000.0,634700.0,568500.0,4429000.0,3114000.0,1479000.0,6.001E7,5.998E7,
4951000.0,2467000.0,2458000.0,5704000.0,1582000.0,634700.0,568500.0,4429000.0,3114000.0,1479000.0,6.001E7,6.002E7,
4946000.0,2461000.0,2457000.0,5686000.0,1582000.0,634700.0,568500.0,4429000.0,3114000.0,1479000.0,6.001E7,6.002E7,
4965000.0,2457000.0,2457000.0,5684000.0,1582000.0,634700.0,568500.0,4429000.0,3160000.0,1479000.0,6.001E7,6.0E7,
4962000.0,2456000.0,2457000.0,5669000.0,1576000.0,633200.0,568500.0,4429000.0,3160000.0,1479000.0,6.001E7,6.0E7,
4957000.0,2452000.0,2456000.0,5668000.0,1576000.0,633200.0,568500.0,4429000.0,3160000.0,1479000.0,6.001E7,6.0E7,
4993000.0,2452000.0,2456000.0,5668000.0,1553000.0,633200.0,568500.0,4429000.0,3263000.0,1479000.0,6.001E7,5.999E7,
4954000.0,2450000.0,2455000.0,5657000.0,1553000.0,633200.0,568500.0,4429000.0,3263000.0,1479000.0,6.001E7,6.001E7,
4944000.0,2447000.0,2454000.0,5650000.0,1545000.0,633200.0,568500.0,4429000.0,3263000.0,1479000.0,6.001E7,6.002E7,
4941000.0,2440000.0,2454000.0,5641000.0,1545000.0,633100.0,568500.0,4429000.0,3263000.0,1479000.0,6.001E7,6.002E7,
4920000.0,2438000.0,2454000.0,5636000.0,1545000.0,633100.0,568500.0,4429000.0,3263000.0,1479000.0,6.001E7,6.003E7,
4975000.0,2437000.0,2453000.0,5621000.0,1509000.0,633100.0,568500.0,4429000.0,3328000.0,1479000.0,6.001E7,6.0E7,
5005000.0,2437000.0,2453000.0,5610000.0,1502000.0,633100.0,568500.0,4429000.0,3377000.0,1479000.0,6.001E7,5.998E7,
4992000.0,2437000.0,2453000.0,5605000.0,1502000.0,633100.0,568500.0,4429000.0,3412000.0,1479000.0,6.001E7,5.999E7,
4956000.0,2430000.0,2449000.0,5627000.0,1513000.0,621000.0,568500.0,4490000.0,3447000.0,1479000.0,6.001E7,5.999E7,
4939000.0,2439000.0,2451000.0,5628000.0,1513000.0,621000.0,568500.0,4572000.0,3469000.0,1479000.0,6.001E7,5.999E7,
4940000.0,2438000.0,2453000.0,5638000.0,1505000.0,615400.0,568500.0,4586000.0,3484000.0,1479000.0,6.001E7,5.998E7,
4892000.0,2450000.0,2455000.0,5642000.0,1511000.0,609300.0,568500.0,4597000.0,3529000.0,1479000.0,6.001E7,5.998E7,
4812000.0,2468000.0,2460000.0,5679000.0,1502000.0,604200.0,574500.0,4607000.0,3512000.0,1479000.0,6.001E7,5.999E7,
4795000.0,2478000.0,2462000.0,5674000.0,1502000.0,604200.0,580500.0,4714000.0,3400000.0,1479000.0,6.001E7,5.999E7,
4749000.0,2475000.0,2463000.0,5681000.0,1490000.0,604200.0,580500.0,4738000.0,3447000.0,1479000.0,6.001E7,6.001E7,
