entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1.558,0.208,0.04078,0.01925,0.01481,0.04279,0.009846,0.02828,0.02878,0.01362,0.01836,0.00821,0.3876,0.3877,
1.558,0.2076,0.04077,0.01923,0.01481,0.0428,0.009765,0.02828,0.02878,0.01362,0.01836,0.00821,0.3876,0.3878,
1.557,0.2435,0.04074,0.01919,0.0148,0.04276,0.009635,0.02828,0.02878,0.01362,0.01836,0.008211,0.3877,0.388,
1.556,0.2023,0.04072,0.01915,0.01469,0.04272,0.009551,0.02829,0.02878,0.01362,0.01836,0.008212,0.3877,0.3882,
1.555,0.2011,0.04072,0.01915,0.0147,0.04262,0.009241,0.02829,0.02879,0.01362,0.01837,0.008212,0.3877,0.3885,
1.555,0.2027,0.0407,0.01911,0.01469,0.04259,0.009242,0.02829,0.02879,0.01362,0.01837,0.008209,0.3878,0.3886,
1.554,0.2065,0.04066,0.01909,0.01468,0.04251,0.009243,0.0283,0.02879,0.01363,0.01837,0.008211,0.3879,0.3887,
1.554,0.1989,0.04057,0.01907,0.01468,0.04242,0.009245,0.0283,0.0288,0.01363,0.01837,0.008212,0.3879,0.3887,
1.553,0.1993,0.04055,0.01907,0.01468,0.04227,0.009183,0.02829,0.02881,0.01363,0.01838,0.008214,0.388,0.3889,
1.553,0.1971,0.04054,0.01903,0.01467,0.04215,0.009102,0.0283,0.02881,0.01363,0.01838,0.008215,0.3881,0.3891,
1.552,0.1991,0.04054,0.01897,0.01467,0.04209,0.009063,0.02829,0.02882,0.01364,0.01838,0.008193,0.3882,0.3892,
1.555,0.2049,0.04143,0.01884,0.01466,0.042,0.009059,0.02828,0.0288,0.01363,0.01907,0.00819,0.388,0.388,
1.557,0.1969,0.04147,0.01882,0.01466,0.04195,0.009025,0.02826,0.02878,0.01362,0.01954,0.008185,0.3879,0.3878,
1.556,0.1909,0.04143,0.01881,0.01466,0.04186,0.009026,0.02826,0.02879,0.01362,0.01954,0.008185,0.3879,0.3879,
