RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
6314000.0,2980000.0,2293000.0,6625000.0,1524000.0,4378000.0,4455000.0,2108000.0,2842000.0,1271000.0,6.001E7,6.002E7,
6312000.0,2977000.0,2293000.0,6625000.0,1512000.0,4378000.0,4455000.0,2108000.0,2842000.0,1271000.0,6.001E7,6.003E7,
6306000.0,2970000.0,2291000.0,6619000.0,1491000.0,4378000.0,4455000.0,2108000.0,2842000.0,1271000.0,6.001E7,6.005E7,
6302000.0,2964000.0,2274000.0,6611000.0,1478000.0,4378000.0,4455000.0,2108000.0,2842000.0,1271000.0,6.001E7,6.008E7,
6302000.0,2964000.0,2274000.0,6596000.0,1430000.0,4378000.0,4455000.0,2108000.0,2842000.0,1271000.0,6.001E7,6.013E7,
6297000.0,2956000.0,2272000.0,6591000.0,1430000.0,4378000.0,4455000.0,2108000.0,2842000.0,1270000.0,6.001E7,6.013E7,
6290000.0,2954000.0,2271000.0,6576000.0,1430000.0,4378000.0,4455000.0,2108000.0,2842000.0,1270000.0,6.001E7,6.013E7,
6275000.0,2950000.0,2271000.0,6561000.0,1430000.0,4378000.0,4455000.0,2108000.0,2842000.0,1270000.0,6.001E7,6.013E7,
6271000.0,2949000.0,2269000.0,6536000.0,1420000.0,4375000.0,4455000.0,2108000.0,2842000.0,1270000.0,6.001E7,6.014E7,
6267000.0,2942000.0,2269000.0,6517000.0,1407000.0,4375000.0,4455000.0,2108000.0,2842000.0,1270000.0,6.001E7,6.016E7,
6267000.0,2932000.0,2268000.0,6507000.0,1401000.0,4374000.0,4455000.0,2108000.0,2842000.0,1267000.0,6.001E7,6.016E7,
6407000.0,2914000.0,2268000.0,6496000.0,1401000.0,4374000.0,4455000.0,2108000.0,2950000.0,1267000.0,6.001E7,6.001E7,
6417000.0,2912000.0,2267000.0,6489000.0,1396000.0,4372000.0,4453000.0,2108000.0,3022000.0,1266000.0,6.001E7,6.0E7,
6408000.0,2910000.0,2267000.0,6475000.0,1396000.0,4372000.0,4453000.0,2108000.0,3022000.0,1266000.0,6.001E7,6.0E7,
6402000.0,2901000.0,2245000.0,6453000.0,1384000.0,4372000.0,4453000.0,2107000.0,3022000.0,1266000.0,6.001E7,6.003E7,
6441000.0,2896000.0,2222000.0,6441000.0,1369000.0,4372000.0,4453000.0,2107000.0,3067000.0,1266000.0,6.001E7,6.002E7,
6436000.0,2890000.0,2222000.0,6436000.0,1369000.0,4372000.0,4453000.0,2107000.0,3067000.0,1266000.0,6.001E7,6.002E7,
6397000.0,2881000.0,2219000.0,6424000.0,1369000.0,4372000.0,4453000.0,2107000.0,3067000.0,1266000.0,6.001E7,6.007E7,
6386000.0,2878000.0,2218000.0,6418000.0,1355000.0,4372000.0,4453000.0,2107000.0,3067000.0,1266000.0,6.001E7,6.009E7,
6359000.0,2875000.0,2217000.0,6399000.0,1340000.0,4372000.0,4453000.0,2107000.0,3067000.0,1266000.0,6.001E7,6.012E7,
6354000.0,2869000.0,2200000.0,6383000.0,1340000.0,4372000.0,4453000.0,2107000.0,3067000.0,1264000.0,6.001E7,6.013E7,
6351000.0,2869000.0,2195000.0,6375000.0,1298000.0,4369000.0,4453000.0,2107000.0,3067000.0,1264000.0,6.001E7,6.018E7,
6592000.0,2861000.0,2195000.0,6369000.0,1298000.0,4369000.0,4453000.0,2107000.0,3093000.0,1263000.0,6.001E7,5.993E7,
6556000.0,2859000.0,2193000.0,6341000.0,1298000.0,4369000.0,4453000.0,2107000.0,3093000.0,1263000.0,6.001E7,5.995E7,
6527000.0,2852000.0,2192000.0,6330000.0,1290000.0,4369000.0,4453000.0,2107000.0,3093000.0,1263000.0,6.001E7,5.998E7,
6514000.0,2842000.0,2191000.0,6300000.0,1260000.0,4369000.0,4453000.0,2107000.0,3093000.0,1263000.0,6.001E7,6.001E7,
6528000.0,2840000.0,2190000.0,6286000.0,1260000.0,4369000.0,4453000.0,2107000.0,3214000.0,1263000.0,6.001E7,5.999E7,
6525000.0,2833000.0,2172000.0,6281000.0,1255000.0,4368000.0,4451000.0,2107000.0,3214000.0,1263000.0,6.001E7,6.001E7,
6517000.0,2827000.0,2172000.0,6281000.0,1211000.0,4368000.0,4451000.0,2107000.0,3214000.0,1263000.0,6.001E7,6.006E7,
6515000.0,2824000.0,2172000.0,6276000.0,1207000.0,4367000.0,4450000.0,2106000.0,3214000.0,1263000.0,6.001E7,6.006E7,
6509000.0,2816000.0,2172000.0,6270000.0,1207000.0,4367000.0,4450000.0,2106000.0,3214000.0,1263000.0,6.001E7,6.006E7,
6475000.0,2811000.0,2174000.0,6290000.0,1263000.0,4368000.0,4405000.0,2105000.0,3179000.0,1265000.0,6.001E7,6.006E7,
6506000.0,2825000.0,2176000.0,6292000.0,1272000.0,4384000.0,4365000.0,2126000.0,3275000.0,1264000.0,6.001E7,6.0E7,
6412000.0,2877000.0,2180000.0,6311000.0,1290000.0,4426000.0,4319000.0,2123000.0,3347000.0,1263000.0,6.001E7,6.0E7,
6412000.0,2857000.0,2181000.0,6304000.0,1296000.0,4444000.0,4289000.0,2210000.0,3346000.0,1264000.0,6.001E7,6.0E7,
6365000.0,2872000.0,2183000.0,6310000.0,1326000.0,4441000.0,4266000.0,2265000.0,3286000.0,1263000.0,6.001E7,6.0E7,
6342000.0,2885000.0,2183000.0,6294000.0,1374000.0,4429000.0,4230000.0,2282000.0,3256000.0,1264000.0,6.001E7,6.0E7,
6300000.0,2889000.0,2184000.0,6307000.0,1380000.0,4447000.0,4212000.0,2327000.0,3169000.0,1264000.0,6.001E7,6.0E7,
6279000.0,2884000.0,2190000.0,6281000.0,1371000.0,4453000.0,4200000.0,2359000.0,3188000.0,1265000.0,6.001E7,6.001E7,
6248000.0,2877000.0,2193000.0,6298000.0,1375000.0,4454000.0,4188000.0,2359000.0,3158000.0,1267000.0,6.001E7,6.002E7,
6294000.0,2874000.0,2187000.0,6296000.0,1405000.0,4438000.0,4180000.0,2372000.0,3247000.0,1268000.0,6.001E7,5.995E7,
6267000.0,2866000.0,2150000.0,6306000.0,1383000.0,4432000.0,4180000.0,2471000.0,3130000.0,1270000.0,6.001E7,6.002E7,
