RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,8364000.0,8396000.0,
4353000.0,1038000.0,783600.0,1427000.0,623400.0,450500.0,350200.0,389700.0,400600.0,8364000.0,8396000.0,
4353000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,8364000.0,8396000.0,
4338000.0,1038000.0,783500.0,1423000.0,609300.0,446900.0,350200.0,389600.0,400600.0,8364000.0,8413000.0,
4330000.0,1038000.0,768000.0,1423000.0,609300.0,446900.0,350200.0,389600.0,400600.0,8364000.0,8436000.0,
4325000.0,1033000.0,767900.0,1423000.0,609300.0,446900.0,350200.0,389600.0,400600.0,8364000.0,8436000.0,
4307000.0,1023000.0,767900.0,1420000.0,590700.0,445400.0,350200.0,389600.0,400600.0,8364000.0,8456000.0,
4304000.0,1020000.0,767800.0,1406000.0,590700.0,445400.0,350200.0,389600.0,400600.0,8364000.0,8456000.0,
4289000.0,1020000.0,767800.0,1406000.0,590700.0,445400.0,350200.0,389600.0,400600.0,8406000.0,8456000.0,
4289000.0,1020000.0,746800.0,1401000.0,590600.0,445400.0,350100.0,389600.0,400500.0,8406000.0,8477000.0,
4276000.0,1020000.0,746800.0,1401000.0,590600.0,445400.0,350100.0,389600.0,400500.0,8406000.0,8485000.0,
4276000.0,1019000.0,746800.0,1397000.0,590600.0,445400.0,350100.0,389600.0,400500.0,8406000.0,8485000.0,
4276000.0,1015000.0,746700.0,1392000.0,590600.0,445400.0,350100.0,389600.0,400500.0,8406000.0,8485000.0,
4271000.0,1015000.0,746700.0,1387000.0,573000.0,445400.0,350100.0,389600.0,400500.0,8448000.0,8502000.0,
4261000.0,1015000.0,746700.0,1387000.0,573000.0,445400.0,350100.0,389600.0,400500.0,8575000.0,8502000.0,
4245000.0,1015000.0,746400.0,1383000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8575000.0,8510000.0,
4240000.0,1015000.0,746400.0,1383000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8618000.0,8510000.0,
4240000.0,1015000.0,746400.0,1383000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8618000.0,8510000.0,
4228000.0,1014000.0,746100.0,1381000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8618000.0,8510000.0,
4221000.0,1014000.0,746100.0,1381000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8618000.0,8517000.0,
4221000.0,1014000.0,727200.0,1381000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8618000.0,8536000.0,
4216000.0,1014000.0,727200.0,1381000.0,568200.0,444200.0,348600.0,389600.0,400500.0,8661000.0,8536000.0,
4216000.0,1013000.0,727200.0,1377000.0,568100.0,444200.0,348600.0,389600.0,400400.0,8705000.0,8536000.0,
4216000.0,1013000.0,727200.0,1377000.0,568100.0,444200.0,348600.0,389600.0,400400.0,8748000.0,8536000.0,
4206000.0,1013000.0,727000.0,1373000.0,542000.0,444200.0,348600.0,389600.0,400400.0,8748000.0,8562000.0,
4201000.0,1012000.0,726700.0,1369000.0,542000.0,444200.0,348600.0,389600.0,400400.0,8792000.0,8562000.0,
4190000.0,1012000.0,726700.0,1369000.0,542000.0,444200.0,348600.0,389600.0,400400.0,8792000.0,8562000.0,
4190000.0,1012000.0,726700.0,1369000.0,542000.0,444200.0,348600.0,389600.0,400400.0,8792000.0,8562000.0,
4190000.0,1012000.0,726700.0,1369000.0,542000.0,444200.0,348600.0,389600.0,400400.0,8836000.0,8562000.0,
4190000.0,1012000.0,726600.0,1360000.0,542000.0,444100.0,348500.0,389500.0,400400.0,8836000.0,8562000.0,
4190000.0,1012000.0,726600.0,1360000.0,542000.0,444100.0,348500.0,389500.0,400400.0,8836000.0,8562000.0,
4183000.0,1012000.0,728600.0,1360000.0,542000.0,454200.0,347900.0,380100.0,400400.0,8836000.0,8562000.0,
4180000.0,1013000.0,730000.0,1360000.0,526900.0,458100.0,344100.0,380100.0,400400.0,8836000.0,8577000.0,
4179000.0,1013000.0,732000.0,1360000.0,526900.0,458100.0,344100.0,380100.0,400400.0,8836000.0,8577000.0,
4177000.0,1013000.0,733200.0,1360000.0,532900.0,452000.0,344100.0,396200.0,384300.0,8836000.0,8577000.0,
4172000.0,1016000.0,735400.0,1360000.0,532900.0,452000.0,344100.0,396200.0,384300.0,8836000.0,8577000.0,
4150000.0,1018000.0,737200.0,1379000.0,532900.0,452000.0,344100.0,406200.0,374200.0,8836000.0,8577000.0,
4148000.0,1011000.0,739200.0,1370000.0,532900.0,451900.0,343900.0,446200.0,334000.0,8836000.0,8577000.0,
4129000.0,1016000.0,739100.0,1380000.0,532900.0,451900.0,343900.0,446100.0,334000.0,8880000.0,8577000.0,
4126000.0,1017000.0,741500.0,1380000.0,532900.0,458300.0,337500.0,446100.0,334000.0,8969000.0,8577000.0,
4124000.0,1017000.0,743500.0,1380000.0,532900.0,661100.0,134700.0,446100.0,334000.0,8969000.0,8577000.0,
4123000.0,1016000.0,731300.0,1375000.0,532900.0,674100.0,121600.0,458200.0,321900.0,9014000.0,8591000.0,
4123000.0,1013000.0,734400.0,1370000.0,532900.0,674100.0,121600.0,464200.0,315800.0,9014000.0,8591000.0,
4111000.0,1014000.0,736100.0,1374000.0,532700.0,674000.0,200300.0,385400.0,315700.0,9014000.0,8591000.0,
4097000.0,1011000.0,738600.0,1384000.0,532700.0,674000.0,206300.0,497600.0,197500.0,9059000.0,8591000.0,
4095000.0,1012000.0,739900.0,1384000.0,538800.0,668000.0,215800.0,488100.0,197500.0,9104000.0,8591000.0,
4090000.0,1014000.0,728200.0,1384000.0,523700.0,674000.0,215800.0,506000.0,173700.0,9104000.0,8621000.0,
4090000.0,1014000.0,715800.0,1384000.0,523700.0,674000.0,215800.0,512000.0,167600.0,9104000.0,8634000.0,
4070000.0,1013000.0,703000.0,1384000.0,516300.0,668900.0,215800.0,512000.0,167600.0,9104000.0,8660000.0,
4063000.0,1004000.0,703500.0,1384000.0,516300.0,668900.0,221800.0,506000.0,167600.0,9104000.0,8660000.0,
4062000.0,1003000.0,705500.0,1384000.0,516300.0,668900.0,221800.0,506000.0,167600.0,9104000.0,8660000.0,
4055000.0,1007000.0,708400.0,1384000.0,516300.0,668900.0,221800.0,506000.0,167600.0,9150000.0,8660000.0,
4053000.0,1008000.0,708900.0,1379000.0,516300.0,668800.0,221700.0,505900.0,167500.0,9196000.0,8660000.0,
4052000.0,993700.0,709600.0,1379000.0,522300.0,662800.0,227800.0,505900.0,161500.0,9288000.0,8660000.0,
4047000.0,991500.0,711800.0,1379000.0,509700.0,662800.0,239800.0,493900.0,161500.0,9288000.0,8673000.0,
4038000.0,993600.0,713100.0,1379000.0,509700.0,662800.0,239800.0,493900.0,161500.0,9334000.0,8673000.0,
4025000.0,995200.0,715000.0,1379000.0,502200.0,662800.0,239800.0,493900.0,161500.0,9381000.0,8680000.0,
4011000.0,998300.0,715800.0,1379000.0,508200.0,664300.0,232300.0,493900.0,161500.0,9381000.0,8680000.0,
4005000.0,995800.0,720100.0,1379000.0,514300.0,658300.0,232300.0,493900.0,161500.0,9381000.0,8680000.0,
4004000.0,995800.0,720500.0,1379000.0,514300.0,658300.0,232300.0,493900.0,161500.0,9475000.0,8680000.0,
4001000.0,997100.0,721900.0,1374000.0,514300.0,658300.0,238300.0,487800.0,161500.0,9522000.0,8680000.0,
3979000.0,999000.0,710100.0,1393000.0,514300.0,658300.0,238300.0,487800.0,161500.0,9570000.0,8693000.0,
3977000.0,999300.0,711500.0,1393000.0,496700.0,658300.0,238300.0,487800.0,161500.0,9570000.0,8711000.0,
3977000.0,997400.0,714000.0,1393000.0,496700.0,664300.0,232300.0,487800.0,161500.0,9570000.0,8711000.0,
3976000.0,995500.0,715500.0,1389000.0,951800.0,209200.0,232300.0,487800.0,161500.0,9570000.0,8711000.0,
3968000.0,996400.0,716100.0,1396000.0,951800.0,209200.0,246700.0,488400.0,146400.0,9570000.0,8711000.0,
3966000.0,998300.0,716100.0,1391000.0,951800.0,209200.0,251600.0,496700.0,133400.0,9570000.0,8711000.0,
3957000.0,1000000.0,716800.0,1397000.0,951800.0,209200.0,267700.0,480600.0,133400.0,9570000.0,8711000.0,
3941000.0,1002000.0,716800.0,1397000.0,951800.0,209200.0,276700.0,471500.0,133400.0,9570000.0,8711000.0,
3935000.0,1002000.0,717200.0,1392000.0,951800.0,209100.0,506200.0,241900.0,133200.0,9618000.0,8711000.0,
3932000.0,1003000.0,717700.0,1392000.0,939200.0,209100.0,506200.0,241900.0,133200.0,9618000.0,8724000.0,
3931000.0,1000000.0,716800.0,1392000.0,926700.0,216700.0,507700.0,242900.0,214700.0,9526000.0,8737000.0,
3930000.0,999500.0,718900.0,1392000.0,926700.0,216700.0,507700.0,242900.0,214700.0,9526000.0,8737000.0,
3929000.0,999300.0,719900.0,1387000.0,931500.0,211900.0,507700.0,242900.0,214700.0,9574000.0,8737000.0,
3929000.0,998000.0,721200.0,1387000.0,918900.0,216700.0,502800.0,254000.0,203600.0,9622000.0,8749000.0,
3849000.0,999100.0,721900.0,1465000.0,918900.0,216700.0,502800.0,254000.0,203600.0,9622000.0,8749000.0,
3848000.0,996500.0,725300.0,1465000.0,918900.0,221500.0,498000.0,254000.0,245400.0,9580000.0,8749000.0,
3832000.0,999400.0,725800.0,1478000.0,924100.0,216400.0,506000.0,245900.0,245400.0,9580000.0,8749000.0,
3829000.0,1001000.0,727600.0,1478000.0,924100.0,216400.0,506000.0,245900.0,245400.0,9580000.0,8749000.0,
3827000.0,1002000.0,728400.0,1478000.0,924100.0,222400.0,506000.0,239900.0,245400.0,9628000.0,8749000.0,
3796000.0,1002000.0,728300.0,1504000.0,924100.0,222400.0,506000.0,239900.0,245400.0,9724000.0,8749000.0,
3794000.0,1001000.0,729000.0,1496000.0,924100.0,222400.0,506000.0,239900.0,245400.0,9724000.0,8749000.0,
3783000.0,999600.0,731700.0,1491000.0,924100.0,222400.0,517300.0,228600.0,245400.0,9773000.0,8749000.0,
3755000.0,981000.0,732500.0,1502000.0,924100.0,222400.0,517300.0,228600.0,245400.0,9822000.0,8749000.0,
3754000.0,979500.0,735200.0,1502000.0,930100.0,216400.0,517300.0,228600.0,245400.0,9822000.0,8749000.0,
3732000.0,976500.0,735100.0,1517000.0,930100.0,216300.0,517200.0,228500.0,245200.0,9822000.0,8749000.0,
3729000.0,977900.0,736900.0,1517000.0,1022000.0,124600.0,517200.0,228500.0,245200.0,9822000.0,8749000.0,
3729000.0,972800.0,742000.0,1517000.0,1022000.0,124600.0,517200.0,228500.0,245200.0,9920000.0,8749000.0,
3728000.0,970700.0,744900.0,1517000.0,1028000.0,377000.0,258800.0,228500.0,245200.0,9920000.0,8749000.0,
3727000.0,969800.0,746800.0,1517000.0,1033000.0,377000.0,254000.0,228500.0,245200.0,9920000.0,8749000.0,
3725000.0,971600.0,746800.0,1517000.0,1033000.0,377000.0,254000.0,228500.0,245200.0,9970000.0,8749000.0,
3724000.0,973600.0,746800.0,1517000.0,1033000.0,377000.0,254000.0,228500.0,245200.0,9970000.0,8749000.0,
3717000.0,973300.0,747600.0,1518000.0,1033000.0,377000.0,254000.0,228500.0,370300.0,9895000.0,8749000.0,
3716000.0,973100.0,748100.0,1508000.0,1032000.0,380900.0,250100.0,228500.0,370200.0,9895000.0,8749000.0,
3707000.0,969400.0,750500.0,1509000.0,1032000.0,380800.0,250000.0,228500.0,491500.0,9822000.0,8749000.0,
