cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,2.0760000000000002E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,372.2,695.7,341.8,3.618,30.76,39.57,36.31,50.98,59.21,0.0,257.0,0.7708,9.889,8.135,2.647,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7708,9.889,8.135,2.647,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09,10.69,7.04,333.5,3.163,2.837,3.58,3.232,4.854,0.0,4.955E-5,23.5,31.69,208.9,131.0,0.4798,0.6402,1.117,0.8487,1.172,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.263E-4,0.0,191000.0,78830.0,18470.0,17440.0,926700.0,9607.0,12350.0,7573.0,10000.0,10530.0,0.0,8.164E-35,6.602E-34,2.9209999999999997E-33,1.079E-33,4.683E-34,1.426E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,2.0760000000000002E-35,0.0,17.61,28.4,75.49,29.14,3.949,2.009,3.881,3.645,4.979,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.149,4.938,2.014,12.98,1.073,0.781,0.2136,0.489,0.2288,
0.0,4847.0,370.7,693.6,360.0,1.042,30.73,40.26,36.58,50.64,58.72,0.0,257.1,0.7514,9.874,8.008,2.587,7.213,14.0,15.49,33.0,30.52,0.0,257.1,0.7514,9.874,8.008,2.587,7.213,14.0,15.49,33.0,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84,11.79,7.17,332.5,3.164,2.838,3.582,3.233,4.856,0.0,4.958E-5,26.03,34.39,187.9,129.7,0.475,0.6142,1.111,0.8324,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235E-4,0.0,191000.0,116400.0,21150.0,16230.0,890400.0,9416.0,11950.0,7285.0,9542.0,10120.0,0.0,8.511000000000001E-35,6.544E-34,2.905E-33,1.064E-33,4.521E-34,1.39E-33,1.8590000000000002E-32,3.6510000000000002E-34,8.945E-33,2.55E-34,2.0760000000000002E-35,0.0,18.0,28.35,75.39,28.84,3.968,2.007,3.946,3.674,4.946,5.865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02094,9.193,4.969,1.994,12.91,1.072,0.7936,0.2174,0.4833,0.2184,
0.0,4847.0,322.3,731.5,374.0,0.7993,23.16,40.27,36.58,50.64,58.72,0.0,257.1,0.8404,9.685,8.188,2.587,7.113,14.0,15.49,33.0,30.52,0.0,257.1,0.8404,9.685,8.188,2.587,7.113,14.0,15.49,33.0,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.58,11.11,7.105,332.5,3.164,2.838,3.582,3.233,4.856,0.0,4.958E-5,25.81,38.15,185.8,130.0,2.998,0.6007,1.111,0.8258,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,132700.0,20770.0,15980.0,889500.0,9592.0,11690.0,7231.0,9434.0,10180.0,0.0,8.271E-35,6.1140000000000006E-34,2.8759999999999998E-33,1.133E-33,4.521E-34,1.364E-33,1.8590000000000002E-32,3.647E-34,8.945E-33,2.548E-34,2.0760000000000002E-35,0.0,18.0,24.69,77.35,30.75,3.968,1.787,3.946,3.674,4.946,5.865,0.0,0.0,0.9981,0.001204,7.129E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655,9.54,4.587,2.023,12.9,1.058,0.7935,0.2172,0.4832,0.2183,
0.0,4847.0,328.2,714.7,385.6,0.543,23.88,42.02,39.14,47.01,58.64,0.0,257.1,0.9258,9.552,8.176,2.581,7.106,14.06,15.57,32.88,30.51,0.0,257.1,0.9258,9.552,8.176,2.581,7.106,14.06,15.57,32.88,30.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.53,13.09,7.092,331.7,3.157,2.837,3.572,3.23,4.849,0.0,4.958E-5,25.67,34.77,174.1,130.1,2.072,0.5796,1.113,0.8117,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,151700.0,21530.0,15840.0,913200.0,9849.0,11810.0,7893.0,8735.0,10470.0,0.0,7.78E-35,5.979E-34,2.795E-33,1.089E-33,3.425E-34,1.2269999999999999E-33,1.956E-32,1.8659999999999998E-33,6.853E-33,2.042E-34,2.0760000000000002E-35,0.0,18.0,25.39,75.38,30.69,3.95,1.767,4.115,3.924,4.589,5.857,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655,9.527,4.598,2.024,12.89,1.055,0.8306,0.243,0.43,0.2169,
0.0,4847.0,324.8,720.5,391.9,0.5228,26.41,42.03,39.16,47.02,58.65,0.0,257.1,0.9888,9.479,8.177,2.581,7.131,14.06,15.56,32.87,30.51,0.0,257.1,0.9888,9.479,8.177,2.581,7.131,14.06,15.56,32.87,30.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13,13.49,7.047,329.8,3.154,2.814,3.549,3.208,4.822,0.0,4.958E-5,25.67,32.46,165.8,130.1,1.399,0.5728,1.112,0.8093,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166E-4,0.0,191000.0,172700.0,22540.0,16070.0,949600.0,10270.0,11680.0,8137.0,8884.0,10940.0,0.0,7.399000000000001E-35,6.062E-34,2.775E-33,1.104E-33,3.425E-34,1.204E-33,1.956E-32,1.8609999999999998E-33,6.85E-33,2.002E-34,2.0760000000000002E-35,0.0,18.01,25.41,75.35,30.34,3.95,2.108,4.116,3.928,4.591,5.859,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,9.497,4.627,2.017,12.89,1.063,0.8304,0.2415,0.4293,0.2157,
0.0,4847.0,325.3,727.8,398.6,0.6982,20.81,36.12,40.39,50.96,58.68,0.0,257.1,0.947,9.984,8.158,2.587,6.693,13.86,15.61,33.01,30.51,0.0,257.1,0.947,9.984,8.158,2.587,6.693,13.86,15.61,33.01,30.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.22,13.27,6.983,325.3,3.089,2.78,3.504,3.167,4.753,0.0,4.958E-5,25.82,31.03,158.9,130.1,1.053,0.5671,1.112,0.8095,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014E-4,0.0,191000.0,193300.0,23780.0,16600.0,1003000.0,10900.0,11010.0,8691.0,9680.0,11600.0,0.0,6.961E-35,6.327000000000001E-34,2.776E-33,1.615E-33,4.368E-34,7.045E-34,1.653E-32,2.5209999999999998E-33,8.882E-33,2.382E-34,2.0760000000000002E-35,0.0,18.01,25.31,75.45,31.1,3.968,1.404,3.537,4.047,4.975,5.861,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,9.527,4.58,2.024,12.89,1.072,0.7475,0.2625,0.485,0.2184,
0.0,4859.0,325.3,732.9,395.1,0.4883,21.01,40.89,39.88,46.38,59.17,0.0,257.2,0.9859,10.0,8.051,2.619,6.769,17.04,15.95,33.89,25.97,0.0,257.2,0.9859,10.0,8.051,2.619,6.769,17.04,15.95,33.89,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19,13.27,6.981,325.3,3.062,2.775,3.497,3.159,4.735,0.0,4.978E-5,25.89,30.1,146.2,130.1,0.8852,0.5642,1.112,0.8062,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,213200.0,24720.0,17030.0,1052000.0,11490.0,11490.0,9018.0,9320.0,12300.0,0.0,9.12E-35,5.981000000000001E-34,2.751E-33,1.405E-33,3.307E-34,8.15E-34,1.896E-32,2.27E-33,6.533E-33,4.8640000000000005E-34,2.0760000000000002E-35,0.0,18.95,25.44,75.57,29.9,3.955,1.407,4.003,3.997,4.528,5.909,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09743,9.509,4.597,1.974,12.88,1.068,0.8103,0.257,0.4191,0.2284,
0.0,4872.0,325.1,720.1,371.3,0.6119,20.59,50.49,41.03,36.44,58.64,0.0,257.4,0.9724,9.845,7.93,2.584,6.67,14.35,15.63,32.51,30.52,0.0,257.4,0.9724,9.845,7.93,2.584,6.67,14.35,15.63,32.51,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.12,13.26,6.975,322.6,2.979,2.76,3.479,3.136,4.681,0.0,4.984E-5,26.11,38.34,161.7,130.1,0.8,0.5646,1.112,0.803,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,231900.0,25010.0,18050.0,1096000.0,11910.0,12710.0,9505.0,8362.0,12760.0,0.0,1.436E-34,6.202E-34,2.6439999999999998E-33,1.3729999999999999E-33,3.948E-34,5.466000000000001E-34,2.3880000000000002E-32,2.857E-33,1.441E-33,2.157E-34,2.0760000000000002E-35,0.0,20.39,25.44,73.85,30.19,3.967,1.356,4.942,4.109,3.556,5.857,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,9.504,4.575,1.946,12.87,1.054,0.9541,0.274,0.2755,0.2176,
0.0,4872.0,326.7,712.5,389.1,0.6116,28.98,50.47,41.12,36.45,57.44,0.0,257.4,0.9808,9.762,7.815,2.584,5.619,14.05,15.25,32.04,32.91,0.0,257.4,0.9808,9.762,7.815,2.584,5.619,14.05,15.25,32.04,32.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.12,13.26,6.975,322.6,2.979,2.76,3.479,3.136,4.681,0.0,4.984E-5,25.59,36.86,144.6,130.1,0.7542,0.5643,1.112,0.8027,1.166,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282E-4,0.0,191000.0,246200.0,24980.0,17270.0,1078000.0,11670.0,12440.0,9372.0,8039.0,12430.0,0.0,1.3510000000000001E-34,6.241E-34,2.599E-33,1.2419999999999999E-33,3.948E-34,6.411E-34,2.3880000000000002E-32,2.859E-33,1.444E-33,2.188E-34,2.0760000000000002E-35,0.0,20.39,25.54,73.06,30.2,3.967,2.149,4.94,4.117,3.556,5.737,0.0,0.0,0.9981,0.001213,7.187E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,9.494,4.529,1.977,12.87,1.069,0.9556,0.2743,0.2773,0.2237,
