R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,2.3E-6,0.0,0.0,0.0,31000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,6.0,4.5E-5,0.0,0.0,0.0,65000.0,1.0,5.0E8,
2.5E-35,1.2,3099999.9999999995,3800.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,9.0,2.8E-4,0.0,0.0,0.0,81000.0,1.0,5.0E8,
2.5E-35,1.2,3099999.9999999995,3800.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,11.0,1.0E-4,0.0,0.0,0.0,99000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3800.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,13.0,2.2E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,14.0,4.4E-4,0.0,0.0,0.0,130000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,14.0,8.0E-4,0.0,0.0,0.0,150000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,15.0,0.0014,0.0,0.0,0.0,170000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.2,0.2,0.0,16.0,0.0022,0.0,0.0,0.0,180000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,20.0,0.0035,0.0,0.0,0.0,200000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,3099999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,20.0,0.0054,0.0,0.0,0.0,210000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.0073,0.0,0.0,0.0,220000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.0064,0.0,0.0,0.0,220000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.0069,0.0,0.0,0.0,220000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.0084,0.0,0.0,0.0,230000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.011,0.0,0.0,0.0,240000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.015,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.02,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.028,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.038,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.027,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.023,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.023,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.026,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.033,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.042,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.055,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.073,0.0,0.0,0.0,320000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.061,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.042,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.038,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.04,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.046,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.057,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.073,0.0,0.0,0.0,320000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.094,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.1,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.062,0.0,0.0,0.0,320000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.05,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.049,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.054,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.065,0.0,0.0,0.0,320000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.081,0.0,0.0,0.0,330000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.1,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.13,0.0,0.0,0.0,360000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.082,0.0,0.0,0.0,330000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.059,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.054,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.058,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.067,0.0,0.0,0.0,320000.0,1.0,5.0E8,
2.3999999999999999E-35,1.2,2999999.9999999995,3700.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3099999.9999999995,13.0,0.19,0.19,0.0,21.0,0.083,0.0,0.0,0.0,330000.0,1.0,5.0E8,
7.0E-36,0.86,3099999.9999999995,5300.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.9,0.29,0.29,0.0,24.0,0.056,0.0,0.0,0.0,320000.0,1.0,5.0E8,
7.0E-36,0.86,3099999.9999999995,5200.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.9,0.29,0.29,0.0,26.0,0.036,0.0,0.0,0.0,300000.0,1.0,5.0E8,
7.0E-36,0.86,3099999.9999999995,5200.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.9,0.29,0.29,0.0,27.0,0.031,0.0,0.0,0.0,290000.0,1.0,5.0E8,
6.9E-36,0.86,3099999.9999999995,5200.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,29.0,0.032,0.0,0.0,0.0,300000.0,1.0,5.0E8,
6.9E-36,0.86,310000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,29.0,0.037,0.0,0.0,0.0,300000.0,1.0,5.0E8,
6.9E-36,0.86,310000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,29.0,0.045,0.0,0.0,0.0,310000.0,1.0,5.0E8,
6.9E-36,0.86,310000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,29.0,0.057,0.0,0.0,0.0,320000.0,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,30.0,0.073,0.0,0.0,0.0,340000.0,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,9.8,0.29,0.29,0.0,30.0,0.094,0.0,0.0,0.0,350000.0,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,0.01,0.29,0.29,0.0,30.0,9.9,0.0,0.0,0.0,2200000.0,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,0.0015,0.29,0.29,0.0,30.0,9.9,0.0,0.0,0.0,3799999.9999999995,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,6.2E-4,0.29,0.29,0.0,30.0,9.9,0.0,0.0,0.0,5200000.0,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,3.3E-4,0.29,0.29,0.0,30.0,9.9,0.0,0.0,0.0,6499999.999999999,1.0,5.0E8,
6.9E-36,0.86,300000.0,5200.0,2600.0,2700000.0,0.0,0.0,0.0,0.0,0.0,2.3,3099999.9999999995,2.1E-4,0.29,0.29,0.0,30.0,9.9,0.0,0.0,0.0,7699999.999999999,1.0,5.0E8,
