entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.751,0.2279,0.1642,0.03902,0.02947,0.05384,0.02344,0.01694,0.01317,0.01465,0.01507,0.3145,0.3157,
1.751,0.2279,0.1641,0.03903,0.02947,0.05369,0.02345,0.01694,0.01317,0.01466,0.01507,0.3146,0.3158,
1.749,0.2275,0.163,0.03895,0.02941,0.05322,0.0234,0.01691,0.01315,0.01463,0.01504,0.3171,0.3152,
1.747,0.2242,0.1629,0.03895,0.02942,0.05323,0.02255,0.01691,0.01315,0.01463,0.01504,0.3172,0.3161,
1.746,0.238,0.1624,0.03861,0.02944,0.05328,0.02258,0.01693,0.01316,0.01464,0.01505,0.3175,0.3164,
1.744,0.2413,0.1619,0.03857,0.02941,0.05322,0.02227,0.01691,0.01314,0.01463,0.01504,0.3187,0.3163,
1.743,0.2295,0.1615,0.03851,0.02937,0.05314,0.02223,0.01688,0.01313,0.01461,0.01501,0.3198,0.3158,
1.742,0.2467,0.1612,0.03853,0.02938,0.05298,0.02178,0.01689,0.01313,0.01461,0.01502,0.32,0.3165,
1.741,0.2126,0.1608,0.03848,0.02934,0.05291,0.02174,0.01687,0.01311,0.01459,0.015,0.3212,0.316,
1.741,0.2187,0.1604,0.03849,0.02935,0.05293,0.02175,0.01688,0.01312,0.0146,0.01501,0.3213,0.3161,
1.741,0.2321,0.1598,0.03852,0.02937,0.05297,0.02177,0.01689,0.01313,0.01461,0.01502,0.3215,0.3164,
1.74,0.2284,0.1596,0.03846,0.02933,0.05288,0.02173,0.01686,0.01311,0.01459,0.01499,0.3226,0.3159,
1.737,0.2301,0.1591,0.0384,0.02929,0.05281,0.02105,0.01684,0.01309,0.01457,0.01497,0.3238,0.3161,
1.737,0.2286,0.1591,0.0384,0.02929,0.05281,0.02105,0.01684,0.01309,0.01457,0.01497,0.3238,0.3161,
1.735,0.2299,0.1584,0.03831,0.02924,0.05272,0.02101,0.01681,0.01307,0.01454,0.01495,0.3249,0.3161,
1.734,0.2319,0.158,0.03824,0.0292,0.05265,0.02098,0.01679,0.01305,0.01452,0.01493,0.326,0.3157,
1.734,0.2308,0.1578,0.03825,0.0292,0.05266,0.02076,0.01673,0.01305,0.01452,0.01493,0.3261,0.316,
1.733,0.2309,0.1576,0.03819,0.02915,0.05257,0.02073,0.01671,0.01303,0.0145,0.01491,0.3272,0.3155,
1.733,0.2321,0.1574,0.03819,0.02916,0.05258,0.02073,0.01671,0.01303,0.0145,0.01491,0.3272,0.3156,
1.731,0.2274,0.1574,0.03819,0.02916,0.05258,0.02008,0.01671,0.01303,0.0145,0.01491,0.3272,0.3162,
1.731,0.2259,0.1574,0.03819,0.02916,0.05258,0.02008,0.01671,0.01303,0.0145,0.01491,0.3272,0.3162,
1.73,0.2307,0.1572,0.03813,0.02912,0.05232,0.02005,0.01669,0.01301,0.01448,0.01489,0.3284,0.3158,
1.729,0.2305,0.1571,0.0381,0.02911,0.05233,0.02005,0.01669,0.01302,0.01448,0.01489,0.3285,0.3158,
1.728,0.2301,0.1562,0.0381,0.02896,0.05233,0.02005,0.01669,0.01302,0.01448,0.01489,0.3285,0.3168,
1.728,0.2277,0.1562,0.0381,0.02896,0.05233,0.02005,0.01669,0.01302,0.01448,0.01489,0.3285,0.3168,
1.728,0.2313,0.1562,0.0381,0.02896,0.05233,0.02005,0.01669,0.01302,0.01448,0.01489,0.3285,0.3168,
1.727,0.2229,0.156,0.03804,0.02891,0.05224,0.02002,0.01666,0.013,0.01446,0.01487,0.3296,0.3163,
1.726,0.2229,0.1557,0.03798,0.02886,0.05216,0.01998,0.01663,0.01297,0.01444,0.01484,0.3307,0.3158,
1.726,0.2298,0.1551,0.03798,0.02874,0.05216,0.01998,0.01663,0.01297,0.01444,0.01484,0.3307,0.3165,
1.725,0.2229,0.1544,0.03798,0.02874,0.05216,0.01998,0.01663,0.01297,0.01444,0.01484,0.3307,0.3172,
1.725,0.2241,0.1544,0.03798,0.02874,0.05216,0.01998,0.01663,0.01297,0.01562,0.01366,0.3307,0.3172,
1.725,0.2281,0.1535,0.03792,0.02885,0.05299,0.01952,0.01699,0.01262,0.01601,0.01327,0.3307,0.3177,
1.725,0.2299,0.1533,0.03798,0.02894,0.05299,0.01952,0.01699,0.01262,0.01601,0.01327,0.3307,0.3177,
1.725,0.2316,0.1533,0.03794,0.02904,0.05299,0.01971,0.0168,0.01262,0.01601,0.01327,0.3307,0.3177,
1.725,0.2347,0.1532,0.03793,0.02915,0.05284,0.01982,0.01669,0.0133,0.01534,0.01327,0.3307,0.3178,
1.724,0.2364,0.1531,0.03793,0.0292,0.05284,0.01954,0.01669,0.0133,0.01571,0.01289,0.3307,0.318,
1.723,0.2434,0.1527,0.03796,0.02926,0.05275,0.01951,0.01666,0.01327,0.01786,0.01069,0.3318,0.3175,
1.723,0.2448,0.1527,0.0379,0.02932,0.05275,0.01951,0.01666,0.01327,0.01786,0.01069,0.3318,0.3175,
1.722,0.2642,0.1526,0.03785,0.02945,0.05258,0.01951,0.01711,0.01909,0.01161,0.01069,0.3319,0.3176,
1.722,0.2531,0.1526,0.03781,0.02956,0.05242,0.01952,0.01711,0.01942,0.0118,0.01017,0.3319,0.3176,
1.721,0.2605,0.1522,0.03786,0.02958,0.05233,0.01948,0.01709,0.01938,0.01216,0.009774,0.3331,0.3171,
1.721,0.2386,0.1522,0.0378,0.02964,0.05208,0.01949,0.01737,0.01911,0.01216,0.009773,0.3332,0.3172,
1.718,0.2411,0.152,0.03791,0.02971,0.05208,0.01869,0.01724,0.01952,0.01175,0.009773,0.3332,0.3182,
1.718,0.2431,0.1518,0.03782,0.0298,0.05209,0.0187,0.01724,0.01953,0.01175,0.009775,0.3332,0.3182,
1.717,0.2483,0.1514,0.03787,0.02968,0.05202,0.01867,0.01722,0.0195,0.01173,0.00976,0.3344,0.3177,
