RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,8364000.0,8396000.0,
4363000.0,1038000.0,783600.0,1427000.0,623400.0,450500.0,350200.0,389700.0,400600.0,8364000.0,8396000.0,
4343000.0,1038000.0,783500.0,1418000.0,623300.0,450500.0,350200.0,389700.0,400600.0,8448000.0,8396000.0,
4338000.0,1038000.0,783500.0,1418000.0,600700.0,450500.0,350200.0,389700.0,400600.0,8448000.0,8418000.0,
4323000.0,1027000.0,783500.0,1418000.0,600700.0,450500.0,350200.0,389700.0,400600.0,8448000.0,8418000.0,
4313000.0,1027000.0,783500.0,1418000.0,593200.0,450500.0,350200.0,389700.0,400600.0,8490000.0,8426000.0,
4308000.0,1027000.0,783500.0,1418000.0,593200.0,450500.0,350200.0,389700.0,400600.0,8533000.0,8426000.0,
4298000.0,1027000.0,783500.0,1413000.0,580600.0,450500.0,350200.0,389700.0,400600.0,8533000.0,8438000.0,
4293000.0,1027000.0,783500.0,1413000.0,580600.0,450500.0,350200.0,389700.0,400600.0,8575000.0,8438000.0,
4282000.0,1027000.0,783500.0,1413000.0,580600.0,450500.0,350200.0,389700.0,400600.0,8575000.0,8438000.0,
4262000.0,1027000.0,783500.0,1413000.0,580600.0,450500.0,350200.0,389700.0,400600.0,8575000.0,8438000.0,
4262000.0,1027000.0,783500.0,1413000.0,580600.0,450500.0,350200.0,389700.0,400600.0,8618000.0,8438000.0,
4257000.0,1027000.0,783400.0,1413000.0,563000.0,450500.0,350200.0,389700.0,400600.0,8661000.0,8456000.0,
4257000.0,1027000.0,783400.0,1413000.0,563000.0,450500.0,350200.0,389700.0,400600.0,8661000.0,8456000.0,
4243000.0,1027000.0,783400.0,1413000.0,563000.0,450500.0,350200.0,389700.0,400600.0,8705000.0,8471000.0,
4239000.0,1026000.0,783400.0,1413000.0,563000.0,450500.0,350200.0,389700.0,400600.0,8748000.0,8471000.0,
4234000.0,1026000.0,783400.0,1413000.0,557000.0,449000.0,350200.0,389700.0,400600.0,8748000.0,8478000.0,
4234000.0,1026000.0,783400.0,1413000.0,557000.0,449000.0,350200.0,389700.0,400600.0,8792000.0,8478000.0,
4229000.0,1026000.0,783400.0,1413000.0,557000.0,449000.0,350200.0,389700.0,400600.0,8792000.0,8478000.0,
4229000.0,1026000.0,783400.0,1413000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8792000.0,8496000.0,
4229000.0,1026000.0,783400.0,1413000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8792000.0,8496000.0,
4229000.0,1026000.0,783400.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8836000.0,8496000.0,
4225000.0,1025000.0,783000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8836000.0,8496000.0,
4203000.0,1025000.0,779000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8836000.0,8523000.0,
4203000.0,1025000.0,779000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8836000.0,8523000.0,
4203000.0,1025000.0,779000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8836000.0,8523000.0,
4203000.0,1025000.0,779000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8880000.0,8523000.0,
4203000.0,1025000.0,779000.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8924000.0,8523000.0,
4187000.0,1025000.0,775700.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8924000.0,8542000.0,
4166000.0,1025000.0,775700.0,1408000.0,539400.0,449000.0,350200.0,389700.0,400600.0,8924000.0,8562000.0,
4166000.0,1025000.0,775700.0,1408000.0,539400.0,449000.0,350200.0,421600.0,368600.0,8924000.0,8562000.0,
4142000.0,1023000.0,778700.0,1430000.0,526800.0,458600.0,340500.0,432200.0,358100.0,8924000.0,8575000.0,
4138000.0,1025000.0,781000.0,1430000.0,526800.0,458600.0,340500.0,432200.0,358100.0,8924000.0,8575000.0,
4136000.0,1024000.0,783700.0,1430000.0,532000.0,453500.0,340500.0,432200.0,358100.0,8924000.0,8575000.0,
4134000.0,1024000.0,786600.0,1426000.0,534900.0,450300.0,358800.0,413800.0,358000.0,8924000.0,8575000.0,
4133000.0,1023000.0,787900.0,1426000.0,527400.0,450300.0,358800.0,423900.0,347900.0,8924000.0,8582000.0,
4127000.0,1026000.0,790900.0,1426000.0,527400.0,450300.0,358800.0,482900.0,289000.0,8969000.0,8582000.0,
4127000.0,1024000.0,792600.0,1426000.0,527400.0,450300.0,358800.0,482900.0,289000.0,8969000.0,8582000.0,
4125000.0,1023000.0,795900.0,1421000.0,527400.0,462400.0,515800.0,313700.0,288900.0,8969000.0,8582000.0,
