cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.96E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.59E-35,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,0.0,2.08E-35,3.3440000000000003E-35,1.141E-34,4.13E-35,1.437E-36,2.24E-36,1.324E-37,7.479E-38,3.1739999999999998E-37,1.218E-37,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,372.0,689.0,345.5,3.618,30.76,39.57,36.31,50.98,59.22,0.0,257.0,0.775,9.816,8.203,2.643,7.907,16.66,15.46,34.21,25.88,0.0,257.0,0.775,9.816,8.203,2.643,7.907,16.66,15.46,34.21,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.053,334.5,3.17,2.838,3.59,3.236,4.861,0.0,4.955E-5,23.49,31.69,212.1,129.6,0.4685,0.6387,1.101,0.8434,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272E-4,0.0,191000.0,47860.0,18470.0,17450.0,927600.0,9612.0,12350.0,7582.0,10000.0,10540.0,0.0,7.181E-35,6.626000000000001E-34,2.913E-33,1.089E-33,4.686E-34,1.429E-33,1.8240000000000002E-32,2.2160000000000003E-34,9.135999999999999E-33,5.166E-34,0.0,2.071E-35,3.224E-35,1.116E-34,4.015E-35,9.010999999999999E-37,2.2480000000000002E-36,1.2979999999999999E-37,7.303E-38,3.146E-37,1.19E-37,0.0,17.61,28.44,75.38,29.21,3.939,2.008,3.881,3.645,4.98,5.912,0.0,1.418E-35,9.157,4.928,2.016,12.99,1.079,0.7794,0.2124,0.4871,0.2268,
0.0,4855.0,388.0,667.6,357.9,1.034,31.37,40.29,38.09,48.45,58.98,0.0,257.0,0.8832,9.698,8.122,2.625,8.065,16.73,15.65,33.88,25.82,0.0,257.0,0.8832,9.698,8.122,2.625,8.065,16.73,15.65,33.88,25.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.07,10.68,6.959,329.9,3.137,2.786,3.538,3.183,4.79,0.0,4.967E-5,24.6,33.88,190.0,132.0,0.4685,0.6014,1.104,0.8195,1.16,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248E-4,0.0,191000.0,47380.0,18340.0,16150.0,900800.0,9615.0,12040.0,7789.0,9102.0,10270.0,0.0,8.371E-35,7.1690000000000005E-34,2.7879999999999998E-33,1.0439999999999999E-33,3.7740000000000004E-34,1.735E-33,1.865E-32,1.3319999999999999E-33,7.589E-33,3.965E-34,0.0,2.427E-35,3.16E-35,1.076E-34,3.594E-35,1.52E-37,2.25E-36,1.276E-37,7.136E-38,3.1499999999999997E-37,1.185E-37,0.0,18.54,29.91,73.68,28.5,3.924,2.069,3.947,3.819,4.731,5.888,0.0,0.05099,9.146,4.931,1.964,12.97,1.078,0.796,0.2437,0.4467,0.2241,
0.0,4855.0,371.0,682.2,378.4,0.6683,30.66,40.77,38.13,48.65,58.99,0.0,257.0,0.7744,9.841,8.088,2.625,8.233,16.74,15.6,33.84,25.74,0.0,257.0,0.7744,9.841,8.088,2.625,8.233,16.74,15.6,33.84,25.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.66,6.896,325.3,3.071,2.752,3.492,3.142,4.72,0.0,4.967E-5,24.23,31.49,174.6,132.4,0.467,0.583,1.102,0.8118,1.159,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,48560.0,18830.0,15610.0,910400.0,9697.0,11610.0,7839.0,8998.0,10450.0,0.0,6.752E-35,6.343E-34,2.851E-33,1.052E-33,3.813E-34,1.354E-33,1.888E-32,1.349E-33,7.688E-33,4.012E-34,0.0,2.414E-35,3.0040000000000003E-35,1.068E-34,3.608E-35,4.966E-39,2.2480000000000002E-36,1.272E-37,7.133E-38,3.148E-37,1.185E-37,0.0,18.54,28.44,74.88,28.77,3.925,1.999,3.992,3.822,4.75,5.889,0.0,0.05099,9.137,4.941,1.959,12.97,1.065,0.8045,0.2443,0.4503,0.2243,
0.0,4855.0,365.7,688.2,387.4,0.6178,30.66,40.77,38.13,48.65,58.99,0.0,257.0,0.769,9.826,8.091,2.625,7.981,16.79,15.65,33.9,25.82,0.0,257.0,0.769,9.826,8.091,2.625,7.981,16.79,15.65,33.9,25.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67,11.23,6.895,328.0,3.088,2.755,3.496,3.147,4.731,0.0,4.967E-5,24.17,30.52,165.9,132.3,0.4787,0.5793,1.105,0.8127,1.167,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,45410.0,19450.0,15550.0,922700.0,9527.0,11400.0,7905.0,8938.0,10450.0,0.0,5.446E-35,6.223E-34,2.858E-33,1.046E-33,3.813E-34,1.341E-33,1.888E-32,1.349E-33,7.688E-33,4.01E-34,0.0,2.402E-35,2.99E-35,1.06E-34,3.598E-35,1.017E-39,2.2480000000000002E-36,1.265E-37,7.127E-38,3.145E-37,1.185E-37,0.0,18.54,28.08,75.21,28.81,3.925,1.999,3.992,3.822,4.75,5.889,0.0,0.05099,8.995,5.011,1.959,13.03,1.064,0.8044,0.2441,0.4501,0.2238,
0.0,4858.0,365.9,686.5,395.1,0.5975,30.66,40.77,38.13,48.65,58.99,0.0,257.1,0.7739,9.818,7.962,2.645,7.981,16.79,15.65,33.9,25.82,0.0,257.1,0.7739,9.818,7.962,2.645,7.981,16.79,15.65,33.9,25.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,11.12,6.95,324.4,3.03,2.722,3.461,3.109,4.669,0.0,4.97E-5,24.21,29.41,157.9,132.2,0.4787,0.578,1.104,0.8122,1.167,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175E-4,0.0,191000.0,47070.0,21800.0,16360.0,940400.0,9502.0,11450.0,8105.0,9050.0,10610.0,0.0,5.147E-35,6.255000000000001E-34,2.826E-33,1.045E-33,3.915E-34,1.3269999999999999E-33,1.888E-32,1.349E-33,7.688E-33,4.0070000000000005E-34,0.0,2.436E-35,2.855E-35,1.064E-34,3.544E-35,8.309999999999999E-40,2.2480000000000002E-36,1.2579999999999999E-37,7.122E-38,3.142E-37,1.185E-37,0.0,18.92,28.08,74.99,28.59,3.976,1.999,3.992,3.822,4.75,5.889,0.0,0.07192,8.982,5.003,1.951,13.03,1.064,0.8043,0.244,0.45,0.2237,
0.0,4865.0,321.1,731.1,391.8,0.5897,30.66,40.77,38.13,48.82,58.82,0.0,257.2,0.7869,9.811,7.918,2.645,7.981,16.79,15.65,30.73,29.0,0.0,257.2,0.7869,9.811,7.918,2.645,7.981,16.79,15.65,30.73,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.47,11.21,6.914,320.7,2.973,2.689,3.426,3.071,4.606,0.0,4.977E-5,24.26,29.18,151.8,132.2,0.4787,0.5802,1.105,0.8132,1.167,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.154E-4,0.0,191000.0,49150.0,22540.0,16720.0,975700.0,9739.0,11740.0,8426.0,9342.0,10990.0,0.0,6.049E-35,5.920000000000001E-34,2.8489999999999997E-33,1.019E-33,3.915E-34,1.313E-33,1.888E-32,1.3479999999999999E-33,7.687E-33,4.005E-34,0.0,2.5650000000000003E-35,2.338E-35,1.0990000000000001E-34,3.427E-35,8.162E-40,2.2480000000000002E-36,1.25E-37,7.116E-38,3.1339999999999998E-37,1.189E-37,0.0,19.53,24.76,78.0,28.06,3.976,1.999,3.992,3.822,4.767,5.872,0.0,0.09462,8.961,5.046,1.936,13.03,1.064,0.8043,0.244,0.4496,0.224,
0.0,4865.0,321.9,730.0,397.1,0.5856,30.65,40.76,38.13,48.82,58.82,0.0,257.2,0.7794,9.813,7.921,2.645,7.977,16.78,15.65,30.73,29.0,0.0,257.2,0.7794,9.813,7.921,2.645,7.977,16.78,15.65,30.73,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,11.2,6.899,318.8,2.938,2.683,3.409,3.06,4.581,0.0,4.978E-5,24.19,28.95,147.1,132.2,0.4788,0.5863,1.105,0.8157,1.167,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018E-4,0.0,191000.0,51800.0,23670.0,17340.0,1030000.0,10230.0,12260.0,8894.0,9817.0,11660.0,0.0,5.259E-35,5.904E-34,2.8449999999999998E-33,1.01E-33,3.915E-34,1.298E-33,1.887E-32,1.3479999999999999E-33,7.687E-33,4.003E-34,0.0,2.558E-35,2.308E-35,1.0910000000000002E-34,3.433E-35,8.011E-40,2.246E-36,1.2379999999999999E-37,7.066E-38,3.1299999999999997E-37,1.188E-37,0.0,19.53,24.79,77.93,28.1,3.976,1.998,3.992,3.822,4.767,5.872,0.0,0.2578,8.79,5.051,1.936,13.03,1.063,0.804,0.2436,0.4497,0.224,
0.0,4869.0,341.9,730.0,384.2,0.584,22.3,40.76,38.13,48.82,58.82,0.0,257.4,0.784,9.815,7.769,2.453,7.885,16.78,15.65,30.73,29.2,0.0,257.4,0.784,9.815,7.769,2.453,7.885,16.78,15.65,30.73,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.88,12.09,6.898,307.7,2.085,2.506,3.195,2.798,13.9,0.0,7.937E-5,24.27,26.84,144.3,132.3,0.6383,0.6217,1.142,0.8635,3.04,0.0,0.0,4800000.0,363.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134E-4,0.0,191000.0,54980.0,26190.0,17860.0,1036000.0,8191.0,12270.0,8704.0,9512.0,46350.0,0.0,6.955E-35,5.9120000000000005E-34,2.8389999999999997E-33,9.868E-34,3.912E-34,1.2779999999999999E-33,1.887E-32,1.3479999999999999E-33,7.687E-33,4.008E-34,0.0,2.34E-35,2.469E-35,1.088E-34,3.421E-35,7.889E-40,2.246E-36,1.23E-37,7.06E-38,3.126E-37,1.188E-37,0.0,18.53,26.41,77.86,27.7,3.98,1.789,3.993,3.823,4.768,5.929,0.0,0.319,8.793,5.078,1.897,12.53,1.007,0.7978,0.2358,0.4399,0.7272,
0.0,4878.0,344.7,718.2,404.7,0.5836,22.37,40.62,37.98,48.81,58.82,0.0,257.5,0.7654,9.752,7.779,1.891,7.755,16.82,15.7,30.72,29.77,0.0,257.5,0.7654,9.752,7.779,1.891,7.755,16.82,15.7,30.72,29.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,12.8,7.403,314.9,2.838,2.643,3.356,3.01,4.266,0.0,4.99E-5,25.39,24.9,124.8,133.1,0.7344,0.6499,1.164,0.895,1.825,0.0,0.0,4800000.0,361.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28E-4,0.0,191000.0,56070.0,24240.0,17190.0,1017000.0,9588.0,12620.0,8753.0,9832.0,20410.0,0.0,9.332E-35,5.741E-34,2.815E-33,9.916000000000001E-34,3.871E-34,1.2629999999999999E-33,1.887E-32,1.3479999999999999E-33,7.687E-33,3.997E-34,0.0,2.408E-35,2.487E-35,1.069E-34,3.419E-35,7.725E-40,2.2320000000000003E-36,1.214E-37,7.063E-38,3.119E-37,1.184E-37,0.0,19.3,26.43,77.12,27.85,3.864,1.8,3.978,3.804,4.764,5.873,0.0,0.4201,8.801,5.02,1.905,12.79,1.01,0.8028,0.243,0.4476,0.3848,
