entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.177,0.3453,0.106,0.09074,0.06852,0.1248,0.05399,0.03926,0.03063,0.03408,0.03503,0.2067,0.2102,
2.177,0.3459,0.1062,0.09045,0.06858,0.1242,0.05404,0.03931,0.03066,0.03412,0.03507,0.207,0.2104,
2.176,0.3369,0.1061,0.09047,0.06863,0.1236,0.05367,0.03924,0.03056,0.03415,0.0351,0.2072,0.2113,
2.174,0.3425,0.1061,0.09041,0.06793,0.1231,0.05297,0.03922,0.03054,0.03413,0.03508,0.2081,0.2125,
2.175,0.337,0.1081,0.09041,0.06793,0.1231,0.05297,0.03922,0.03054,0.03413,0.03508,0.2081,0.2105,
2.17,0.3515,0.1081,0.0904,0.06792,0.1222,0.04988,0.03921,0.03053,0.03412,0.03507,0.2091,0.2135,
2.172,0.3384,0.1119,0.09034,0.06788,0.1217,0.04985,0.03919,0.03051,0.0341,0.03505,0.21,0.2095,
2.171,0.3446,0.1097,0.09042,0.06794,0.1213,0.0499,0.03922,0.03054,0.03413,0.03508,0.2102,0.2116,
2.186,0.3483,0.1133,0.09035,0.06788,0.12,0.04788,0.03919,0.03051,0.0341,0.0451,0.2021,0.2097,
2.185,0.3487,0.1118,0.09035,0.06788,0.12,0.04788,0.03919,0.03051,0.0341,0.0451,0.2021,0.2112,
2.184,0.359,0.1111,0.09035,0.06788,0.12,0.04788,0.03919,0.03051,0.0341,0.0451,0.2021,0.2119,
2.181,0.3556,0.1092,0.09039,0.06639,0.1196,0.04792,0.03923,0.03054,0.03413,0.04514,0.2023,0.2151,
2.181,0.3565,0.1092,0.09036,0.06638,0.1188,0.04791,0.03922,0.03054,0.03413,0.04513,0.2032,0.2151,
2.178,0.3515,0.109,0.09017,0.06624,0.1186,0.0465,0.03914,0.03048,0.03406,0.04504,0.2049,0.216,
2.178,0.3516,0.109,0.09025,0.0663,0.1178,0.04654,0.03918,0.0305,0.03409,0.04508,0.205,0.2162,
2.178,0.3542,0.1091,0.09033,0.06636,0.117,0.04658,0.03921,0.03053,0.03412,0.04512,0.2052,0.2164,
2.178,0.3541,0.1088,0.09031,0.06639,0.1171,0.0466,0.03923,0.03054,0.03413,0.04514,0.2053,0.2165,
2.174,0.3636,0.1088,0.09031,0.06535,0.1171,0.04506,0.03923,0.03054,0.03413,0.04514,0.2053,0.2191,
2.173,0.3517,0.1076,0.09025,0.0654,0.1164,0.0451,0.03926,0.03057,0.03416,0.04517,0.2055,0.2205,
2.173,0.3477,0.1075,0.09022,0.06535,0.1161,0.04514,0.03929,0.03059,0.03418,0.0452,0.2057,0.2207,
2.171,0.348,0.1075,0.09022,0.06381,0.1161,0.04514,0.03929,0.03059,0.03418,0.0452,0.2057,0.2223,
2.169,0.3446,0.1072,0.08994,0.06361,0.1158,0.045,0.03917,0.03049,0.03408,0.04506,0.2081,0.2216,
2.167,0.3578,0.107,0.08984,0.06354,0.1157,0.04385,0.03913,0.03046,0.03404,0.04502,0.209,0.2225,
2.167,0.3537,0.1069,0.08985,0.06363,0.1149,0.04391,0.03918,0.0305,0.03409,0.04507,0.2092,0.2228,
2.166,0.3539,0.1067,0.08976,0.06356,0.1148,0.04387,0.03914,0.03047,0.03405,0.04503,0.2101,0.2225,
2.166,0.3531,0.1066,0.08959,0.06359,0.1149,0.04389,0.03915,0.03048,0.03407,0.04505,0.2101,0.2226,
2.186,0.3441,0.1104,0.08959,0.06359,0.1149,0.04389,0.03915,0.03048,0.03407,0.05733,0.1979,0.2188,
2.19,0.3409,0.117,0.08959,0.06359,0.1149,0.04389,0.03915,0.03048,0.03407,0.05733,0.1979,0.2122,
2.188,0.3453,0.1133,0.08951,0.06361,0.1149,0.0439,0.03917,0.03049,0.03408,0.05736,0.1979,0.2157,
2.186,0.3543,0.1131,0.08933,0.06349,0.1147,0.04316,0.03909,0.03043,0.03401,0.05724,0.1995,0.2159,
2.186,0.35,0.1125,0.08954,0.06361,0.1147,0.04398,0.03831,0.03045,0.03403,0.05727,0.1996,0.216,
2.186,0.3467,0.1142,0.08937,0.06366,0.1146,0.04393,0.03827,0.0344,0.03002,0.05721,0.2004,0.2139,
2.188,0.3479,0.1124,0.08961,0.06373,0.1161,0.04393,0.03827,0.0344,0.03357,0.05366,0.2004,0.2139,
2.189,0.3517,0.1143,0.0897,0.06391,0.116,0.04389,0.03824,0.03436,0.03354,0.0536,0.2012,0.2113,
2.192,0.3841,0.1184,0.08973,0.06401,0.116,0.04389,0.03824,0.03436,0.03406,0.05308,0.2012,0.2071,
2.194,0.3369,0.1178,0.08929,0.06452,0.1161,0.04391,0.03825,0.0348,0.03808,0.04868,0.2013,0.2072,
2.194,0.3256,0.1177,0.08974,0.06466,0.1146,0.04398,0.03832,0.03539,0.03762,0.04877,0.2017,0.2075,
2.192,0.3308,0.1179,0.08964,0.06497,0.1135,0.04281,0.03784,0.03648,0.03713,0.04829,0.2019,0.2096,
2.191,0.3299,0.1175,0.0897,0.06506,0.113,0.04331,0.03729,0.03699,0.03658,0.04826,0.2028,0.2095,
2.188,0.3445,0.1164,0.08936,0.06508,0.113,0.04208,0.03705,0.03702,0.03661,0.0483,0.204,0.2112,
2.188,0.3402,0.1176,0.08884,0.06496,0.1129,0.04203,0.037,0.03697,0.03657,0.04824,0.2058,0.2091,
2.188,0.343,0.1176,0.08877,0.06509,0.1129,0.04203,0.037,0.0388,0.03474,0.04824,0.2058,0.2091,
2.164,0.3615,0.1177,0.08878,0.0652,0.1121,0.06875,0.01034,0.03883,0.03606,0.04699,0.206,0.2093,
2.164,0.3287,0.1162,0.08879,0.06538,0.1131,0.06878,0.01035,0.03885,0.03608,0.04701,0.2061,0.2094,
2.163,0.3109,0.1153,0.08877,0.0654,0.1131,0.06877,0.01035,0.03884,0.03608,0.047,0.2071,0.2093,
2.161,0.3151,0.1118,0.08863,0.06369,0.1157,0.06866,0.01033,0.03878,0.03705,0.04589,0.2088,0.2106,
2.162,0.3167,0.1133,0.08887,0.06381,0.1163,0.06866,0.01033,0.03878,0.03793,0.04502,0.2088,0.2082,
2.159,0.3285,0.1129,0.08923,0.06386,0.1163,0.06558,0.01033,0.03878,0.03845,0.04449,0.2088,0.2113,
2.159,0.3266,0.1138,0.08908,0.06383,0.1156,0.06611,0.01023,0.03849,0.03938,0.04366,0.2101,0.2097,
2.18,0.3279,0.1134,0.08927,0.06402,0.1156,0.0649,0.01023,0.03849,0.04111,0.05738,0.1946,0.2109,
2.181,0.3257,0.116,0.08922,0.06417,0.1156,0.06369,0.01057,0.03815,0.04293,0.05556,0.1946,0.2094,
2.181,0.3247,0.1155,0.08957,0.06414,0.1155,0.06363,0.01056,0.03811,0.04289,0.05551,0.1954,0.2092,
2.178,0.3253,0.114,0.08944,0.06268,0.1167,0.06356,0.01054,0.03808,0.04285,0.05545,0.1962,0.2105,
2.177,0.327,0.1136,0.08884,0.06289,0.1163,0.06338,0.01051,0.03796,0.04272,0.05529,0.1986,0.2099,
2.177,0.3271,0.1133,0.08904,0.06299,0.1163,0.06338,0.01051,0.03796,0.0436,0.05442,0.1986,0.2099,
2.177,0.3274,0.113,0.08907,0.06301,0.1164,0.06341,0.01052,0.03798,0.04362,0.05444,0.1987,0.21,
2.179,0.3286,0.1148,0.08939,0.06313,0.116,0.06343,0.01052,0.03799,0.04363,0.05445,0.1987,0.2079,
2.179,0.3367,0.1134,0.08933,0.0632,0.117,0.06337,0.01051,0.03795,0.05119,0.0468,0.1995,0.2077,
2.177,0.3452,0.113,0.0895,0.06326,0.1165,0.06224,0.0105,0.03835,0.05074,0.04677,0.2004,0.2086,
2.175,0.3366,0.1129,0.08976,0.06339,0.1158,0.06075,0.01051,0.03922,0.04994,0.04681,0.2006,0.2104,
2.176,0.3492,0.1128,0.08946,0.06363,0.1163,0.0608,0.01052,0.04065,0.04858,0.04685,0.2018,0.2087,
2.176,0.3461,0.1114,0.08944,0.06375,0.1164,0.0608,0.01086,0.04032,0.04859,0.04685,0.2028,0.2088,
2.177,0.3388,0.1152,0.08885,0.06379,0.1163,0.0597,0.01085,0.04032,0.04858,0.04684,0.2038,0.2057,
2.177,0.3427,0.1147,0.08826,0.06402,0.1161,0.05979,0.01129,0.03997,0.04866,0.04692,0.2042,0.206,
2.174,0.348,0.1122,0.0882,0.06241,0.1174,0.05972,0.01128,0.03992,0.04861,0.04687,0.206,0.2075,
2.174,0.3603,0.1119,0.08815,0.06236,0.1174,0.05975,0.01129,0.04046,0.0481,0.04689,0.2061,0.2076,
2.177,0.3467,0.1118,0.08836,0.06252,0.1167,0.05979,0.01357,0.03821,0.04814,0.04692,0.2062,0.2077,
2.177,0.3516,0.1115,0.08884,0.06265,0.1156,0.05987,0.01401,0.03784,0.04917,0.04601,0.2065,0.208,
2.176,0.3608,0.1102,0.08865,0.06269,0.1166,0.05981,0.014,0.0378,0.05035,0.04474,0.2073,0.2078,
2.176,0.3527,0.1101,0.08821,0.06265,0.1166,0.05977,0.01399,0.03848,0.04961,0.04471,0.2082,0.2077,
2.176,0.4005,0.1089,0.08894,0.06271,0.1164,0.05982,0.014,0.03851,0.04966,0.04475,0.2084,0.2079,
2.176,0.3719,0.1084,0.08963,0.06279,0.1157,0.05987,0.01401,0.03854,0.05057,0.04391,0.2086,0.208,
2.17,0.3362,0.108,0.08944,0.06305,0.1155,0.06314,0.01066,0.0385,0.05052,0.04386,0.2094,0.2078,
2.17,0.336,0.1081,0.08934,0.06322,0.1152,0.06317,0.01066,0.03852,0.05183,0.04259,0.2095,0.2079,
2.17,0.3365,0.1081,0.08934,0.06322,0.1152,0.06317,0.01066,0.03852,0.05183,0.04259,0.2095,0.2079,
2.168,0.3431,0.1079,0.08935,0.06165,0.1152,0.06317,0.01066,0.03947,0.05244,0.04103,0.2095,0.2096,
2.169,0.3492,0.1078,0.0895,0.06165,0.1152,0.06317,0.01119,0.04123,0.05103,0.04015,0.2095,0.2096,
2.168,0.3403,0.1062,0.0895,0.06164,0.1163,0.06311,0.01118,0.04171,0.05045,0.04011,0.2104,0.2094,
2.168,0.3436,0.1059,0.08975,0.06176,0.1163,0.06311,0.01118,0.04171,0.05045,0.04011,0.2104,0.2094,
2.169,0.3464,0.103,0.08975,0.06176,0.1192,0.06311,0.01251,0.04038,0.05159,0.03898,0.2104,0.2094,
2.168,0.3695,0.1027,0.08981,0.06193,0.1192,0.06398,0.01164,0.04038,0.05159,0.03898,0.2104,0.2094,
2.169,0.3419,0.1026,0.08986,0.062,0.1183,0.06397,0.01276,0.03925,0.05263,0.03792,0.2114,0.2093,
2.167,0.3456,0.1023,0.09018,0.0621,0.118,0.0629,0.01276,0.03926,0.05265,0.03793,0.2115,0.2105,
2.167,0.3482,0.1018,0.09012,0.0623,0.118,0.06293,0.01277,0.03928,0.05267,0.03795,0.2116,0.2106,
2.181,0.304,0.1024,0.08963,0.06258,0.1176,0.06291,0.01276,0.06006,0.03368,0.04655,0.2021,0.2097,
2.179,0.3011,0.1059,0.08975,0.06084,0.1175,0.06131,0.01275,0.06,0.0347,0.04545,0.203,0.2089,
