RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2364000.0,2396000.0,
1213000.0,1038000.0,783600.0,1427000.0,617300.0,449000.0,350200.0,389700.0,400600.0,2364000.0,2403000.0,
1212000.0,1033000.0,783200.0,1418000.0,617200.0,448900.0,350200.0,389600.0,400500.0,2364000.0,2403000.0,
1211000.0,1032000.0,783100.0,1410000.0,612300.0,447700.0,348600.0,389600.0,400500.0,2364000.0,2411000.0,
1211000.0,1032000.0,775600.0,1405000.0,604800.0,447700.0,348600.0,389600.0,400500.0,2376000.0,2426000.0,
1234000.0,1032000.0,775600.0,1405000.0,604800.0,447700.0,348600.0,389600.0,400500.0,2376000.0,2403000.0,
1234000.0,1032000.0,775600.0,1395000.0,569600.0,447700.0,348600.0,389600.0,400500.0,2388000.0,2438000.0,
1278000.0,1032000.0,775600.0,1390000.0,569600.0,447700.0,348600.0,389600.0,400500.0,2400000.0,2394000.0,
1252000.0,1032000.0,775600.0,1385000.0,569600.0,447700.0,348600.0,389600.0,400500.0,2400000.0,2415000.0,
1294000.0,1032000.0,775500.0,1370000.0,547000.0,447700.0,348600.0,389600.0,515200.0,2309000.0,2395000.0,
1277000.0,1032000.0,775500.0,1370000.0,547000.0,447700.0,348600.0,389600.0,515200.0,2309000.0,2413000.0,
1269000.0,1032000.0,775500.0,1370000.0,547000.0,447700.0,348600.0,389600.0,515200.0,2309000.0,2420000.0,
1247000.0,1032000.0,757700.0,1365000.0,547000.0,447700.0,348600.0,389600.0,515200.0,2309000.0,2456000.0,
1246000.0,1031000.0,757700.0,1356000.0,547000.0,447700.0,348600.0,389600.0,515200.0,2320000.0,2456000.0,
1246000.0,1031000.0,757700.0,1356000.0,531900.0,447700.0,348600.0,389600.0,515200.0,2343000.0,2471000.0,
1246000.0,1031000.0,757700.0,1346000.0,531900.0,447700.0,348600.0,389600.0,515200.0,2343000.0,2471000.0,
1246000.0,1031000.0,757700.0,1336000.0,531900.0,447700.0,348600.0,389600.0,515200.0,2343000.0,2471000.0,
1242000.0,1031000.0,757700.0,1336000.0,531900.0,447700.0,348600.0,389600.0,515200.0,2343000.0,2471000.0,
1242000.0,1031000.0,745900.0,1336000.0,514300.0,447700.0,348600.0,389600.0,515200.0,2343000.0,2500000.0,
1227000.0,1029000.0,745800.0,1328000.0,514300.0,447700.0,348600.0,389600.0,515100.0,2343000.0,2515000.0,
1225000.0,1028000.0,744600.0,1323000.0,514300.0,447600.0,348500.0,389500.0,515000.0,2343000.0,2515000.0,
1225000.0,1028000.0,727000.0,1323000.0,514300.0,447600.0,348500.0,389500.0,515000.0,2343000.0,2533000.0,
1225000.0,1028000.0,727000.0,1323000.0,514300.0,447600.0,348500.0,389500.0,515000.0,2379000.0,2533000.0,
1225000.0,1028000.0,727000.0,1323000.0,501700.0,447600.0,348500.0,389500.0,515000.0,2391000.0,2545000.0,
1221000.0,1027000.0,727000.0,1313000.0,501700.0,447600.0,348500.0,389500.0,515000.0,2391000.0,2545000.0,
1221000.0,1027000.0,727000.0,1313000.0,501700.0,447600.0,348500.0,389500.0,515000.0,2402000.0,2545000.0,
1218000.0,1024000.0,727000.0,1313000.0,501700.0,447600.0,348500.0,389500.0,515000.0,2402000.0,2545000.0,
1262000.0,1024000.0,727000.0,1313000.0,501700.0,447600.0,348500.0,389500.0,655500.0,2262000.0,2502000.0,
1338000.0,1024000.0,727000.0,1313000.0,501700.0,447600.0,348500.0,389500.0,655500.0,2262000.0,2426000.0,
1295000.0,1023000.0,726900.0,1313000.0,501700.0,447600.0,348500.0,389500.0,655500.0,2262000.0,2465000.0,
1295000.0,1023000.0,726900.0,1313000.0,494200.0,447600.0,348500.0,389500.0,655500.0,2285000.0,2472000.0,
1287000.0,1025000.0,728000.0,1313000.0,503300.0,438500.0,348500.0,389500.0,655500.0,2285000.0,2472000.0,
1308000.0,1024000.0,729300.0,1313000.0,503300.0,438500.0,394100.0,343900.0,655500.0,2296000.0,2451000.0,
1288000.0,1027000.0,730200.0,1330000.0,503300.0,438500.0,394100.0,384600.0,614700.0,2296000.0,2451000.0,
1311000.0,1029000.0,732900.0,1330000.0,503300.0,438500.0,394100.0,384600.0,614700.0,2308000.0,2423000.0,
1357000.0,1029000.0,734100.0,1330000.0,503300.0,438500.0,394100.0,390600.0,608700.0,2308000.0,2375000.0,
1351000.0,1024000.0,739600.0,1331000.0,503300.0,438500.0,398900.0,436500.0,558000.0,2308000.0,2375000.0,
1347000.0,1027000.0,739900.0,1311000.0,503300.0,438500.0,404900.0,430500.0,558000.0,2308000.0,2375000.0,
1347000.0,1024000.0,742500.0,1297000.0,489200.0,432400.0,416900.0,424400.0,551900.0,2308000.0,2395000.0,
1344000.0,1026000.0,744000.0,1292000.0,495300.0,426400.0,423000.0,418300.0,551900.0,2319000.0,2395000.0,
1330000.0,1021000.0,743600.0,1291000.0,480800.0,423300.0,423000.0,418300.0,551900.0,2331000.0,2413000.0,
1346000.0,1016000.0,743100.0,1291000.0,480800.0,423300.0,423000.0,418300.0,551900.0,2354000.0,2392000.0,
1345000.0,1015000.0,744600.0,1291000.0,480800.0,423300.0,443900.0,397400.0,551900.0,2354000.0,2392000.0,
1345000.0,1015000.0,745200.0,1282000.0,785700.0,118200.0,443800.0,412200.0,537100.0,2354000.0,2392000.0,
1328000.0,1014000.0,746900.0,1292000.0,785700.0,118200.0,443800.0,412200.0,537100.0,2354000.0,2392000.0,
1317000.0,1014000.0,747300.0,1292000.0,785700.0,118200.0,443800.0,412200.0,537100.0,2366000.0,2392000.0,
1280000.0,1014000.0,728800.0,1324000.0,785700.0,118200.0,443800.0,424000.0,525200.0,2390000.0,2410000.0,
1296000.0,1017000.0,730300.0,1331000.0,785700.0,118200.0,443800.0,434100.0,515200.0,2390000.0,2383000.0,
1292000.0,1021000.0,730800.0,1331000.0,750500.0,118200.0,443800.0,440100.0,509200.0,2390000.0,2418000.0,
1301000.0,1018000.0,729700.0,1321000.0,755700.0,116900.0,440000.0,450100.0,499100.0,2402000.0,2398000.0,
1297000.0,1021000.0,731900.0,1321000.0,741900.0,116900.0,440000.0,469900.0,656000.0,2225000.0,2411000.0,
1327000.0,1020000.0,733600.0,1321000.0,728000.0,120800.0,436100.0,490800.0,635200.0,2225000.0,2394000.0,
1321000.0,1025000.0,733900.0,1321000.0,728000.0,120800.0,436100.0,490800.0,635200.0,2236000.0,2394000.0,
1306000.0,1024000.0,717900.0,1336000.0,728000.0,120800.0,436100.0,490800.0,635200.0,2247000.0,2411000.0,
1305000.0,1020000.0,722500.0,1336000.0,728000.0,120800.0,436100.0,490800.0,635200.0,2281000.0,2411000.0,
1302000.0,1023000.0,723600.0,1336000.0,728000.0,120800.0,436100.0,500800.0,625100.0,2281000.0,2411000.0,
1297000.0,1023000.0,723500.0,1336000.0,728000.0,120800.0,436100.0,500800.0,625100.0,2281000.0,2411000.0,
1318000.0,1026000.0,724600.0,1332000.0,728000.0,120700.0,436000.0,500700.0,625000.0,2281000.0,2386000.0,
1303000.0,1026000.0,726100.0,1344000.0,728000.0,120700.0,436000.0,588100.0,537700.0,2292000.0,2386000.0,
1300000.0,1029000.0,727200.0,1339000.0,715500.0,120700.0,440900.0,583300.0,537700.0,2304000.0,2398000.0,
1296000.0,1031000.0,728100.0,1330000.0,697800.0,120700.0,450500.0,573600.0,537600.0,2304000.0,2416000.0,
1294000.0,1027000.0,730300.0,1334000.0,697800.0,120700.0,466600.0,557500.0,537600.0,2315000.0,2395000.0,
1279000.0,1026000.0,731400.0,1335000.0,697600.0,124600.0,462600.0,557500.0,537500.0,2327000.0,2395000.0,
1322000.0,1020000.0,732000.0,1335000.0,685000.0,124600.0,462600.0,557500.0,537500.0,2339000.0,2360000.0,
1314000.0,1011000.0,733300.0,1330000.0,684900.0,129400.0,457800.0,557400.0,537500.0,2339000.0,2360000.0,
