cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.96E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.59E-35,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,2.08E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,372.1,686.8,349.8,2.876,31.59,39.71,36.49,51.2,57.85,0.0,257.0,0.7697,9.812,8.213,2.643,6.63,16.7,15.5,34.27,27.02,0.0,257.0,0.7697,9.812,8.213,2.643,6.63,16.7,15.5,34.27,27.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,10.7,7.111,337.3,3.181,2.862,3.624,3.261,4.896,0.0,4.955E-5,23.97,32.9,208.1,130.3,0.4684,0.6349,1.101,0.8414,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309E-4,0.0,191000.0,83950.0,18340.0,17170.0,920300.0,9566.0,12250.0,7523.0,9932.0,10460.0,0.0,8.141E-35,6.595E-34,2.908E-33,1.089E-33,4.681000000000001E-34,1.4249999999999999E-33,1.8240000000000002E-32,2.212E-34,9.135E-33,5.185000000000001E-34,2.08E-35,0.0,17.61,28.48,75.29,29.25,3.939,2.091,3.896,3.663,5.002,5.775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.151,4.929,2.016,12.98,1.07,0.7799,0.2131,0.4879,0.2335,
0.0,4844.0,371.3,685.9,366.3,1.183,31.59,39.72,36.49,51.2,57.85,0.0,257.0,0.7697,9.812,8.213,2.643,6.63,16.7,15.5,34.27,27.02,0.0,257.0,0.7697,9.812,8.213,2.643,6.63,16.7,15.5,34.27,27.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,10.7,7.111,337.3,3.181,2.862,3.624,3.261,4.896,0.0,4.955E-5,24.73,33.75,191.6,132.0,0.4681,0.6255,1.101,0.8367,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.203E-4,0.0,191000.0,107500.0,18230.0,16200.0,902600.0,9498.0,11990.0,7364.0,9749.0,10380.0,0.0,7.785E-35,6.594E-34,2.904E-33,1.082E-33,4.681000000000001E-34,1.4119999999999999E-33,1.8240000000000002E-32,2.2090000000000003E-34,9.135E-33,5.182E-34,2.08E-35,0.0,17.61,28.48,75.29,29.25,3.939,2.091,3.896,3.663,5.002,5.775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.147,4.928,2.015,12.97,1.07,0.7798,0.213,0.4878,0.2333,
0.0,4844.0,325.7,748.7,380.6,0.9698,31.59,40.5,36.04,51.08,57.64,0.0,257.0,1.02,9.591,8.19,2.606,6.63,21.13,14.57,33.12,24.67,0.0,257.0,1.02,9.591,8.19,2.606,6.63,21.13,14.57,33.12,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48,10.8,7.023,333.9,3.173,2.861,3.613,3.258,4.888,0.0,4.955E-5,22.78,28.89,176.2,117.4,0.4682,0.6295,1.101,0.8389,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,149000.0,17500.0,15690.0,903400.0,9731.0,12010.0,7490.0,9887.0,10580.0,0.0,7.512E-35,6.4740000000000005E-34,2.923E-33,1.065E-33,4.462E-34,1.393E-33,1.808E-32,3.244E-34,9.175999999999999E-33,5.326E-34,2.08E-35,0.0,17.61,24.66,79.58,29.11,2.985,2.091,3.974,3.618,4.989,5.754,0.0,0.0,0.9897,6.452E-4,0.001093,0.008571,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,10.03,4.599,1.995,12.43,1.07,0.7873,0.2022,0.4895,0.2345,
0.0,4844.0,325.7,743.9,389.1,0.9103,31.59,40.49,36.04,51.07,57.64,0.0,257.0,1.02,9.563,8.189,2.606,6.63,21.13,14.57,32.92,24.87,0.0,257.0,1.02,9.563,8.189,2.606,6.63,21.13,14.57,32.92,24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.44,11.79,7.022,333.0,3.146,2.856,3.607,3.25,4.87,0.0,4.955E-5,22.67,28.14,167.4,117.5,0.4686,0.6442,1.101,0.8465,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,185800.0,18100.0,15760.0,935000.0,10130.0,12350.0,7724.0,10200.0,10990.0,0.0,7.119E-35,6.473E-34,2.9019999999999998E-33,1.056E-33,4.462E-34,1.378E-33,1.808E-32,3.2410000000000004E-34,9.175999999999999E-33,5.323E-34,2.08E-35,0.0,17.61,24.65,78.95,29.11,2.985,2.091,3.974,3.618,4.989,5.754,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,10.03,4.598,1.995,12.43,1.07,0.7873,0.2022,0.4895,0.2344,
0.0,4847.0,345.4,724.6,391.2,0.8946,31.59,40.47,36.04,51.06,57.64,0.0,257.1,1.076,9.507,8.076,2.606,6.63,21.13,14.57,32.92,24.87,0.0,257.1,1.076,9.507,8.076,2.606,6.63,21.13,14.57,32.92,24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.42,11.79,7.02,332.1,3.118,2.851,3.601,3.242,4.853,0.0,5.705E-5,22.58,27.85,162.3,117.5,0.4691,0.664,1.101,0.8568,1.162,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136E-4,0.0,191000.0,214000.0,18800.0,15830.0,971000.0,10540.0,12750.0,7994.0,10560.0,11420.0,0.0,7.494E-35,6.723000000000001E-34,2.8699999999999997E-33,1.042E-33,4.462E-34,1.3659999999999999E-33,1.808E-32,3.2390000000000003E-34,9.175999999999999E-33,5.32E-34,2.08E-35,0.0,18.0,25.86,77.74,28.72,2.985,2.091,3.974,3.618,4.989,5.754,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,0.02094,9.994,4.63,1.974,12.43,1.07,0.7873,0.2022,0.4895,0.2343,
0.0,4851.0,335.8,750.1,376.8,0.8852,31.62,40.8,36.0,50.97,57.27,0.0,257.2,1.026,9.956,7.601,2.606,6.838,20.65,14.78,32.36,25.47,0.0,257.2,1.026,9.956,7.601,2.606,6.838,20.65,14.78,32.36,25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.41,11.79,6.974,330.3,3.115,2.828,3.578,3.22,4.826,0.0,4.95E-5,22.44,27.25,157.6,117.5,0.4701,0.705,1.102,0.878,1.163,0.0,0.0,4799000.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024E-4,0.0,191000.0,251200.0,19840.0,16260.0,1031000.0,11190.0,13420.0,8455.0,11150.0,12160.0,0.0,9.739E-35,6.533E-34,2.873E-33,1.016E-33,4.462E-34,1.349E-33,1.808E-32,3.235E-34,9.175999999999999E-33,5.317E-34,2.08E-35,0.0,18.33,25.39,78.94,27.67,2.985,2.094,4.011,3.614,4.983,5.717,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,0.08753,9.994,4.621,1.932,12.43,1.055,0.7875,0.2027,0.4875,0.2346,
0.0,4851.0,336.0,707.8,430.7,0.8815,31.62,40.76,36.0,50.95,57.27,0.0,257.2,1.029,9.684,7.87,2.606,6.838,20.65,14.78,32.36,25.47,0.0,257.2,1.029,9.684,7.87,2.606,6.838,20.65,14.78,32.36,25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.34,11.77,6.922,325.7,3.03,2.79,3.536,3.174,4.745,0.0,4.963E-5,22.55,27.1,145.7,117.5,0.4711,0.7458,1.102,0.8991,1.164,0.0,0.0,4799000.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,276700.0,20790.0,16590.0,1078000.0,11690.0,13950.0,8811.0,11620.0,12710.0,0.0,9.23E-35,6.554000000000001E-34,2.6899999999999998E-33,1.1799999999999999E-33,4.462E-34,1.338E-33,1.807E-32,3.2320000000000004E-34,9.175E-33,5.3140000000000004E-34,2.08E-35,0.0,18.33,25.42,75.41,31.17,2.985,2.094,4.011,3.614,4.983,5.717,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,0.08753,9.979,4.553,2.016,12.43,1.055,0.7875,0.2026,0.4875,0.2346,
0.0,4851.0,335.6,707.9,435.5,0.9079,31.62,40.68,35.99,50.92,57.26,0.0,257.2,1.068,9.644,7.87,2.606,6.838,20.65,14.74,31.95,25.92,0.0,257.2,1.068,9.644,7.87,2.606,6.838,20.65,14.74,31.95,25.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.31,11.77,6.911,324.8,3.022,2.789,3.526,3.171,4.738,0.0,4.963E-5,22.8,27.08,140.8,117.5,0.4729,0.8229,1.103,0.939,1.166,0.0,0.0,4799000.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.169E-4,0.0,191000.0,311600.0,25550.0,17250.0,1142000.0,12430.0,14740.0,9350.0,12310.0,13510.0,0.0,8.825E-35,6.61E-34,2.677E-33,1.172E-33,4.462E-34,1.323E-33,1.807E-32,3.229E-34,9.175E-33,5.311000000000001E-34,2.08E-35,0.0,18.33,25.55,75.28,31.17,2.983,2.094,4.011,3.613,4.984,5.717,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,0.08753,9.971,4.555,2.016,12.44,1.055,0.7875,0.2027,0.4875,0.2346,
0.0,4851.0,336.0,700.9,454.3,0.8779,29.65,40.75,35.99,50.96,57.27,0.0,257.2,1.067,9.649,7.916,2.606,6.787,20.65,14.74,31.95,25.92,0.0,257.2,1.067,9.649,7.916,2.606,6.787,20.65,14.74,31.95,25.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.28,11.77,6.913,324.8,3.022,2.789,3.526,3.171,4.738,0.0,4.963E-5,22.36,34.12,124.1,117.5,0.4712,0.7537,1.102,0.9032,1.164,0.0,0.0,4799000.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,331000.0,24000.0,16270.0,1086000.0,11900.0,14050.0,8888.0,11720.0,12950.0,0.0,8.439000000000001E-35,6.608000000000001E-34,2.6739999999999997E-33,1.168E-33,4.462E-34,1.303E-33,1.807E-32,3.226E-34,9.175E-33,5.309E-34,2.08E-35,0.0,18.33,25.54,75.28,31.37,2.983,1.898,4.011,3.613,4.984,5.717,0.0,0.0,0.9893,6.717E-4,0.001138,0.008925,0.0,0.0,0.0,0.0,0.0,0.0,0.08753,9.971,4.556,1.946,12.44,1.124,0.7875,0.2027,0.4875,0.2346,
