R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,4.3E-6,0.0,0.0,0.0,37000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
2.3E-35,1.1,3199999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3199999.9999999995,18.0,0.22,0.22,0.0,10.0,1.7E-4,0.0,0.0,0.0,100000.0,1.0,5.0E8,
2.3E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,11.0,7.1E-4,0.0,0.0,0.0,140000.0,1.0,5.0E8,
2.3E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,11.0,0.0018,0.0,0.0,0.0,170000.0,1.0,5.0E8,
2.3E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,11.0,0.0052,0.0,0.0,0.0,200000.0,1.0,5.0E8,
2.3E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,11.0,0.01,0.0,0.0,0.0,220000.0,1.0,5.0E8,
2.3E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,13.0,0.022,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.2E-35,1.1,3099999.9999999995,2100.0,3500.0,28000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,18.0,0.21,0.21,0.0,15.0,0.037,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,17.0,0.072,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,18.0,0.11,0.0,0.0,0.0,330000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,18.0,0.13,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,19.0,0.13,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,21.0,0.14,0.0,0.0,0.0,340000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2100.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,17.0,0.21,0.21,0.0,21.0,0.18,0.0,0.0,0.0,360000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2000.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,2999999.9999999995,17.0,0.21,0.21,0.0,22.0,0.27,0.0,0.0,0.0,380000.0,1.0,5.0E8,
2.2E-35,1.1,2999999.9999999995,2000.0,3500.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.9,2999999.9999999995,17.0,0.21,0.21,0.0,22.0,0.36,0.0,0.0,0.0,400000.0,1.0,5.0E8,
