entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.699,0.2279,0.1504,0.03574,0.02699,0.04931,0.02147,0.01552,0.01206,0.01342,0.0138,0.3306,0.3306,
1.699,0.229,0.1503,0.03575,0.027,0.04902,0.02148,0.01552,0.01207,0.01343,0.0138,0.3308,0.3308,
1.707,0.227,0.1501,0.0357,0.02695,0.04894,0.02144,0.0155,0.01205,0.0134,0.01668,0.329,0.3303,
1.706,0.2514,0.1497,0.03555,0.02697,0.04897,0.02146,0.01551,0.01205,0.01341,0.01669,0.3292,0.3305,
1.704,0.2489,0.1491,0.03527,0.02689,0.04882,0.0214,0.01546,0.01202,0.01337,0.01664,0.3315,0.3295,
1.704,0.2519,0.1489,0.03528,0.0269,0.04883,0.0214,0.01546,0.01202,0.01338,0.01665,0.3316,0.3296,
1.707,0.2451,0.1502,0.03528,0.0269,0.04883,0.02062,0.01546,0.01202,0.01338,0.01801,0.3302,0.3291,
1.707,0.2439,0.1502,0.03528,0.0269,0.04883,0.02062,0.01546,0.01202,0.01338,0.01801,0.3302,0.3291,
1.707,0.2438,0.1499,0.03529,0.02691,0.04885,0.02063,0.01547,0.01203,0.01338,0.01801,0.3304,0.3292,
1.717,0.2413,0.1496,0.0353,0.02691,0.04886,0.02064,0.01547,0.01203,0.01339,0.02158,0.3269,0.3293,
1.717,0.2414,0.1493,0.03531,0.02692,0.04887,0.02064,0.01548,0.01203,0.01339,0.02158,0.327,0.3294,
1.717,0.2428,0.1492,0.03532,0.02693,0.04888,0.02065,0.01548,0.01204,0.01339,0.02159,0.3271,0.3295,
1.715,0.2406,0.1487,0.0352,0.02684,0.04872,0.02058,0.01543,0.012,0.01335,0.02152,0.3293,0.3284,
1.712,0.2385,0.1486,0.0352,0.02685,0.04861,0.0199,0.01527,0.012,0.01335,0.02152,0.3294,0.3293,
1.711,0.24,0.1473,0.03521,0.02674,0.04862,0.0199,0.01527,0.01201,0.01336,0.02153,0.3295,0.3306,
1.711,0.24,0.1473,0.03521,0.02674,0.04862,0.0199,0.01527,0.01201,0.01336,0.02153,0.3295,0.3306,
1.71,0.2402,0.1469,0.03516,0.0267,0.04855,0.01988,0.01525,0.01199,0.01334,0.0215,0.3307,0.3301,
1.708,0.2508,0.1467,0.03513,0.02671,0.0484,0.01962,0.01525,0.01199,0.01334,0.0215,0.3307,0.3306,
1.717,0.2398,0.1469,0.03495,0.02663,0.04834,0.01959,0.01523,0.01197,0.01332,0.02489,0.3285,0.3296,
1.716,0.2494,0.1462,0.03495,0.02663,0.04834,0.01959,0.01523,0.01197,0.01332,0.02489,0.3285,0.3304,
1.714,0.2442,0.1462,0.03496,0.02663,0.04819,0.01882,0.01523,0.01197,0.01332,0.02489,0.3286,0.3312,
1.715,0.2236,0.1469,0.0349,0.02659,0.04811,0.01879,0.01521,0.01195,0.0133,0.02558,0.329,0.3297,
1.725,0.2149,0.1471,0.03484,0.02655,0.04803,0.01876,0.01518,0.01193,0.01328,0.02992,0.3257,0.3288,
1.729,0.2063,0.1475,0.03473,0.02646,0.04787,0.0187,0.01513,0.01189,0.01324,0.03196,0.3257,0.3268,
1.728,0.206,0.1473,0.03467,0.02642,0.04779,0.01867,0.01511,0.01188,0.01321,0.03191,0.3268,0.3262,
1.727,0.2085,0.1471,0.03461,0.02638,0.04757,0.01864,0.01508,0.01186,0.01319,0.03186,0.328,0.3257,
1.732,0.2071,0.1481,0.03461,0.02638,0.04757,0.01864,0.01508,0.01186,0.01319,0.0336,0.3262,0.3248,
1.743,0.2042,0.1481,0.03461,0.02638,0.04757,0.01864,0.01508,0.01186,0.01319,0.03847,0.3214,0.3248,
1.743,0.2041,0.1481,0.03461,0.02638,0.04757,0.01864,0.01508,0.01186,0.01319,0.03847,0.3214,0.3248,
1.742,0.2178,0.1481,0.03461,0.02638,0.04757,0.01838,0.01508,0.01186,0.01319,0.03847,0.3214,0.325,
1.74,0.1964,0.1478,0.03445,0.02633,0.04708,0.01833,0.01506,0.01184,0.01317,0.03842,0.3227,0.3248,
