RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,9600000.0,9600000.0,
4363000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,9600000.0,9600000.0,
4363000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,484900.0,9564000.0,9600000.0,
4348000.0,1033000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,484900.0,9564000.0,9600000.0,
4343000.0,1028000.0,783500.0,1422000.0,623300.0,450500.0,350200.0,389600.0,484900.0,9660000.0,9600000.0,
4338000.0,1028000.0,783500.0,1422000.0,623300.0,450500.0,350200.0,389600.0,484900.0,9660000.0,9600000.0,
4375000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,524500.0,9620000.0,9585000.0,
4375000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,524500.0,9620000.0,9585000.0,
4365000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,524500.0,9620000.0,9585000.0,
4356000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,628100.0,9516000.0,9585000.0,
4346000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,628100.0,9516000.0,9585000.0,
4341000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,628100.0,9516000.0,9585000.0,
4341000.0,1028000.0,783500.0,1422000.0,600700.0,450500.0,350200.0,389600.0,628100.0,9612000.0,9585000.0,
4335000.0,1027000.0,783400.0,1418000.0,580600.0,445400.0,350200.0,389600.0,628100.0,9612000.0,9610000.0,
4296000.0,1027000.0,780100.0,1418000.0,580600.0,445400.0,350200.0,389600.0,628100.0,9612000.0,9642000.0,
4296000.0,1027000.0,780100.0,1418000.0,580600.0,445400.0,350200.0,389600.0,628100.0,9612000.0,9642000.0,
4291000.0,1027000.0,780100.0,1418000.0,580600.0,445400.0,350200.0,389600.0,628100.0,9660000.0,9642000.0,
4285000.0,1026000.0,780100.0,1414000.0,572900.0,445400.0,350200.0,389600.0,628000.0,9660000.0,9657000.0,
4297000.0,1022000.0,778900.0,1414000.0,572900.0,445400.0,350200.0,389600.0,728000.0,9608000.0,9640000.0,
4275000.0,1022000.0,778900.0,1414000.0,572900.0,445400.0,350200.0,389600.0,728000.0,9608000.0,9662000.0,
4275000.0,1022000.0,778800.0,1409000.0,550300.0,445400.0,350100.0,389600.0,727900.0,9608000.0,9685000.0,
4302000.0,1022000.0,778800.0,1409000.0,550300.0,445400.0,350100.0,389600.0,749100.0,9634000.0,9657000.0,
4314000.0,1022000.0,778800.0,1409000.0,550300.0,445400.0,350100.0,389600.0,877600.0,9554000.0,9645000.0,
4342000.0,1022000.0,778800.0,1409000.0,550300.0,445400.0,350100.0,389600.0,940600.0,9587000.0,9617000.0,
4342000.0,1022000.0,778800.0,1409000.0,550300.0,445400.0,350100.0,389600.0,940600.0,9635000.0,9617000.0,
4342000.0,1022000.0,778800.0,1404000.0,550300.0,445400.0,350100.0,389600.0,940600.0,9683000.0,9617000.0,
4371000.0,1022000.0,778800.0,1404000.0,550300.0,445400.0,350100.0,389600.0,992100.0,9631000.0,9588000.0,
4371000.0,1022000.0,778800.0,1404000.0,550300.0,445400.0,350100.0,389600.0,1136000.0,9488000.0,9588000.0,
4371000.0,1022000.0,778800.0,1404000.0,550300.0,445400.0,350100.0,389600.0,1136000.0,9488000.0,9588000.0,
4371000.0,1022000.0,778800.0,1404000.0,542800.0,445400.0,350100.0,389600.0,1136000.0,9488000.0,9596000.0,
4367000.0,1018000.0,778000.0,1391000.0,541500.0,445000.0,350000.0,389200.0,1135000.0,9535000.0,9596000.0,
4359000.0,1019000.0,779500.0,1391000.0,541500.0,445000.0,350000.0,402300.0,1122000.0,9631000.0,9596000.0,
4345000.0,1020000.0,781100.0,1403000.0,528900.0,445000.0,350000.0,402300.0,1122000.0,9631000.0,9609000.0,
4181000.0,1171000.0,783300.0,1403000.0,528900.0,445000.0,350000.0,491200.0,1033000.0,9631000.0,9609000.0,
4212000.0,1174000.0,784200.0,1403000.0,528900.0,445000.0,350000.0,491200.0,1070000.0,9594000.0,9569000.0,
4206000.0,1174000.0,784700.0,1403000.0,528900.0,445000.0,350000.0,491200.0,1094000.0,9618000.0,9569000.0,
4184000.0,1172000.0,787600.0,1414000.0,528900.0,445000.0,350000.0,501300.0,1084000.0,9618000.0,9569000.0,
4176000.0,1174000.0,788300.0,1400000.0,528800.0,444900.0,349900.0,507200.0,1127000.0,9569000.0,9569000.0,
4169000.0,1172000.0,787400.0,1400000.0,528700.0,444900.0,349900.0,507200.0,1127000.0,9665000.0,9569000.0,
4141000.0,1172000.0,791500.0,1419000.0,522100.0,438900.0,358700.0,498300.0,1127000.0,9762000.0,9582000.0,
4126000.0,1180000.0,791900.0,1425000.0,527300.0,625900.0,166600.0,498300.0,1127000.0,9762000.0,9582000.0,
4125000.0,1181000.0,792400.0,1425000.0,527300.0,625900.0,166600.0,511400.0,1114000.0,9762000.0,9582000.0,
4123000.0,1181000.0,794000.0,1421000.0,522400.0,624600.0,165100.0,542200.0,1108000.0,9736000.0,9589000.0,
4119000.0,1181000.0,797600.0,1421000.0,522400.0,624600.0,343000.0,393400.0,1079000.0,9736000.0,9589000.0,
4119000.0,1180000.0,798200.0,1421000.0,522400.0,624600.0,372600.0,363900.0,1079000.0,9785000.0,9589000.0,
4114000.0,1184000.0,799900.0,1421000.0,522400.0,624600.0,372600.0,377000.0,1154000.0,9746000.0,9589000.0,
4111000.0,1182000.0,803900.0,1416000.0,528500.0,618500.0,372600.0,377000.0,1154000.0,9746000.0,9589000.0,
4108000.0,1184000.0,805300.0,1412000.0,528400.0,618400.0,372600.0,376900.0,1154000.0,9746000.0,9589000.0,
4107000.0,1184000.0,805600.0,1412000.0,528400.0,624900.0,366100.0,400000.0,1131000.0,9746000.0,9589000.0,
4103000.0,1184000.0,806500.0,1411000.0,528400.0,624900.0,366100.0,414100.0,1202000.0,9709000.0,9589000.0,
4100000.0,1181000.0,811900.0,1411000.0,528400.0,624900.0,366100.0,414100.0,1202000.0,9806000.0,9589000.0,
4098000.0,1181000.0,813700.0,1411000.0,528400.0,624900.0,366100.0,434200.0,1182000.0,9806000.0,9589000.0,
4094000.0,1180000.0,813900.0,1411000.0,528400.0,624900.0,372200.0,438200.0,1309000.0,9669000.0,9589000.0,
4091000.0,1176000.0,815600.0,1411000.0,528400.0,624900.0,372200.0,451500.0,1296000.0,9669000.0,9589000.0,
4002000.0,1320000.0,816300.0,1411000.0,512600.0,621800.0,377000.0,463800.0,1296000.0,9651000.0,9548000.0,
4000000.0,1320000.0,818100.0,1411000.0,493800.0,621800.0,377000.0,498900.0,1261000.0,9651000.0,9566000.0,
