cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.96E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.59E-35,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,2.08E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,370.8,687.7,349.7,2.876,31.34,39.71,35.92,50.84,59.04,0.0,257.0,0.7623,9.817,8.213,2.644,7.329,16.79,15.55,34.37,26.08,0.0,257.0,0.7623,9.817,8.213,2.644,7.329,16.79,15.55,34.37,26.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.04,10.65,7.06,335.5,3.178,2.838,3.601,3.239,4.869,0.0,4.955E-5,24.13,32.89,208.3,130.4,0.4684,0.6349,1.101,0.8414,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045E-4,0.0,191000.0,83840.0,18220.0,17160.0,920900.0,9574.0,12250.0,7522.0,9931.0,10470.0,0.0,8.141E-35,6.584E-34,2.909E-33,1.089E-33,4.682E-34,1.426E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.135E-33,5.164E-34,2.08E-35,0.0,17.61,28.37,75.38,29.25,3.955,2.066,3.896,3.606,4.965,5.894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.154,4.92,2.016,12.99,1.072,0.7802,0.2143,0.4889,0.2291,
0.0,4844.0,370.2,687.2,370.2,1.071,31.34,39.69,36.08,50.68,59.07,0.0,257.0,0.7623,9.817,8.213,2.644,7.329,19.37,15.5,33.58,24.33,0.0,257.0,0.7623,9.817,8.213,2.644,7.329,19.37,15.5,33.58,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.99,10.63,6.954,330.0,3.137,2.786,3.538,3.183,4.79,0.0,4.955E-5,24.68,33.41,187.8,132.2,0.4681,0.6248,1.101,0.8365,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,111700.0,18110.0,16060.0,902300.0,9516.0,11930.0,7381.0,9758.0,10320.0,0.0,7.855E-35,6.584E-34,2.904E-33,1.081E-33,4.682E-34,1.41E-33,1.814E-32,2.784E-34,9.171999999999999E-33,5.233E-34,2.08E-35,0.0,17.61,28.37,75.38,29.25,3.955,2.066,3.893,3.622,4.949,5.897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.15,4.919,2.015,12.98,1.072,0.7784,0.2146,0.4894,0.2294,
0.0,4855.0,367.2,692.0,371.3,0.8089,31.24,39.68,36.08,50.68,59.07,0.0,257.0,0.725,9.845,8.146,2.641,7.322,19.37,15.5,33.58,24.33,0.0,257.0,0.725,9.845,8.146,2.641,7.322,19.37,15.5,33.58,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11,10.72,6.938,328.9,3.122,2.785,3.517,3.177,4.775,0.0,8.919E-5,24.27,31.35,175.5,132.3,0.4682,0.6295,1.101,0.8389,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03E-4,0.0,191000.0,136200.0,18620.0,15630.0,915400.0,9731.0,12030.0,7465.0,9884.0,10510.0,0.0,1.022E-34,6.363000000000001E-34,2.9159999999999997E-33,1.048E-33,4.68E-34,1.3939999999999999E-33,1.814E-32,2.779E-34,9.171999999999999E-33,5.23E-34,2.08E-35,0.0,18.54,28.13,75.55,28.39,3.929,2.056,3.893,3.622,4.949,5.897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385,9.132,4.935,1.968,12.98,1.069,0.7784,0.2145,0.4894,0.2294,
0.0,4855.0,368.3,693.1,378.8,0.758,31.24,39.67,36.08,50.67,59.07,0.0,257.0,0.7247,9.845,8.146,2.641,7.322,19.37,15.5,33.58,24.33,0.0,257.0,0.7247,9.845,8.146,2.641,7.322,19.37,15.5,33.58,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11,10.72,6.938,328.9,3.122,2.785,3.517,3.177,4.775,0.0,4.967E-5,24.07,29.49,167.9,132.4,0.4685,0.6411,1.101,0.8449,1.161,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175E-4,0.0,191000.0,154800.0,19280.0,15620.0,941300.0,10050.0,12300.0,7654.0,10140.0,10820.0,0.0,9.686E-35,6.367E-34,2.91E-33,1.0409999999999999E-33,4.68E-34,1.3809999999999999E-33,1.814E-32,2.775E-34,9.171999999999999E-33,5.229E-34,2.08E-35,0.0,18.54,28.19,75.48,28.39,3.929,2.056,3.893,3.622,4.949,5.897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385,9.134,4.933,1.968,12.98,1.069,0.7784,0.2145,0.4894,0.2293,
0.0,4865.0,360.9,691.5,385.6,0.5353,30.95,42.04,37.8,47.14,59.17,0.0,257.1,0.7078,9.849,8.166,2.712,7.381,18.65,14.9,34.79,24.23,0.0,257.1,0.7078,9.849,8.166,2.712,7.381,18.65,14.9,34.79,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09,10.71,6.912,327.0,3.107,2.784,3.496,3.17,4.761,0.0,4.977E-5,23.98,28.96,160.9,132.4,0.4673,0.6118,1.104,0.8208,1.16,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023E-4,0.0,191000.0,179200.0,20410.0,15940.0,992300.0,10540.0,13010.0,8437.0,9600.0,11430.0,0.0,9.945000000000001E-35,5.911E-34,2.873E-33,9.941000000000001E-34,3.5020000000000003E-34,1.231E-33,1.951E-32,1.285E-33,7.087E-33,5.733E-34,2.08E-35,0.0,19.21,27.68,75.34,28.37,3.91,2.028,4.12,3.79,4.602,5.907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1676,9.057,4.911,1.965,12.97,1.05,0.8168,0.2428,0.431,0.2309,
0.0,4892.0,360.6,691.7,389.5,0.5409,30.97,42.94,37.2,47.47,58.54,0.0,257.2,0.6737,9.828,8.081,2.615,7.274,11.62,14.38,32.23,34.64,0.0,257.2,0.6737,9.828,8.081,2.615,7.274,11.62,14.38,32.23,34.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92,10.85,6.91,326.1,3.079,2.779,3.49,3.162,4.743,0.0,5.005E-5,24.08,28.74,130.1,132.4,0.4669,0.5905,1.102,0.813,1.159,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168E-4,0.0,191000.0,199100.0,21560.0,16000.0,1045000.0,11100.0,12850.0,8669.0,9790.0,11880.0,0.0,9.91E-35,5.932E-34,2.8659999999999998E-33,9.832E-34,3.5630000000000003E-34,1.223E-33,1.996E-32,9.755E-34,7.252E-33,2.484E-34,2.08E-35,0.0,19.7,27.67,75.34,27.88,3.911,2.029,4.206,3.731,4.634,5.845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866,9.057,4.911,1.946,12.97,1.05,0.8334,0.2314,0.437,0.2189,
0.0,4892.0,360.4,691.9,391.8,0.5378,30.97,42.95,37.2,47.47,58.54,0.0,257.2,0.6726,9.827,8.081,2.611,7.274,11.62,14.38,32.23,34.64,0.0,257.2,0.6726,9.827,8.081,2.611,7.274,11.62,14.38,32.23,34.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56,11.33,6.661,321.9,2.947,2.724,3.264,3.062,4.566,0.0,5.005E-5,24.9,29.1,127.6,129.6,0.364,0.5726,0.955,0.7635,1.059,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.147E-4,0.0,191000.0,220800.0,24520.0,15970.0,1086000.0,11210.0,12670.0,8393.0,9795.0,12050.0,0.0,9.396E-35,5.931E-34,2.857E-33,9.739000000000001E-34,3.5610000000000002E-34,1.21E-33,1.996E-32,9.750000000000001E-34,7.250999999999999E-33,2.482E-34,2.08E-35,0.0,19.7,27.65,75.33,27.88,3.921,2.029,4.206,3.731,4.634,5.845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866,9.089,4.929,1.941,12.95,1.046,0.8331,0.2257,0.4352,0.215,
0.0,4892.0,360.1,673.3,421.7,0.5362,30.95,42.95,37.2,47.47,58.54,0.0,257.2,0.6785,9.749,8.16,2.604,7.268,11.62,14.38,32.23,34.64,0.0,257.2,0.6785,9.749,8.16,2.604,7.268,11.62,14.38,32.23,34.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.54,11.58,6.84,318.2,3.009,2.725,3.385,3.094,4.635,0.0,5.005E-5,25.58,29.22,116.5,128.5,0.4465,0.5768,1.057,0.7969,1.135,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,241700.0,25960.0,16690.0,1102000.0,11700.0,12810.0,8867.0,10110.0,12650.0,0.0,8.908E-35,5.931E-34,2.8299999999999998E-33,9.841000000000001E-34,3.56E-34,1.197E-33,1.9950000000000002E-32,9.745E-34,7.250999999999999E-33,2.48E-34,2.08E-35,0.0,19.7,27.65,74.22,28.99,3.91,2.028,4.206,3.732,4.634,5.846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905,9.122,4.876,2.009,12.88,1.045,0.8324,0.2299,0.4364,0.2175,
0.0,4892.0,360.4,673.9,437.4,0.5362,31.13,42.95,37.21,47.48,58.34,0.0,257.2,0.6776,9.678,8.231,2.602,7.562,11.42,14.13,31.92,35.09,0.0,257.2,0.6776,9.678,8.231,2.602,7.562,11.42,14.13,31.92,35.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.54,11.58,6.84,320.2,3.009,2.725,3.385,3.094,4.635,0.0,5.005E-5,25.25,28.7,100.7,128.5,0.4465,0.578,1.057,0.7973,1.135,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338E-4,0.0,191000.0,244400.0,24890.0,15610.0,1042000.0,10920.0,12520.0,8398.0,9684.0,11870.0,0.0,8.602E-35,5.9300000000000005E-34,2.797E-33,9.999999999999999E-34,3.559E-34,1.185E-33,1.9950000000000002E-32,9.74E-34,7.250999999999999E-33,2.4770000000000002E-34,2.08E-35,0.0,19.7,27.65,73.85,29.36,3.909,2.047,4.206,3.733,4.635,5.825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478,9.065,4.851,2.034,12.91,1.043,0.8323,0.2298,0.4362,0.2204,
