entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.699,0.2279,0.1504,0.03574,0.02699,0.04931,0.02147,0.01552,0.01206,0.01342,0.0138,0.3306,0.3306,
1.699,0.2293,0.1502,0.03576,0.027,0.04903,0.02148,0.01552,0.01207,0.01343,0.01381,0.3309,0.3309,
1.699,0.2318,0.15,0.03577,0.02701,0.04903,0.02149,0.01553,0.01207,0.01343,0.01381,0.3309,0.3309,
1.697,0.2312,0.1499,0.03576,0.02675,0.04892,0.02123,0.01553,0.01207,0.01344,0.01381,0.331,0.3315,
1.697,0.2312,0.1499,0.03576,0.02675,0.04892,0.02123,0.01553,0.01207,0.01344,0.01381,0.331,0.3315,
1.693,0.2356,0.1489,0.03554,0.0267,0.04885,0.02042,0.01551,0.01206,0.01342,0.01379,0.3322,0.3327,
1.693,0.2297,0.1485,0.03553,0.02671,0.04887,0.02043,0.01552,0.01206,0.01342,0.0138,0.3324,0.3328,
1.691,0.231,0.1482,0.03548,0.02667,0.04849,0.02041,0.0155,0.01205,0.0134,0.01378,0.3336,0.3324,
1.69,0.2363,0.1481,0.03548,0.02668,0.0485,0.0202,0.01545,0.01205,0.01341,0.01378,0.3336,0.3327,
1.689,0.231,0.1474,0.03544,0.02664,0.04809,0.02017,0.01543,0.01203,0.01339,0.01376,0.3349,0.3328,
1.688,0.2315,0.1468,0.03542,0.02665,0.0481,0.02018,0.01543,0.01203,0.01339,0.01377,0.3349,0.3333,
1.685,0.2315,0.1462,0.03537,0.02661,0.04803,0.01967,0.01529,0.01202,0.01337,0.01375,0.3362,0.3335,
1.684,0.2361,0.1458,0.03532,0.02657,0.04796,0.01964,0.01527,0.012,0.01335,0.01373,0.3373,0.333,
1.698,0.2368,0.1472,0.03532,0.02658,0.04797,0.01964,0.01527,0.012,0.01336,0.01779,0.3333,0.3316,
1.706,0.238,0.1487,0.03534,0.02659,0.04784,0.01897,0.01528,0.01201,0.01336,0.02082,0.3305,0.3306,
