RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,9600000.0,9600000.0,
4358000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,9600000.0,9600000.0,
4353000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,9600000.0,9600000.0,
4347000.0,1037000.0,775900.0,1419000.0,615800.0,450500.0,350200.0,389600.0,400600.0,9600000.0,9615000.0,
4347000.0,1037000.0,775900.0,1419000.0,615800.0,450500.0,350200.0,389600.0,400600.0,9600000.0,9615000.0,
4324000.0,1032000.0,775400.0,1419000.0,593200.0,450500.0,350200.0,389600.0,400600.0,9648000.0,9662000.0,
4309000.0,1031000.0,775400.0,1419000.0,593200.0,450500.0,350200.0,389600.0,400600.0,9648000.0,9662000.0,
4309000.0,1031000.0,775300.0,1409000.0,593100.0,450500.0,350100.0,389600.0,400500.0,9696000.0,9662000.0,
4304000.0,1031000.0,775300.0,1409000.0,587100.0,449000.0,350100.0,389600.0,400500.0,9696000.0,9669000.0,
4290000.0,1031000.0,775300.0,1399000.0,587100.0,449000.0,350100.0,389600.0,400500.0,9745000.0,9684000.0,
4271000.0,1030000.0,775300.0,1399000.0,587100.0,449000.0,350100.0,389600.0,400500.0,9745000.0,9698000.0,
4261000.0,1030000.0,775300.0,1399000.0,573000.0,445400.0,350100.0,389600.0,400500.0,9793000.0,9716000.0,
4255000.0,1030000.0,775300.0,1399000.0,573000.0,445400.0,350100.0,389600.0,400500.0,9842000.0,9716000.0,
4294000.0,1030000.0,775300.0,1399000.0,573000.0,445400.0,350100.0,389600.0,519000.0,9724000.0,9672000.0,
4335000.0,1030000.0,775200.0,1395000.0,553200.0,445400.0,350100.0,389600.0,607000.0,9636000.0,9641000.0,
4330000.0,1030000.0,775200.0,1390000.0,553200.0,445400.0,350000.0,389600.0,607000.0,9636000.0,9641000.0,
4329000.0,1030000.0,775200.0,1390000.0,540700.0,445400.0,350000.0,389600.0,727300.0,9516000.0,9639000.0,
4298000.0,1028000.0,775200.0,1390000.0,540700.0,445400.0,350000.0,389600.0,727300.0,9516000.0,9662000.0,
4298000.0,1028000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,727200.0,9516000.0,9662000.0,
4255000.0,1028000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,727200.0,9516000.0,9680000.0,
4250000.0,1028000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,727200.0,9563000.0,9680000.0,
4240000.0,1028000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,727200.0,9563000.0,9680000.0,
4240000.0,1028000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,727200.0,9611000.0,9680000.0,
4243000.0,1026000.0,775100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,793200.0,9545000.0,9679000.0,
4285000.0,1022000.0,774100.0,1381000.0,540600.0,445300.0,349900.0,389500.0,793200.0,9545000.0,9637000.0,
