cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.96E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.59E-35,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,2.08E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,371.0,678.6,368.8,2.876,30.76,39.57,36.31,50.98,59.21,0.0,257.0,0.9684,9.413,8.226,2.78,7.274,16.78,15.6,34.39,26.11,0.0,257.0,0.9684,9.413,8.226,2.78,7.274,16.78,15.6,34.39,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.14,11.63,7.115,337.3,3.181,2.863,3.625,3.263,4.897,0.0,4.955E-5,26.97,35.36,189.4,132.4,0.4684,0.6858,1.165,0.921,1.26,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,83010.0,20410.0,17090.0,919400.0,9573.0,12220.0,7492.0,9894.0,10430.0,0.0,8.214000000000001E-35,6.5890000000000005E-34,2.9069999999999998E-33,1.0899999999999999E-33,4.685E-34,1.426E-33,1.8240000000000002E-32,2.215E-34,9.135E-33,5.164E-34,2.08E-35,0.0,17.61,28.53,75.05,29.26,4.045,2.009,3.884,3.648,4.983,5.917,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.107,5.015,2.013,12.96,1.073,0.7797,0.2128,0.4876,0.2275,
0.0,4844.0,370.5,686.5,371.3,1.183,30.77,39.58,36.31,50.98,59.21,0.0,257.0,0.9774,9.277,8.353,2.78,7.274,16.78,15.6,34.39,26.11,0.0,257.0,0.9774,9.277,8.353,2.78,7.274,16.78,15.6,34.39,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.14,11.62,7.069,335.5,3.178,2.839,3.602,3.24,4.871,0.0,4.955E-5,27.72,35.82,178.2,134.1,0.4681,0.6765,1.165,0.9163,1.26,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206E-4,0.0,191000.0,106200.0,19080.0,17180.0,901300.0,9508.0,11950.0,7327.0,9703.0,10260.0,0.0,7.785E-35,6.603E-34,2.89E-33,1.094E-33,4.685E-34,1.413E-33,1.8240000000000002E-32,2.211E-34,9.135E-33,5.162E-34,2.08E-35,0.0,17.61,28.6,74.85,29.39,4.045,2.009,3.884,3.648,4.983,5.917,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.109,5.004,2.021,12.95,1.073,0.7796,0.2127,0.4875,0.2274,
0.0,4840.0,382.1,668.5,352.0,0.8279,30.6,39.58,36.31,50.98,59.21,0.0,257.0,0.8684,9.099,8.744,2.663,7.248,16.77,15.59,34.38,26.1,0.0,257.0,0.8684,9.099,8.744,2.663,7.248,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28,11.41,6.546,333.2,3.175,2.806,3.567,3.202,4.824,0.0,4.951E-5,12.65,37.07,233.5,124.3,0.4682,0.4259,0.8481,0.5221,0.7657,0.0,0.0,4587000.0,53070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167E-4,0.0,191000.0,132100.0,18680.0,17490.0,908800.0,9663.0,11960.0,7318.0,9711.0,10380.0,0.0,9.397E-35,6.54E-34,2.8189999999999998E-33,1.146E-33,4.61E-34,1.395E-33,1.8240000000000002E-32,2.2050000000000002E-34,9.135E-33,5.1560000000000005E-34,2.08E-35,0.0,17.43,29.1,73.59,30.69,3.746,1.992,3.876,3.639,4.972,5.902,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04116,9.134,4.983,2.069,12.87,1.055,0.7779,0.2106,0.4849,0.224,
0.0,4840.0,377.7,631.6,401.8,0.7575,30.88,39.61,36.37,51.04,58.77,0.0,257.0,0.7546,8.972,8.966,2.63,7.171,16.76,15.58,34.36,26.22,0.0,257.0,0.7546,8.972,8.966,2.63,7.171,16.76,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16,10.99,6.571,333.7,3.175,2.817,3.581,3.22,4.846,0.0,4.951E-5,12.39,46.52,210.2,124.4,0.4685,0.4393,0.8486,0.5294,0.7667,0.0,0.0,4587000.0,48040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148E-4,0.0,191000.0,154100.0,16660.0,16720.0,939900.0,10030.0,12270.0,7532.0,9994.0,10830.0,0.0,8.905E-35,6.2720000000000004E-34,2.666E-33,1.284E-33,4.582E-34,1.38E-33,1.8240000000000002E-32,2.199E-34,9.135E-33,5.1520000000000005E-34,2.08E-35,0.0,17.43,28.46,70.72,33.71,3.637,2.02,3.878,3.641,4.974,5.853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04116,9.169,4.831,2.152,12.91,1.053,0.7787,0.2116,0.4861,0.2276,
0.0,4841.0,377.7,636.4,425.9,0.7367,30.86,39.58,36.37,51.03,58.77,0.0,257.1,0.7889,8.967,8.834,2.63,7.166,16.76,15.58,34.36,26.22,0.0,257.1,0.7889,8.967,8.834,2.63,7.166,16.76,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.13,11.68,6.769,329.0,3.161,2.77,3.524,3.172,4.785,0.0,5.044E-5,12.36,33.42,186.6,124.4,0.4691,0.4622,0.8489,0.5413,0.7674,0.0,0.0,4587000.0,48040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.132E-4,0.0,191000.0,173800.0,17200.0,16510.0,983600.0,10520.0,12720.0,7827.0,10380.0,11320.0,0.0,8.724E-35,6.3840000000000005E-34,2.5869999999999998E-33,1.3269999999999999E-33,4.582E-34,1.365E-33,1.8240000000000002E-32,2.194E-34,9.133999999999999E-33,5.15E-34,2.08E-35,0.0,17.62,28.64,69.61,34.11,3.637,2.019,3.878,3.641,4.974,5.853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05553,9.179,4.808,2.165,12.91,1.05,0.7779,0.2116,0.4861,0.2276,
0.0,4849.0,427.7,606.5,423.8,2.216,30.86,39.55,36.36,51.01,58.77,0.0,257.1,1.462,8.335,8.776,2.584,7.166,16.76,15.58,34.36,26.22,0.0,257.1,1.462,8.335,8.776,2.584,7.166,16.76,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.05,12.86,6.852,321.9,3.161,2.747,3.502,3.151,4.76,0.0,0.1244,11.07,27.94,179.1,110.6,0.7659,0.5497,0.916,0.6424,0.9601,0.0,0.0,4587000.0,48040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.155E-4,0.0,191000.0,209900.0,24020.0,17010.0,987000.0,10420.0,13160.0,8044.0,10680.0,11480.0,0.0,9.757E-35,7.85E-34,2.4479999999999998E-33,1.307E-33,4.391E-34,1.351E-33,1.823E-32,2.1890000000000003E-34,9.133999999999999E-33,5.148E-34,2.08E-35,0.0,17.95,33.68,65.41,33.72,2.842,2.028,3.879,3.643,4.977,5.859,0.0,0.0,0.9596,0.0258,0.001058,0.01356,0.0,0.0,0.0,0.0,0.0,0.0,0.07401,10.09,4.494,2.131,12.31,1.051,0.778,0.2117,0.4863,0.2281,
0.0,4867.0,339.2,698.6,409.3,0.851,30.86,39.5,36.36,50.99,58.77,0.0,257.3,0.9957,8.799,8.641,2.577,7.166,16.76,15.58,34.36,26.22,0.0,257.3,0.9957,8.799,8.641,2.577,7.166,16.76,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.28,12.52,6.838,320.2,3.126,2.741,3.485,3.139,4.735,0.0,8.27E-5,11.27,27.05,174.4,110.6,0.7671,0.5974,0.9165,0.6671,0.9614,0.0,0.0,4587000.0,48040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.182E-4,0.0,191000.0,238000.0,20440.0,17240.0,1016000.0,10270.0,13640.0,8285.0,11000.0,11630.0,0.0,1.9710000000000002E-34,6.154000000000001E-34,2.609E-33,1.1959999999999999E-33,4.365E-34,1.338E-33,1.823E-32,2.184E-34,9.133999999999999E-33,5.146E-34,2.08E-35,0.0,19.72,25.72,73.47,31.95,2.719,2.028,3.879,3.643,4.977,5.859,0.0,0.0,0.9839,2.446E-4,0.001146,0.01469,0.0,0.0,0.0,0.0,0.0,0.0,0.1021,10.13,4.453,2.102,12.3,1.051,0.7779,0.2116,0.4861,0.2278,
0.0,4867.0,334.3,700.9,415.2,0.8477,30.85,39.43,36.36,50.95,58.77,0.0,257.3,0.9838,8.809,8.642,2.577,7.163,16.76,15.58,34.36,26.22,0.0,257.3,0.9838,8.809,8.642,2.577,7.163,16.76,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23,12.47,6.829,318.4,3.07,2.731,3.473,3.124,4.699,0.0,4.979E-5,11.46,26.49,171.4,110.6,0.7686,0.6619,0.9172,0.7005,0.9632,0.0,0.0,4587000.0,48040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166E-4,0.0,191000.0,273800.0,21240.0,17660.0,1057000.0,10440.0,14220.0,8621.0,11440.0,12040.0,0.0,1.8680000000000002E-34,6.104E-34,2.604E-33,1.1879999999999999E-33,4.365E-34,1.325E-33,1.823E-32,2.179E-34,9.133999999999999E-33,5.144E-34,2.08E-35,0.0,19.72,25.35,73.64,32.15,2.719,2.027,3.879,3.643,4.977,5.859,0.0,0.0,0.9839,2.446E-4,0.001146,0.01469,0.0,0.0,0.0,0.0,0.0,0.0,0.1041,10.13,4.453,2.103,12.3,1.049,0.7775,0.2111,0.4861,0.2277,
0.0,4856.0,340.0,707.3,419.2,0.8484,30.76,39.47,36.36,50.98,58.77,0.0,257.3,0.9907,8.802,8.64,2.55,7.157,16.75,15.58,34.36,26.22,0.0,257.3,0.9907,8.802,8.64,2.55,7.157,16.75,15.58,34.36,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.09,12.56,6.648,318.0,3.058,2.638,3.382,3.035,4.592,0.0,4.968E-5,10.89,25.77,167.4,110.0,0.7658,0.594,0.9057,0.6605,0.9488,0.0,0.0,4383000.0,96330.0,4867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,307800.0,21380.0,16850.0,1038000.0,10520.0,13790.0,8431.0,11200.0,12000.0,0.0,1.707E-34,6.1030000000000005E-34,2.595E-33,1.179E-33,4.363E-34,1.31E-33,1.822E-32,2.1730000000000003E-34,9.133999999999999E-33,5.142000000000001E-34,2.08E-35,0.0,18.85,25.81,74.06,32.15,2.711,2.018,3.877,3.643,4.977,5.858,0.0,0.0,0.9839,2.446E-4,0.001146,0.01469,0.0,0.0,0.0,0.0,0.0,0.0,0.1201,10.16,4.419,2.101,12.29,1.036,0.7734,0.2102,0.4852,0.2266,
