entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.699,0.2279,0.1504,0.03574,0.02699,0.04931,0.02147,0.01552,0.01206,0.01342,0.0138,0.3306,0.3306,
1.696,0.2288,0.1496,0.03562,0.02691,0.04882,0.02142,0.01547,0.01203,0.01338,0.01376,0.3331,0.3298,
1.695,0.2308,0.1494,0.03556,0.02687,0.04874,0.02138,0.01545,0.01201,0.01336,0.01374,0.3342,0.3293,
1.705,0.2274,0.1511,0.03557,0.02687,0.04875,0.02035,0.01545,0.01201,0.01336,0.01721,0.3308,0.3285,
1.714,0.2299,0.1501,0.03539,0.02685,0.04872,0.02034,0.01544,0.012,0.01336,0.02105,0.3284,0.3283,
1.713,0.2269,0.15,0.03528,0.02681,0.04874,0.02014,0.0154,0.01201,0.01336,0.02105,0.3285,0.3287,
1.712,0.2829,0.1497,0.03522,0.02677,0.04866,0.0201,0.01537,0.01199,0.01334,0.02102,0.3296,0.3282,
1.712,0.2463,0.1492,0.03524,0.02678,0.04868,0.02012,0.01538,0.012,0.01335,0.02103,0.3299,0.3284,
1.716,0.243,0.1489,0.03518,0.02674,0.0486,0.01992,0.01531,0.01193,0.01333,0.0231,0.3289,0.3281,
1.716,0.2419,0.1504,0.03514,0.0267,0.04838,0.01941,0.01517,0.01191,0.01331,0.02385,0.3293,0.3265,
1.715,0.2471,0.1501,0.03508,0.02666,0.0483,0.01938,0.01515,0.01189,0.01329,0.02381,0.3304,0.3259,
1.715,0.2425,0.1496,0.03503,0.02668,0.04833,0.01939,0.01516,0.0119,0.01329,0.02383,0.3306,0.3262,
1.713,0.2469,0.1488,0.03491,0.0266,0.04818,0.01934,0.01511,0.01186,0.01326,0.02376,0.3329,0.3252,
1.727,0.2391,0.1482,0.03487,0.02657,0.04812,0.01931,0.0151,0.01185,0.01324,0.02978,0.3282,0.3248,
1.727,0.2435,0.1482,0.03487,0.02657,0.04812,0.01931,0.0151,0.01185,0.01324,0.02978,0.3282,0.3248,
1.724,0.2481,0.1472,0.03482,0.02652,0.04804,0.01886,0.01507,0.01183,0.01322,0.02973,0.3293,0.3255,
1.739,0.2434,0.1472,0.03482,0.02652,0.04804,0.01886,0.01507,0.01183,0.01322,0.03597,0.323,0.3255,
1.738,0.2496,0.1471,0.03478,0.02654,0.04773,0.01887,0.01508,0.01183,0.01323,0.03598,0.3232,0.3256,
1.737,0.2485,0.1469,0.03472,0.02649,0.04765,0.01883,0.01505,0.01182,0.0132,0.03593,0.3243,0.3251,
1.744,0.2472,0.1466,0.03466,0.02645,0.04757,0.0188,0.01503,0.0118,0.01318,0.03958,0.3217,0.3246,
1.743,0.2475,0.1464,0.03461,0.02641,0.0475,0.01877,0.01501,0.01178,0.01316,0.03951,0.3228,0.3241,
1.743,0.2462,0.1464,0.03461,0.02641,0.0475,0.01877,0.01501,0.01178,0.01316,0.03951,0.3228,0.3241,
1.742,0.248,0.1464,0.03461,0.02641,0.0475,0.01826,0.01501,0.01178,0.01316,0.03951,0.3228,0.3246,
1.74,0.2507,0.1463,0.03454,0.02595,0.04736,0.01826,0.01501,0.01178,0.01317,0.03953,0.3229,0.3252,
1.751,0.2435,0.1464,0.03448,0.02591,0.04729,0.01798,0.01499,0.01176,0.01315,0.04562,0.3179,0.3246,
1.752,0.2527,0.1473,0.03448,0.02591,0.04729,0.01798,0.01499,0.01176,0.01315,0.04562,0.3179,0.3237,
1.75,0.2427,0.1468,0.03437,0.02582,0.04714,0.01792,0.01494,0.01173,0.0131,0.04548,0.32,0.3227,
1.748,0.2456,0.1468,0.03437,0.02582,0.04714,0.01733,0.01494,0.01173,0.0131,0.04548,0.32,0.3233,
1.748,0.2443,0.1468,0.03437,0.02582,0.04714,0.01733,0.01494,0.01173,0.0131,0.04548,0.32,0.3233,
1.749,0.295,0.1484,0.03432,0.02578,0.04707,0.01731,0.01492,0.01171,0.01309,0.04541,0.3212,0.3208,
1.748,0.2515,0.1478,0.03427,0.02575,0.047,0.01728,0.0149,0.01169,0.01307,0.04535,0.3223,0.3206,
1.75,0.2494,0.1476,0.03416,0.02589,0.047,0.01728,0.0149,0.01169,0.01485,0.04358,0.3224,0.3206,
1.749,0.249,0.1476,0.03378,0.026,0.04702,0.01729,0.01491,0.0117,0.01485,0.04359,0.3225,0.3207,
1.749,0.2504,0.1475,0.03368,0.02608,0.04703,0.01704,0.01491,0.0119,0.01533,0.04292,0.3225,0.321,
1.748,0.2533,0.147,0.03379,0.02608,0.04696,0.01732,0.01458,0.01188,0.01531,0.04286,0.3237,0.3206,
1.761,0.2517,0.1465,0.03365,0.02622,0.0474,0.01732,0.01458,0.01188,0.01737,0.04588,0.3186,0.3206,
1.757,0.3286,0.1457,0.03378,0.02621,0.04741,0.02334,0.008778,0.01191,0.01706,0.04582,0.3198,0.3202,
1.757,0.2834,0.1449,0.03391,0.02626,0.04744,0.02336,0.008785,0.01192,0.01707,0.04586,0.3201,0.3204,
1.759,0.2487,0.1444,0.03383,0.02632,0.04747,0.02337,0.009007,0.01171,0.019,0.04397,0.3203,0.3207,
1.758,0.2495,0.1443,0.03374,0.02632,0.04748,0.02348,0.008905,0.01172,0.019,0.04398,0.3203,0.3207,
1.759,0.2636,0.1443,0.03373,0.02639,0.04733,0.02376,0.00863,0.0123,0.01879,0.04362,0.3204,0.3208,
1.758,0.2608,0.1437,0.03361,0.0264,0.04737,0.02378,0.008637,0.01247,0.01865,0.04365,0.3207,0.321,
1.757,0.263,0.1435,0.03355,0.02639,0.0473,0.02374,0.008623,0.01245,0.01862,0.04358,0.3218,0.3205,
1.756,0.2512,0.143,0.03349,0.02636,0.04724,0.02371,0.008612,0.01243,0.0188,0.04333,0.3229,0.3201,
1.757,0.2535,0.1427,0.03366,0.02639,0.0471,0.02371,0.008615,0.01244,0.01936,0.04278,0.3231,0.3202,
1.757,0.2543,0.1426,0.0337,0.02648,0.04665,0.02372,0.008618,0.01274,0.01907,0.0428,0.3232,0.3204,
1.759,0.2551,0.1423,0.0337,0.02651,0.04686,0.02383,0.008516,0.01274,0.02005,0.04267,0.3224,0.3204,
1.758,0.2587,0.1416,0.0336,0.02648,0.04703,0.02379,0.008505,0.01272,0.02002,0.04261,0.3236,0.32,
1.76,0.2662,0.1411,0.03366,0.02654,0.04739,0.02379,0.01527,0.005957,0.02022,0.04371,0.3223,0.32,
