RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,9600000.0,9600000.0,
4356000.0,1037000.0,783400.0,1421000.0,623300.0,450400.0,350100.0,389600.0,400500.0,9696000.0,9600000.0,
4356000.0,1037000.0,783400.0,1421000.0,623300.0,450400.0,350100.0,389600.0,400500.0,9745000.0,9600000.0,
4404000.0,1037000.0,783400.0,1421000.0,593200.0,450400.0,350100.0,389600.0,501800.0,9643000.0,9577000.0,
4378000.0,1032000.0,783200.0,1421000.0,593200.0,450400.0,350100.0,389600.0,613900.0,9580000.0,9577000.0,
4373000.0,1029000.0,781700.0,1421000.0,587100.0,448900.0,350100.0,389600.0,613900.0,9580000.0,9585000.0,
4373000.0,1029000.0,781700.0,1421000.0,587100.0,448900.0,350100.0,389600.0,613900.0,9627000.0,9585000.0,
4353000.0,1029000.0,781700.0,1421000.0,587100.0,448900.0,350100.0,389600.0,613900.0,9627000.0,9585000.0,
4353000.0,1029000.0,781700.0,1421000.0,582300.0,447700.0,348600.0,389600.0,675500.0,9614000.0,9592000.0,
4402000.0,1029000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,698200.0,9639000.0,9557000.0,
4402000.0,1029000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,698200.0,9687000.0,9557000.0,
4384000.0,1026000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,698200.0,9687000.0,9557000.0,
4374000.0,1026000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,698200.0,9785000.0,9557000.0,
4359000.0,1026000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,876100.0,9656000.0,9557000.0,
4359000.0,1026000.0,781600.0,1416000.0,568200.0,444100.0,348600.0,389500.0,876100.0,9656000.0,9557000.0,
4337000.0,1026000.0,781600.0,1416000.0,555700.0,444100.0,348600.0,389500.0,876100.0,9704000.0,9592000.0,
