cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,2.0760000000000002E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,315.3,750.4,349.0,2.876,30.76,39.57,36.31,50.98,59.21,0.0,257.0,0.8646,9.728,8.201,2.648,7.271,16.77,15.59,34.38,26.1,0.0,257.0,0.8646,9.728,8.201,2.648,7.271,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.04,9.974,6.973,335.0,2.862,2.781,3.529,3.15,4.664,0.0,4.955E-5,24.14,26.75,207.9,130.3,0.465,0.6349,1.1,0.8408,1.159,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302E-4,0.0,191000.0,61960.0,17780.0,17110.0,922400.0,8927.0,12140.0,7375.0,9750.0,10050.0,0.0,8.334E-35,5.89E-34,2.728E-33,1.087E-33,4.681000000000001E-34,1.423E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,2.0760000000000002E-35,0.0,17.62,24.21,79.66,29.14,3.94,2.008,3.881,3.645,4.979,5.911,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02731,9.715,4.362,1.995,13.01,1.063,0.7791,0.2114,0.4861,0.2223,
0.0,4855.0,314.6,731.9,353.0,1.183,30.64,39.59,36.35,51.0,59.25,0.0,257.0,0.8715,10.12,8.115,2.275,7.681,16.69,15.51,34.26,25.95,0.0,257.0,0.8715,10.12,8.115,2.275,7.681,16.69,15.51,34.26,25.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33,10.51,7.605,332.2,3.146,2.752,3.515,3.154,4.76,0.0,4.967E-5,24.8,42.02,191.7,135.6,0.4732,0.6663,1.14,0.8753,1.207,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211E-4,0.0,191000.0,95230.0,22620.0,16870.0,883000.0,9175.0,11800.0,7170.0,9544.0,9980.0,0.0,1.037E-34,5.875E-34,2.7059999999999998E-33,1.0489999999999999E-33,4.892E-34,1.3729999999999999E-33,1.825E-32,2.298E-34,9.146E-33,5.301E-34,2.0760000000000002E-35,0.0,18.54,24.22,79.57,28.14,4.097,1.995,3.884,3.651,4.983,5.917,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783,9.721,4.342,1.953,12.98,1.054,0.7843,0.2177,0.494,0.2349,
0.0,4855.0,316.2,731.0,368.4,0.8089,30.64,39.58,36.35,51.0,59.25,0.0,257.0,0.9017,10.09,8.115,2.275,8.241,16.4,15.43,34.17,25.83,0.0,257.0,0.9017,10.09,8.115,2.275,8.241,16.4,15.43,34.17,25.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29,10.5,7.591,330.4,3.112,2.746,3.499,3.143,4.735,0.0,4.967E-5,24.58,41.49,176.3,136.0,0.4733,0.6704,1.14,0.8775,1.207,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,122700.0,22510.0,16150.0,880600.0,9166.0,11760.0,7102.0,9505.0,9904.0,0.0,9.753E-35,5.953E-34,2.692E-33,1.038E-33,4.892E-34,1.354E-33,1.8240000000000002E-32,2.292E-34,9.144999999999999E-33,5.298E-34,2.0760000000000002E-35,0.0,18.54,24.41,79.37,28.14,4.097,1.996,3.884,3.651,4.983,5.917,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783,9.717,4.346,1.953,12.98,1.047,0.7864,0.2181,0.4946,0.2356,
0.0,4882.0,317.5,706.1,401.2,0.5567,30.17,42.63,37.83,47.27,59.01,0.0,257.1,0.9463,9.845,8.277,2.258,8.171,16.87,15.56,33.78,25.68,0.0,257.1,0.9463,9.845,8.277,2.258,8.171,16.87,15.56,33.78,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29,10.49,7.539,328.6,3.109,2.724,3.477,3.122,4.71,0.0,4.995E-5,24.43,40.59,140.7,136.6,0.4729,0.691,1.145,0.872,1.207,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.183E-4,0.0,191000.0,146700.0,22720.0,15650.0,902300.0,9344.0,12640.0,7635.0,8824.0,10100.0,0.0,9.741E-35,5.601E-34,2.5359999999999998E-33,1.125E-33,3.7090000000000003E-34,1.185E-33,1.986E-32,1.2059999999999999E-33,6.977E-33,4.542E-34,2.0760000000000002E-35,0.0,19.03,24.63,76.9,29.89,4.095,1.949,4.184,3.795,4.619,5.894,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129,9.703,4.292,1.978,12.97,1.046,0.8324,0.2441,0.4349,0.2328,
0.0,4891.0,324.1,686.9,411.7,0.531,30.03,43.11,37.87,47.65,58.19,0.0,257.2,0.753,9.99,8.299,2.077,8.23,13.02,15.3,24.52,39.06,0.0,257.2,0.753,9.99,8.299,2.077,8.23,13.02,15.3,24.52,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,30.82,3.279,318.3,2.964,2.631,3.557,3.41,5.084,0.0,3.658E-4,5.541,19.79,203.7,108.5,0.4441,0.2765,0.7552,0.4274,0.6837,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023E-4,0.0,191000.0,159400.0,48110.0,10520.0,908700.0,9614.0,11850.0,7641.0,8803.0,10340.0,0.0,1.25E-34,5.4330000000000005E-34,2.462E-33,1.14E-33,4.002E-34,1.173E-33,2.009E-32,1.22E-33,7.056E-33,1.273E-34,2.0760000000000002E-35,0.0,19.82,23.88,75.15,30.6,5.008,1.937,4.24,3.813,4.669,5.83,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649,8.88,4.371,1.887,13.74,1.031,0.8418,0.2501,0.4435,0.2284,
0.0,4891.0,316.4,695.8,403.0,0.5311,30.03,43.13,37.87,47.66,58.19,0.0,257.2,0.6511,10.49,8.279,1.7,8.23,13.02,15.3,24.4,39.17,0.0,257.2,0.6511,10.49,8.279,1.7,8.23,13.02,15.3,24.4,39.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,5.297,3.505,342.6,2.942,3.007,3.956,3.843,5.599,0.0,5.003E-5,5.359,17.28,211.5,108.2,0.4459,0.2884,0.7809,0.4517,0.7189,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205E-4,0.0,191000.0,176100.0,21930.0,10780.0,960800.0,10100.0,11820.0,8178.0,9197.0,11170.0,0.0,1.176E-34,5.1200000000000006E-34,2.6E-33,1.107E-33,3.1630000000000002E-34,1.1599999999999999E-33,2.009E-32,1.218E-33,7.055E-33,1.255E-34,2.0760000000000002E-35,0.0,19.82,23.1,78.33,30.66,2.615,1.935,4.211,3.781,4.634,5.788,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649,8.899,3.874,1.884,14.22,1.032,0.8494,0.2581,0.4522,0.2391,
0.0,4905.0,320.8,689.8,397.6,0.5311,29.93,43.13,37.87,47.66,58.19,0.0,257.4,0.7314,10.41,8.156,1.692,8.217,13.02,15.3,24.4,39.17,0.0,257.4,0.7314,10.41,8.156,1.692,8.217,13.02,15.3,24.4,39.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.393,3.599,340.8,2.896,3.0,3.925,3.827,5.564,0.0,5.017E-5,6.568,18.71,204.2,103.8,0.4087,0.2827,0.7278,0.4342,0.6826,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225E-4,0.0,191000.0,196500.0,23770.0,10590.0,974100.0,10320.0,11840.0,8068.0,9293.0,11390.0,0.0,1.709E-34,5.939E-34,2.509E-33,1.037E-33,3.159E-34,1.146E-33,2.009E-32,1.217E-33,7.053999999999999E-33,1.251E-34,2.0760000000000002E-35,0.0,21.04,23.73,77.59,29.52,2.624,1.926,4.211,3.783,4.635,5.789,0.0,0.0,0.9976,0.001134,0.001219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2112,8.934,3.917,1.855,14.14,1.017,0.8493,0.2569,0.4518,0.2382,
0.0,4924.0,406.4,605.2,384.9,0.5372,29.93,43.59,37.23,47.82,58.19,0.0,257.5,1.35,9.779,8.016,1.692,8.218,13.02,15.29,24.4,39.17,0.0,257.5,1.35,9.779,8.016,1.692,8.218,13.02,15.29,24.4,39.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.65,6.64,3.575,338.1,2.888,2.976,3.889,3.796,5.522,0.0,5.037E-5,6.76,18.49,196.7,103.8,0.4087,0.2839,0.7275,0.4346,0.6826,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,202800.0,27760.0,10420.0,1006000.0,10760.0,12240.0,8166.0,9666.0,11910.0,0.0,2.277E-34,5.943E-34,2.506E-33,9.625E-34,3.1900000000000002E-34,1.137E-33,2.032E-32,8.937E-34,7.135E-33,1.251E-34,2.0760000000000002E-35,0.0,22.83,32.32,69.09,27.63,2.625,1.926,4.256,3.72,4.651,5.789,0.0,0.0,0.9678,0.03112,0.00112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879,8.882,3.977,1.771,14.14,1.017,0.8579,0.2448,0.4549,0.2382,
0.0,4924.0,325.8,690.3,409.3,0.5373,29.9,43.6,37.23,47.82,58.19,0.0,257.5,0.8244,10.38,7.939,1.692,8.203,13.02,15.29,24.4,39.17,0.0,257.5,0.8244,10.38,7.939,1.692,8.203,13.02,15.29,24.4,39.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.84,6.384,3.572,336.3,2.833,2.966,3.877,3.781,5.487,0.0,5.037E-5,39.05,24.75,129.2,103.8,0.4086,0.2757,0.7271,0.4317,0.6826,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,207800.0,22770.0,10200.0,1034000.0,11250.0,12140.0,8507.0,9934.0,12570.0,0.0,2.2090000000000003E-34,5.9010000000000004E-34,2.523E-33,9.331E-34,3.1900000000000002E-34,1.1239999999999999E-33,2.031E-32,8.931E-34,7.135E-33,1.248E-34,2.0760000000000002E-35,0.0,22.84,24.57,77.31,27.16,2.625,1.923,4.256,3.72,4.651,5.789,0.0,0.0,0.9957,0.003075,0.001201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013,8.911,3.932,1.786,14.14,1.004,0.8579,0.2448,0.4548,0.2382,
