R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
2.0E-35,0.92,3099999.9999999995,3600.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,4.0,2.9E-8,0.0,0.0,0.0,15000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3600.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,4.0,3.4E-6,0.0,0.0,0.0,48000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3500.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,5.0,2.1E-5,0.0,0.0,0.0,74000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3500.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,5.0,6.6E-5,0.0,0.0,0.0,96000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3500.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,6.0,1.5E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3500.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,6.0,3.1E-4,0.0,0.0,0.0,130000.0,1.0,5.0E8,
1.8999999999999998E-35,0.92,3099999.9999999995,3500.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,9.5,0.24,0.24,0.0,6.0,5.7E-4,0.0,0.0,0.0,150000.0,1.0,5.0E8,
1.8999999999999998E-35,9.8,3299999.9999999995,110000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3399999.9999999995,99.0,0.9,0.9,0.0,9.0,0.0087,0.0,0.0,0.0,160000.0,1.0,5.0E8,
2.8E-36,1.5,3099999.9999999995,9700.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3199999.9999999995,15.0,0.28,0.28,0.0,10.0,0.0066,0.0,0.0,0.0,160000.0,1.0,5.0E8,
