entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.052,0.2279,0.2985,0.0709,0.05354,0.09783,0.04259,0.03078,0.02393,0.02663,0.02738,0.164,0.164,
1.749,0.2277,0.1639,0.03903,0.02869,0.05352,0.02345,0.01695,0.01317,0.01466,0.01507,0.3147,0.3169,
1.748,0.2287,0.1636,0.03898,0.02865,0.05327,0.02341,0.01692,0.01315,0.01464,0.01505,0.3158,0.3165,
1.748,0.231,0.1635,0.03898,0.02866,0.05328,0.02342,0.01693,0.01316,0.01464,0.01505,0.3159,0.3165,
1.745,0.2398,0.1635,0.03898,0.02866,0.05328,0.02257,0.01693,0.01316,0.01464,0.01505,0.3159,0.3174,
1.743,0.2252,0.1632,0.03899,0.02867,0.05319,0.02182,0.01674,0.01316,0.01465,0.01506,0.316,0.3185,
1.742,0.2094,0.1632,0.03898,0.02868,0.0527,0.02184,0.01675,0.01317,0.01465,0.01506,0.3162,0.3187,
1.74,0.2112,0.1633,0.03898,0.02869,0.05238,0.02128,0.01676,0.01317,0.01466,0.01506,0.3163,0.3194,
1.74,0.2561,0.1628,0.03901,0.0287,0.05241,0.02129,0.01677,0.01318,0.01467,0.01507,0.3165,0.3196,
1.738,0.2166,0.1625,0.03902,0.02872,0.05243,0.02063,0.01677,0.01318,0.01467,0.01508,0.3166,0.3204,
1.734,0.2157,0.1617,0.03873,0.02864,0.05229,0.01992,0.01673,0.01315,0.01463,0.01504,0.319,0.3202,
1.734,0.2131,0.1616,0.03855,0.02865,0.05231,0.01993,0.01674,0.01315,0.01464,0.01504,0.3191,0.3203,
1.734,0.215,0.1614,0.03856,0.02866,0.05232,0.01993,0.01674,0.01316,0.01464,0.01505,0.3192,0.3204,
1.731,0.2128,0.1613,0.03857,0.02866,0.05233,0.01909,0.0167,0.0131,0.01464,0.01505,0.3192,0.3214,
1.729,0.2121,0.1608,0.03851,0.02862,0.05226,0.01859,0.01667,0.01308,0.01462,0.01503,0.3204,0.3214,
1.729,0.2212,0.1604,0.03845,0.02864,0.05229,0.0186,0.01668,0.01309,0.01463,0.01504,0.3206,0.3216,
1.727,0.2196,0.1601,0.0384,0.02861,0.05188,0.01858,0.01666,0.01307,0.01461,0.01502,0.3218,0.3212,
1.723,0.2203,0.159,0.03829,0.02843,0.05155,0.01806,0.01662,0.01304,0.01457,0.01498,0.3241,0.3213,
