RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2400000.0,2400000.0,
4356000.0,1037000.0,762600.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,8364000.0,8424000.0,
4355000.0,1037000.0,762600.0,1418000.0,623200.0,450400.0,350200.0,389600.0,400500.0,8406000.0,8424000.0,
4350000.0,1037000.0,762600.0,1418000.0,623200.0,450400.0,350200.0,389600.0,400500.0,8406000.0,8424000.0,
4350000.0,1037000.0,762600.0,1418000.0,600600.0,450400.0,350200.0,389600.0,400500.0,8406000.0,8447000.0,
4339000.0,1037000.0,762600.0,1415000.0,580500.0,445400.0,350100.0,389600.0,400400.0,8406000.0,8472000.0,
4339000.0,1036000.0,762500.0,1401000.0,580500.0,445300.0,350000.0,389500.0,400300.0,8406000.0,8472000.0,
4339000.0,1036000.0,762300.0,1392000.0,565300.0,445300.0,350000.0,389500.0,400300.0,8406000.0,8487000.0,
4324000.0,1036000.0,762300.0,1392000.0,565300.0,445300.0,350000.0,389500.0,400300.0,8406000.0,8487000.0,
4314000.0,1036000.0,762300.0,1392000.0,547700.0,445300.0,350000.0,389500.0,400300.0,8406000.0,8505000.0,
4304000.0,1031000.0,762300.0,1392000.0,530100.0,445300.0,350000.0,389500.0,400300.0,8490000.0,8522000.0,
4299000.0,1026000.0,762300.0,1392000.0,530100.0,445300.0,350000.0,389500.0,400300.0,8490000.0,8522000.0,
4294000.0,1026000.0,762300.0,1392000.0,530100.0,445300.0,350000.0,389500.0,400300.0,8490000.0,8522000.0,
4289000.0,1026000.0,762300.0,1392000.0,507700.0,444100.0,348400.0,389500.0,400300.0,8490000.0,8547000.0,
4284000.0,1026000.0,762300.0,1392000.0,495200.0,444100.0,348400.0,389500.0,400300.0,8533000.0,8560000.0,
4271000.0,1024000.0,762300.0,1392000.0,495200.0,444100.0,348400.0,389500.0,400300.0,8533000.0,8560000.0,
4266000.0,1023000.0,762200.0,1382000.0,495200.0,444100.0,348400.0,389400.0,400200.0,8575000.0,8560000.0,
4250000.0,1023000.0,759700.0,1377000.0,482600.0,444100.0,348400.0,389400.0,400200.0,8661000.0,8586000.0,
4245000.0,1023000.0,759600.0,1373000.0,482500.0,444000.0,348400.0,389400.0,400100.0,8748000.0,8586000.0,
4241000.0,1023000.0,758400.0,1368000.0,482500.0,444000.0,348400.0,389400.0,400100.0,8792000.0,8586000.0,
4231000.0,1023000.0,758400.0,1368000.0,482500.0,444000.0,348400.0,389400.0,400100.0,8792000.0,8586000.0,
4212000.0,1022000.0,758400.0,1363000.0,482500.0,444000.0,348400.0,389400.0,400100.0,8792000.0,8600000.0,
4207000.0,1022000.0,758400.0,1363000.0,482500.0,444000.0,348400.0,389400.0,400100.0,8924000.0,8600000.0,
4207000.0,1022000.0,758400.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,8969000.0,8624000.0,
4207000.0,1022000.0,758400.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,9014000.0,8624000.0,
4207000.0,1022000.0,758400.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,9014000.0,8624000.0,
4201000.0,1021000.0,758400.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,9014000.0,8631000.0,
4198000.0,1019000.0,758100.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,9059000.0,8631000.0,
4198000.0,1019000.0,758100.0,1363000.0,459200.0,444000.0,348400.0,389400.0,400100.0,9150000.0,8631000.0,
4193000.0,1019000.0,758000.0,1359000.0,459100.0,444000.0,348300.0,389300.0,400100.0,9150000.0,8631000.0,
4170000.0,1019000.0,758000.0,1354000.0,459100.0,444000.0,348300.0,389300.0,400100.0,9150000.0,8654000.0,
4161000.0,1023000.0,758200.0,1354000.0,464300.0,442700.0,353300.0,380500.0,400100.0,9150000.0,8654000.0,
4125000.0,1020000.0,758800.0,1388000.0,451700.0,446600.0,446000.0,362400.0,321600.0,9196000.0,8666000.0,
4120000.0,1020000.0,762800.0,1388000.0,463900.0,440800.0,445600.0,372800.0,305200.0,9196000.0,8666000.0,
4120000.0,1020000.0,763600.0,1388000.0,463900.0,440800.0,445600.0,372800.0,305200.0,9196000.0,8666000.0,
4119000.0,1017000.0,767300.0,1383000.0,463900.0,448400.0,438000.0,378800.0,299200.0,9196000.0,8666000.0,
4114000.0,1017000.0,768100.0,1383000.0,463900.0,448400.0,438000.0,378800.0,299200.0,9196000.0,8666000.0,
