RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4368000.0,1038000.0,783600.0,1427000.0,623300.0,450500.0,350200.0,389700.0,400600.0,8364000.0,8396000.0,
4346000.0,1032000.0,782600.0,1423000.0,622100.0,450500.0,350200.0,389600.0,400600.0,8406000.0,8420000.0,
4321000.0,1030000.0,782600.0,1423000.0,622100.0,450500.0,350200.0,389600.0,400600.0,8406000.0,8442000.0,
4311000.0,1030000.0,782600.0,1423000.0,608500.0,449000.0,350200.0,389600.0,400600.0,8448000.0,8457000.0,
4311000.0,1030000.0,782600.0,1423000.0,585900.0,449000.0,350200.0,389600.0,400600.0,8448000.0,8480000.0,
4293000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8575000.0,8514000.0,
4293000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8575000.0,8514000.0,
4272000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8575000.0,8530000.0,
4272000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8618000.0,8530000.0,
4272000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8661000.0,8530000.0,
4251000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8705000.0,8551000.0,
4236000.0,1027000.0,782200.0,1423000.0,571800.0,445400.0,350200.0,389600.0,400600.0,8705000.0,8551000.0,
4223000.0,1026000.0,781400.0,1403000.0,571700.0,445300.0,350000.0,389500.0,400400.0,8748000.0,8551000.0,
4204000.0,1015000.0,781400.0,1390000.0,571700.0,445300.0,350000.0,389500.0,400400.0,8792000.0,8569000.0,
4201000.0,1014000.0,781100.0,1385000.0,571700.0,445300.0,350000.0,389500.0,400400.0,8792000.0,8569000.0,
4196000.0,1014000.0,781100.0,1385000.0,564200.0,445300.0,350000.0,389500.0,400400.0,8836000.0,8576000.0,
4196000.0,1014000.0,781100.0,1385000.0,551600.0,445300.0,350000.0,389500.0,400400.0,8836000.0,8589000.0,
4191000.0,1009000.0,780600.0,1380000.0,551600.0,445300.0,350000.0,389500.0,400400.0,8836000.0,8589000.0,
4171000.0,1009000.0,780600.0,1380000.0,551600.0,445300.0,350000.0,389500.0,400400.0,8836000.0,8589000.0,
4165000.0,1004000.0,780300.0,1371000.0,551400.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8589000.0,
4156000.0,1003000.0,780300.0,1371000.0,551400.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8589000.0,
4151000.0,1003000.0,772700.0,1371000.0,538900.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8609000.0,
4141000.0,1003000.0,772700.0,1371000.0,538900.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8609000.0,
4136000.0,1003000.0,772700.0,1371000.0,526300.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8621000.0,
4131000.0,1001000.0,770400.0,1371000.0,526300.0,445300.0,349900.0,389500.0,400300.0,8880000.0,8621000.0,
4113000.0,1001000.0,769000.0,1361000.0,526300.0,445300.0,349900.0,389500.0,400300.0,8924000.0,8635000.0,
4108000.0,998100.0,766600.0,1361000.0,526300.0,445300.0,349900.0,389500.0,400300.0,8924000.0,8635000.0,
4103000.0,998100.0,766600.0,1361000.0,526300.0,445300.0,349900.0,389500.0,400300.0,8924000.0,8635000.0,
4097000.0,998100.0,766500.0,1352000.0,526300.0,445300.0,349800.0,389400.0,400200.0,8924000.0,8635000.0,
4097000.0,998100.0,766500.0,1352000.0,526300.0,445300.0,349800.0,389400.0,400200.0,8969000.0,8635000.0,
4092000.0,998000.0,766500.0,1348000.0,526200.0,445200.0,349800.0,389400.0,400100.0,8969000.0,8635000.0,
4074000.0,998000.0,767900.0,1354000.0,532200.0,439200.0,349800.0,389400.0,400100.0,8969000.0,8635000.0,
4068000.0,999000.0,767900.0,1354000.0,532200.0,439200.0,349800.0,403400.0,386000.0,9014000.0,8635000.0,
4066000.0,999300.0,769700.0,1354000.0,828300.0,149500.0,372500.0,394400.0,365900.0,9014000.0,8635000.0,
4063000.0,1001000.0,771900.0,1354000.0,828300.0,149500.0,378500.0,398400.0,355900.0,9014000.0,8635000.0,
4059000.0,995100.0,766500.0,1349000.0,828300.0,155500.0,442400.0,328500.0,355900.0,9014000.0,8649000.0,
4058000.0,994200.0,769200.0,1349000.0,828300.0,155500.0,442400.0,341900.0,342500.0,9059000.0,8649000.0,
4057000.0,993600.0,769700.0,1345000.0,834900.0,148800.0,442400.0,341800.0,342400.0,9059000.0,8649000.0,
4056000.0,989600.0,768500.0,1345000.0,823300.0,143600.0,442400.0,341500.0,342300.0,9059000.0,8668000.0,
4051000.0,991400.0,771300.0,1345000.0,823300.0,143600.0,468500.0,315400.0,342300.0,9104000.0,8668000.0,
4013000.0,994100.0,772000.0,1380000.0,823300.0,143600.0,468500.0,315400.0,342300.0,9104000.0,8668000.0,
3859000.0,1147000.0,772700.0,1380000.0,823300.0,143600.0,468500.0,315400.0,342300.0,9150000.0,8668000.0,
3856000.0,1147000.0,775100.0,1380000.0,823300.0,143600.0,478600.0,305300.0,342300.0,9150000.0,8668000.0,
3855000.0,1147000.0,776100.0,1376000.0,823200.0,143600.0,478500.0,315400.0,332200.0,9196000.0,8668000.0,
3855000.0,1146000.0,777200.0,1367000.0,829100.0,137500.0,484500.0,309300.0,332100.0,9241000.0,8668000.0,
3854000.0,1146000.0,777800.0,1362000.0,829100.0,137500.0,484500.0,327900.0,313500.0,9241000.0,8668000.0,
3852000.0,1147000.0,777700.0,1358000.0,829100.0,137500.0,484500.0,345900.0,295300.0,9241000.0,8668000.0,
3852000.0,1147000.0,778200.0,1358000.0,829100.0,137500.0,484500.0,352000.0,289300.0,9288000.0,8668000.0,
3851000.0,1145000.0,780300.0,1354000.0,829100.0,137500.0,484400.0,367000.0,274200.0,9288000.0,8668000.0,
3850000.0,1144000.0,780700.0,1351000.0,829100.0,137500.0,493900.0,415200.0,216600.0,9288000.0,8668000.0,
3831000.0,1142000.0,782600.0,1370000.0,829100.0,137500.0,493900.0,415200.0,216600.0,9288000.0,8668000.0,
3827000.0,1143000.0,785300.0,1370000.0,829100.0,137500.0,493900.0,415200.0,216600.0,9288000.0,8668000.0,
3821000.0,1143000.0,785600.0,1365000.0,829000.0,137500.0,493900.0,415100.0,216600.0,9288000.0,8668000.0,
3821000.0,1142000.0,787200.0,1351000.0,828800.0,137400.0,493800.0,415100.0,216400.0,9334000.0,8668000.0,
3820000.0,1140000.0,788900.0,1351000.0,828800.0,137400.0,493800.0,462000.0,169500.0,9334000.0,8668000.0,
3820000.0,1139000.0,789900.0,1342000.0,828600.0,137400.0,493700.0,490700.0,140700.0,9334000.0,8668000.0,
3818000.0,1141000.0,790400.0,1342000.0,828600.0,137400.0,498600.0,485900.0,140700.0,9334000.0,8668000.0,
