cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.96E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.59E-35,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,2.08E-35,0.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,4844.0,371.5,689.0,345.9,3.618,30.76,39.57,36.31,50.98,59.21,0.0,257.0,0.7633,9.818,8.213,2.647,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7633,9.818,8.213,2.647,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.08,10.69,7.096,335.4,3.146,2.856,3.607,3.25,4.87,0.0,4.96E-5,23.5,31.68,212.1,131.0,0.4798,0.6395,1.117,0.8484,1.172,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,78830.0,18400.0,17430.0,927000.0,9616.0,12340.0,7572.0,10000.0,10540.0,0.0,8.59E-35,6.551E-34,2.9109999999999997E-33,1.094E-33,4.683E-34,1.385E-33,1.8240000000000002E-32,2.206E-34,9.135E-33,5.158E-34,2.08E-35,0.0,17.61,28.38,75.38,29.25,3.949,2.009,3.881,3.645,4.979,5.912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.156,4.926,2.016,12.98,1.073,0.7804,0.2136,0.4887,0.2288,
0.0,4844.0,369.7,678.7,376.2,1.183,30.77,39.58,36.31,50.98,59.21,0.0,257.0,0.7841,9.664,8.284,2.672,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.7841,9.664,8.284,2.672,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.28,11.7,8.059,335.4,3.116,2.854,3.565,3.237,4.842,0.0,4.96E-5,26.17,31.62,192.2,128.6,0.4413,0.6238,1.063,0.8249,1.134,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248E-4,0.0,0.0,111800.0,22570.0,18530.0,887600.0,9321.0,11970.0,7098.0,9666.0,10140.0,0.0,8.59E-35,6.4810000000000005E-34,2.884E-33,1.099E-33,4.806E-34,1.3189999999999999E-33,1.8240000000000002E-32,2.194E-34,9.133999999999999E-33,5.149000000000001E-34,2.08E-35,0.0,17.61,28.48,74.57,29.81,3.912,2.01,3.881,3.646,4.98,5.913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.216,4.884,2.084,12.91,1.072,0.7802,0.2117,0.488,0.2274,
0.0,4844.0,380.7,667.8,390.8,0.8284,30.77,39.58,36.31,50.98,59.21,0.0,257.0,0.8497,9.554,8.327,2.671,7.274,16.77,15.59,34.38,26.1,0.0,257.0,0.8497,9.554,8.327,2.671,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35,11.74,8.084,331.4,3.078,2.822,3.558,3.208,4.799,0.0,8.194E-5,25.88,30.57,179.0,128.7,0.4557,0.6273,1.083,0.8326,1.149,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,72.72,136100.0,22380.0,17820.0,884500.0,9467.0,12030.0,7095.0,9734.0,10240.0,0.0,8.592000000000001E-35,6.541E-34,2.858E-33,1.109E-33,4.805E-34,1.257E-33,1.8240000000000002E-32,2.181E-34,9.133999999999999E-33,5.14E-34,2.08E-35,0.0,17.62,29.23,73.52,30.12,3.909,2.01,3.881,3.647,4.98,5.913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05924,9.15,4.882,2.097,12.9,1.072,0.7802,0.2125,0.4882,0.2279,
0.0,4848.0,365.3,625.6,387.4,0.758,30.7,39.56,36.31,50.97,59.21,0.0,257.0,1.24,9.608,7.695,2.728,7.255,16.78,15.6,34.39,26.11,0.0,257.0,1.24,9.608,7.695,2.728,7.255,16.78,15.6,34.39,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.78,14.06,8.45,327.3,3.071,2.825,3.553,3.21,4.798,0.0,1.037E-4,37.59,56.9,194.7,129.4,0.456,0.6851,1.139,0.9093,1.236,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,116.4,160800.0,31930.0,19740.0,885300.0,9748.0,12290.0,7147.0,9919.0,10440.0,0.0,9.588E-35,6.677E-34,2.755E-33,1.182E-33,4.757E-34,1.197E-33,1.8240000000000002E-32,2.1710000000000003E-34,9.133E-33,5.1340000000000005E-34,2.08E-35,0.0,17.95,28.95,72.11,30.9,4.245,2.003,3.89,3.657,4.993,5.929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09326,9.309,5.013,2.126,12.58,1.057,0.7794,0.2115,0.487,0.2264,
0.0,4852.0,360.1,623.7,399.3,0.7354,32.4,39.54,36.37,50.99,59.26,0.0,257.1,1.137,9.484,7.878,2.726,7.221,16.78,15.6,34.39,26.11,0.0,257.1,1.137,9.484,7.878,2.726,7.221,16.78,15.6,34.39,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.51,14.27,8.456,327.4,3.016,2.815,3.54,3.195,4.763,0.0,0.002955,32.7,60.54,184.7,129.4,0.4567,0.7129,1.139,0.9237,1.237,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199E-4,0.0,157.0,180300.0,30290.0,19940.0,927400.0,10260.0,12790.0,7377.0,10300.0,10860.0,0.0,1.029E-34,6.584E-34,2.7359999999999997E-33,1.2139999999999999E-33,4.757E-34,1.127E-33,1.8240000000000002E-32,2.159E-34,9.133E-33,5.125E-34,2.08E-35,0.0,18.26,28.69,71.7,30.83,4.245,2.323,3.891,3.665,4.997,5.936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323,9.269,5.033,2.114,12.6,1.059,0.7794,0.2115,0.487,0.2264,
0.0,4858.0,353.2,626.4,405.1,0.7289,32.84,39.6,36.48,51.11,58.43,0.0,257.1,1.157,9.437,7.883,2.726,6.552,16.73,15.54,34.31,26.95,0.0,257.1,1.157,9.437,7.883,2.726,6.552,16.73,15.54,34.31,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.27,14.3,8.375,323.9,2.968,2.809,3.504,3.178,4.725,0.0,0.003241,32.73,60.42,173.8,129.4,0.4574,0.7421,1.14,0.9388,1.238,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,249.1,194400.0,30170.0,19870.0,965900.0,10690.0,13240.0,7623.0,10660.0,11270.0,0.0,1.24E-34,6.624E-34,2.7159999999999998E-33,1.197E-33,4.757E-34,1.082E-33,1.8240000000000002E-32,2.154E-34,9.133E-33,5.132E-34,2.08E-35,0.0,18.87,28.36,71.65,30.4,4.245,2.367,3.899,3.677,5.011,5.852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1958,9.183,5.094,2.092,12.6,1.051,0.7784,0.2114,0.4867,0.2294,
0.0,4858.0,353.0,624.7,413.0,0.7238,32.25,40.02,36.56,51.11,58.42,0.0,257.1,1.158,9.472,7.847,2.726,6.557,16.72,15.54,34.31,26.95,0.0,257.1,1.158,9.472,7.847,2.726,6.557,16.72,15.54,34.31,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19,14.27,8.323,322.1,2.954,2.808,3.485,3.172,4.711,0.0,0.003241,32.92,60.33,167.8,129.4,0.4588,0.7992,1.14,0.9684,1.24,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021E-4,0.0,251.3,214700.0,30760.0,20300.0,1027000.0,11380.0,13890.0,8055.0,11250.0,11920.0,0.0,1.24E-34,6.622000000000001E-34,2.72E-33,1.1799999999999999E-33,4.757E-34,1.07E-33,1.812E-32,2.705E-34,9.162999999999999E-33,5.124000000000001E-34,2.08E-35,0.0,18.87,28.36,71.67,30.39,4.245,2.307,3.948,3.685,5.014,5.852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1958,9.148,5.115,2.098,12.6,1.052,0.7742,0.2118,0.4866,0.2293,
0.0,4880.0,353.2,624.3,393.3,0.7211,32.25,39.97,36.56,51.08,58.42,0.0,257.3,1.196,9.44,7.636,2.726,6.557,16.72,15.54,34.31,26.95,0.0,257.3,1.196,9.44,7.636,2.726,6.557,16.72,15.54,34.31,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.16,14.26,8.275,319.3,2.924,2.78,3.456,3.142,4.667,0.0,0.00331,33.15,60.27,165.4,129.4,0.4601,0.8542,1.141,0.9969,1.241,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136E-4,0.0,299.7,229500.0,31430.0,20720.0,1075000.0,11880.0,14420.0,8382.0,11700.0,12430.0,0.0,1.8770000000000002E-34,6.6900000000000005E-34,2.7109999999999998E-33,1.1079999999999999E-33,4.757E-34,1.027E-33,1.811E-32,2.694E-34,9.162E-33,5.1160000000000005E-34,2.08E-35,0.0,20.76,28.57,71.49,28.46,4.245,2.307,3.948,3.685,5.014,5.852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862,9.13,5.119,2.009,12.59,1.048,0.7757,0.2119,0.4867,0.2293,
0.0,4880.0,353.7,624.7,422.0,0.722,23.71,40.02,36.56,51.11,58.42,0.0,257.3,1.234,9.388,7.73,2.726,6.463,16.72,15.54,34.31,26.95,0.0,257.3,1.234,9.388,7.73,2.726,6.463,16.72,15.54,34.31,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,14.95,8.158,314.8,2.911,2.732,3.4,3.094,4.606,0.0,0.00331,32.64,59.85,145.3,129.4,0.4587,0.7976,1.14,0.9676,1.239,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,299.7,238500.0,31620.0,20430.0,1056000.0,11650.0,13860.0,8264.0,11320.0,12120.0,0.0,1.8770000000000002E-34,6.71E-34,2.703E-33,1.113E-33,4.757E-34,9.741E-34,1.811E-32,2.683E-34,9.162E-33,5.1090000000000005E-34,2.08E-35,0.0,20.76,28.91,71.03,28.69,4.245,2.073,3.948,3.685,5.014,5.852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862,9.105,5.139,2.009,12.58,1.047,0.7757,0.2118,0.4867,0.2292,
