bead1Er,bead1Pm,bead2Er,bead2Pm,bead3Er,bead3Pm,bead4Er,bead4Pm,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,EEA1Er,EEA1Pm,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,FeCyCy,FeEnEr,FeEnPm,FeEnRabA,FeEnRabB,FeEnRabC,FeEnRabD,FeEnRabE,FeEnRabF,FeEnRabG,FeEnRabH,FeEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,M6PREr,M6PRPm,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,NH3CyEr,NH3CyPm,NH3EnEr,NH3EnPm,NH4EnEr,NH4EnPm,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,TfEnEr,TfEnPm,TfEnRabA,TfEnRabB,TfEnRabC,TfEnRabD,TfEnRabE,TfEnRabF,TfEnRabG,TfEnRabH,TfEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.8,6.877,2.079,3.338,0.2802,0.0135,0.006456,0.003923,0.001243,0.001527,0.08183,103.4,4.291,10.64,3.979E-4,7.354E-4,0.006989,3.459E-4,0.009822,0.008191,0.004762,0.005418,0.009201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291,10.64,3.979E-4,7.354E-4,0.006989,3.459E-4,0.009822,0.008191,0.004762,0.005418,0.009201,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.3,6.941,9.741,6.294,117.2,1.958,1.948,1.83,1.868,1.471,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.31,1.895,0.2581,2.306,0.09427,0.003922,0.00246,0.001919,4.812E-4,5.475E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,653.8,548500.0,2388.0,1380.0,718.1,160.1,330.5,96.56,84.23,138.3,105.4,1.041E-39,2.3740000000000003E-36,9.07E-37,2.942E-37,6.11E-37,3.848E-38,2.648E-39,1.304E-39,7.773E-40,2.201E-40,2.803E-40,1.618E-40,1.3360000000000001E-36,5.1099999999999994E-37,1.604E-37,2.95E-37,2.147E-38,1.014E-39,4.389E-40,2.609E-40,8.449999999999999E-41,1.066E-40,2.504E-4,0.4101,0.1568,0.04993,0.09693,0.006614,3.776E-4,1.747E-4,1.053E-4,3.177E-5,3.94E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83E-5,0.0903,2.028E-4,3.233E-5,1.53E-5,9.25E-6,6.783E-6,3.917E-6,3.406E-6,1.483E-6,9.362E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,7.602,2.09,3.378,0.2747,0.0135,0.006575,0.004133,0.001337,0.00161,0.08183,103.4,4.291,10.64,4.089E-4,7.359E-4,0.006917,4.022E-4,0.009822,0.008193,0.00476,0.005419,0.009224,1.072E-48,0.0,6.221E-43,5.566E-39,1.85E-39,4.025E-40,1.0829999999999999E-39,6.795E-42,3.46E-42,1.826E-42,2.643E-42,2.209E-42,4.291,10.64,4.089E-4,7.359E-4,0.006917,4.022E-4,0.009822,0.008193,0.00476,0.005419,0.009224,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,17.84,9.949,6.215,114.4,1.713,1.9,1.772,1.814,1.432,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,2.048,0.2491,2.346,0.09444,0.003919,0.002489,0.001865,5.045E-4,5.679E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995E-5,653.4,955200.0,134100.0,12870.0,9050.0,641700.0,7888.0,7786.0,7075.0,6543.0,6373.0,1.041E-39,1.9320000000000002E-36,9.521999999999999E-37,2.612E-37,4.75E-37,3.991E-38,2.2739999999999998E-39,1.106E-39,6.967E-40,2.294E-40,2.847E-40,1.618E-40,1.329E-36,5.49E-37,1.584E-37,2.974E-37,1.885E-38,1.0059999999999999E-39,4.421E-40,2.9999999999999998E-40,8.622999999999999E-41,1.094E-40,2.504E-4,0.4078,0.1715,0.05038,0.0979,0.006507,3.777E-4,1.783E-4,1.169E-4,3.461E-5,4.189E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.252E-4,3.147E-5,1.485E-5,9.202E-6,6.643E-6,3.92E-6,3.404E-6,1.486E-6,9.959E-7,0.0,1.685E-41,3.894E-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,7.552,2.1,3.38,0.2732,0.0135,0.006568,0.004127,0.001328,0.001606,0.08183,103.4,4.291,10.64,4.072E-4,7.366E-4,0.006917,4.027E-4,0.009822,0.008192,0.00476,0.005419,0.009227,4.31E-48,0.0,1.4930000000000003E-42,9.846E-39,2.5649999999999997E-39,5.399E-40,1.2109999999999999E-39,2.8709999999999997E-41,7.795E-42,2.5510000000000002E-42,3.2430000000000004E-42,5.3150000000000006E-42,4.291,10.64,4.072E-4,7.366E-4,0.006917,4.027E-4,0.009822,0.008192,0.00476,0.005419,0.009227,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,23.23,12.33,6.198,110.8,1.647,1.806,1.686,1.718,1.362,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,2.046,0.2446,2.347,0.09462,0.003919,0.002486,0.001862,5.006E-4,5.662E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985E-5,653.3,955200.0,281700.0,21930.0,15540.0,1146000.0,13890.0,13950.0,12420.0,11680.0,11160.0,1.041E-39,1.4600000000000001E-36,9.626E-37,2.506E-37,3.815E-37,4.245E-38,2.104E-39,9.678E-40,6.118E-40,2.263E-40,2.902E-40,1.618E-40,1.329E-36,5.262E-37,1.542E-37,2.964E-37,1.596E-38,9.425E-40,4.2449999999999995E-40,2.941E-40,7.877E-41,9.735E-41,2.504E-4,0.4078,0.1703,0.0508,0.09795,0.006468,3.777E-4,1.781E-4,1.167E-4,3.435E-5,4.178E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.254E-4,3.126E-5,1.502E-5,9.223E-6,6.649E-6,3.919E-6,3.403E-6,1.485E-6,1.001E-6,0.0,1.685E-41,3.911E-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,7.551,2.097,3.382,0.2711,0.01475,0.006879,0.004127,0.001328,0.001606,0.08183,103.4,4.291,10.64,4.052E-4,7.363E-4,0.006919,4.006E-4,0.009823,0.008193,0.00476,0.005419,0.009227,7.931E-48,0.0,2.117E-42,1.914E-38,2.524E-39,5.611E-40,1.081E-39,3.5529999999999995E-41,9.39E-42,2.5650000000000003E-42,2.988E-42,5.1140000000000004E-42,4.291,10.64,4.052E-4,7.363E-4,0.006919,4.006E-4,0.009823,0.008193,0.00476,0.005419,0.009227,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,38.15,12.29,6.143,106.6,1.581,1.725,1.616,1.644,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,2.045,0.2438,2.349,0.09291,0.004612,0.002659,0.001862,5.006E-4,5.662E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98E-5,653.3,955200.0,440400.0,28540.0,20410.0,1505000.0,18330.0,18630.0,16320.0,15540.0,14550.0,1.041E-39,1.1950000000000001E-36,9.893E-37,2.472E-37,3.436E-37,4.4E-38,2.2329999999999998E-39,9.597999999999999E-40,5.843E-40,2.293E-40,2.982E-40,1.618E-40,1.329E-36,4.9919999999999995E-37,1.492E-37,2.953E-37,1.3729999999999999E-38,9.722E-40,4.307E-40,2.893E-40,7.288999999999999E-41,8.739999999999999E-41,2.504E-4,0.4078,0.1702,0.05074,0.09802,0.006412,4.113E-4,1.865E-4,1.167E-4,3.435E-5,4.178E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.254E-4,3.112E-5,1.493E-5,9.275E-6,6.676E-6,3.926E-6,3.403E-6,1.485E-6,1.001E-6,0.0,1.685E-41,3.909E-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,7.538,2.106,3.38,0.2693,0.01484,0.006582,0.003873,9.435E-4,0.00157,0.08183,103.4,4.291,10.64,4.097E-4,7.644E-4,0.006918,5.205E-4,0.009804,0.008141,0.004735,0.005386,0.0092,1.4329999999999998E-47,0.0,2.9860000000000005E-42,2.863E-38,2.693E-39,8.633E-40,9.13E-40,3.065E-41,7.134E-42,2.834E-42,1.492E-42,4.6110000000000005E-42,4.291,10.64,4.097E-4,7.644E-4,0.006918,5.205E-4,0.009804,0.008141,0.004735,0.005386,0.0092,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,49.17,10.24,5.802,105.8,1.783,1.303,1.252,1.11,1.367,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,2.042,0.2452,2.352,0.09088,0.004616,0.002521,0.001744,3.229E-4,5.074E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98E-5,653.3,955200.0,567500.0,34810.0,26180.0,1822000.0,23040.0,21630.0,18980.0,17520.0,17780.0,1.041E-39,9.025E-37,1.0340000000000001E-36,2.508E-37,3.2769999999999998E-37,4.526E-38,2.2599999999999998E-39,8.718E-40,5.119E-40,1.3779999999999999E-40,2.833E-40,1.618E-40,1.329E-36,4.516E-37,1.4519999999999999E-37,2.933E-37,1.185E-38,9.156E-40,4.013E-40,2.737E-40,5.183E-41,8.401999999999999E-41,2.504E-4,0.4078,0.1699,0.05107,0.09798,0.006404,4.15E-4,1.78E-4,1.095E-4,2.331E-5,4.173E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.253E-4,3.124E-5,1.494E-5,9.328E-6,6.684E-6,3.915E-6,3.394E-6,1.47E-6,1.003E-6,0.0,1.685E-41,3.908E-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,7.055,2.374,3.506,0.2539,0.01481,0.006581,0.002917,9.426E-4,0.001564,0.08183,103.4,4.291,10.64,3.957E-4,7.39E-4,0.006944,5.074E-4,0.009801,0.008141,0.004733,0.005386,0.009199,2.343E-47,0.0,3.7320000000000005E-42,2.859E-38,4.155E-39,1.939E-39,7.2529999999999996E-40,2.612E-41,5.973E-42,1.445E-42,1.1890000000000001E-42,4.134E-42,4.291,10.64,3.957E-4,7.39E-4,0.006944,5.074E-4,0.009801,0.008141,0.004733,0.005386,0.009199,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,94.4,6.273,1.409,104.6,1.741,1.333,1.273,1.116,1.385,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,1.927,0.2365,2.475,0.08777,0.004615,0.002521,0.001301,3.229E-4,5.073E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97E-5,653.3,955200.0,628900.0,37000.0,28210.0,2097000.0,26720.0,24700.0,21770.0,19960.0,20470.0,1.041E-39,7.097E-37,1.012E-36,3.088E-37,3.4589999999999997E-37,4.437E-38,2.2959999999999998E-39,8.724E-40,3.412E-40,1.396E-40,2.913E-40,1.618E-40,1.329E-36,3.58E-37,1.6479999999999999E-37,2.998E-37,9.296E-39,8.533E-40,3.876E-40,1.662E-40,4.907999999999999E-41,7.411E-41,2.504E-4,0.4078,0.1562,0.06039,0.1017,0.006004,4.14E-4,1.78E-4,7.536E-5,2.328E-5,4.15E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.281E-4,2.978E-5,1.411E-5,8.984E-6,6.673E-6,3.915E-6,3.396E-6,1.47E-6,1.003E-6,0.0,1.685E-41,3.904E-45,5.104E-48,1.0950000000000001E-48,6.877E-49,2.987E-51,3.446E-52,1.681E-49,3.313E-52,2.099E-51,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.1,6.872,2.454,3.562,0.252,0.01356,0.006265,0.002923,9.443E-4,0.001571,0.08183,103.4,4.291,10.64,3.842E-4,6.994E-4,0.007005,4.787E-4,0.009801,0.00814,0.004733,0.005386,0.009199,3.2069999999999996E-47,0.0,4.479E-42,2.418E-38,5.513E-39,3.0169999999999996E-39,6.588E-40,1.823E-41,4.216E-42,1.2020000000000001E-42,1.0520000000000001E-42,3.7070000000000004E-42,4.291,10.64,3.842E-4,6.994E-4,0.007005,4.787E-4,0.009801,0.00814,0.004733,0.005386,0.009199,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,117.0,10.52,1.301,100.2,1.803,1.06,1.14,1.046,1.237,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.12,1.905,0.2327,2.496,0.08511,0.003919,0.002342,0.001302,3.231E-4,5.084E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.965E-5,653.3,955200.0,718600.0,40890.0,27200.0,2281000.0,32090.0,22170.0,21650.0,21080.0,20070.0,1.041E-39,5.581E-37,1.031E-36,3.299E-37,3.573E-37,4.519E-38,2.123E-39,8.252E-40,3.42E-40,1.417E-40,3.003E-40,1.618E-40,1.329E-36,3.021E-37,1.605E-37,2.992E-37,7.954E-39,7.52E-40,3.629E-40,1.642E-40,4.694999999999999E-41,6.634E-41,2.504E-4,0.4078,0.1521,0.06221,0.1031,0.005948,3.804E-4,1.695E-4,7.552E-5,2.332E-5,4.169E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824E-5,0.0903,2.27E-4,3.045E-5,1.455E-5,9.074E-6,6.646E-6,3.907E-6,3.396E-6,1.47E-6,1.003E-6,0.0,1.685E-41,3.895E-45,1.261E-47,4.183E-48,6.843E-49,3.68E-51,8.525E-52,1.685E-49,4.77E-52,2.691E-51,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.2,6.853,2.455,3.553,0.2614,0.01354,0.006333,0.003167,0.001193,0.001754,0.08183,103.4,4.291,10.64,3.872E-4,6.823E-4,0.007004,4.772E-4,0.00979,0.008079,0.004718,0.005367,0.009318,4.0149999999999996E-47,0.0,5.101E-42,2.086E-38,5.74E-39,3.595E-39,6.761E-40,1.558E-41,3.6890000000000004E-42,1.367E-42,1.2870000000000001E-42,3.379E-42,4.291,10.64,3.872E-4,6.823E-4,0.007004,4.772E-4,0.00979,0.008079,0.004718,0.005367,0.009318,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.1,128.6,10.9,1.36,96.14,1.741,1.092,1.206,1.072,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.13,1.914,0.2203,2.486,0.0881,0.003911,0.002356,0.00136,3.821E-4,5.553E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96E-5,652.9,955200.0,792100.0,46080.0,28340.0,2391000.0,34590.0,25030.0,25640.0,23980.0,25040.0,1.041E-39,4.569E-37,1.068E-36,3.364E-37,3.609E-37,4.807E-38,2.153E-39,8.419E-40,3.839E-40,1.8559999999999998E-40,3.378E-40,1.618E-40,1.329E-36,2.595E-37,1.533E-37,2.937E-37,6.905E-39,7.13E-40,3.563E-40,1.679E-40,5.067999999999999E-41,6.409E-41,2.504E-4,0.4079,0.1515,0.06215,0.1031,0.006145,3.794E-4,1.709E-4,8.075E-5,2.862E-5,4.568E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818E-5,0.0903,2.278E-4,2.958E-5,1.457E-5,9.202E-6,6.344E-6,3.904E-6,3.398E-6,1.471E-6,1.073E-6,0.0,1.685E-41,3.894E-45,1.262E-47,4.1810000000000003E-48,6.825E-49,3.9999999999999994E-51,1.0009999999999999E-51,1.686E-49,5.4409999999999996E-52,2.964E-51,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.2,6.835,2.475,3.538,0.2609,0.01353,0.006305,0.00314,0.001175,0.001724,0.08183,103.4,4.291,10.64,3.9E-4,6.881E-4,0.006993,3.533E-4,0.009789,0.008079,0.004646,0.005349,0.009531,4.755E-47,0.0,8.355E-42,1.8119999999999999E-38,5.4369999999999995E-39,3.4669999999999996E-39,4.993E-40,1.3289999999999998E-41,3.354E-42,1.2710000000000001E-42,1.2800000000000001E-42,2.95E-42,4.291,10.64,3.9E-4,6.881E-4,0.006993,3.533E-4,0.009789,0.008079,0.004646,0.005349,0.009531,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.1,138.5,9.54,1.835,93.91,1.683,0.977,1.026,1.111,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.13,1.913,0.2218,2.486,0.08608,0.003911,0.002354,0.001355,3.818E-4,5.516E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96E-5,652.9,955200.0,847800.0,47650.0,30590.0,2508000.0,35790.0,24580.0,24240.0,27680.0,20260.0,1.041E-39,3.595E-37,1.1000000000000001E-36,3.456E-37,3.66E-37,4.833E-38,2.177E-39,8.302E-40,3.772E-40,1.7569999999999999E-40,3.31E-40,1.618E-40,1.329E-36,2.2269999999999997E-37,1.481E-37,2.876E-37,6.167E-39,6.836E-40,3.52E-40,1.653E-40,5.046E-41,5.902999999999999E-41,2.504E-4,0.4079,0.1511,0.06274,0.1029,0.006133,3.793E-4,1.701E-4,8.003E-5,2.813E-5,4.486E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818E-5,0.0903,2.276E-4,2.948E-5,1.466E-5,9.152E-6,6.344E-6,3.901E-6,3.397E-6,1.473E-6,1.071E-6,0.0,1.685E-41,3.892E-45,1.262E-47,4.236E-48,6.829E-49,3.994E-51,8.494E-52,1.682E-49,8.649E-52,2.246E-51,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643,341.2,6.818,2.478,3.541,0.2603,0.01354,0.006306,0.003141,0.001175,0.001724,0.08183,103.4,4.291,10.64,3.892E-4,6.889E-4,0.006993,3.531E-4,0.009789,0.008079,0.004646,0.005349,0.009531,5.421E-47,0.0,6.716E-42,1.541E-38,5.4469999999999996E-39,3.8819999999999996E-39,3.942E-40,1.922E-41,3.0190000000000004E-42,1.1700000000000001E-42,1.15E-42,2.5560000000000003E-42,4.291,10.64,3.892E-4,6.889E-4,0.006993,3.531E-4,0.009789,0.008079,0.004646,0.005349,0.009531,212.3,855.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.1,143.4,9.583,1.807,91.44,1.338,0.9313,0.9861,1.063,1.024,0.0,0.0,0.0,0.0,0.0,0.0,0.001352,27.13,1.908,0.2294,2.484,0.08602,0.003915,0.002356,0.001356,3.822E-4,5.521E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.955E-5,652.9,955200.0,889500.0,49430.0,30660.0,2602000.0,32860.0,25000.0,24660.0,28610.0,20820.0,1.041E-39,2.714E-37,1.128E-36,3.531E-37,3.718E-37,4.91E-38,2.2019999999999998E-39,8.353E-40,3.79E-40,1.782E-40,3.368E-40,1.618E-40,1.329E-36,1.908E-37,1.419E-37,2.82E-37,5.244E-39,6.579E-40,3.4549999999999998E-40,1.63E-40,4.788999999999999E-41,5.319E-41,2.504E-4,0.4079,0.1507,0.06285,0.103,0.006118,3.795E-4,1.701E-4,8.006E-5,2.814E-5,4.487E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818E-5,0.0903,2.268E-4,2.996E-5,1.474E-5,9.319E-6,6.348E-6,3.908E-6,3.404E-6,1.475E-6,1.074E-6,0.0,1.694E-41,3.891E-45,1.265E-47,4.235E-48,6.825E-49,3.9919999999999996E-51,8.488999999999999E-52,1.681E-49,8.643E-52,2.244E-51,
