entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.409,0.2182,0.1476,0.02897,0.02604,0.02597,0.0094,0.002588,0.002081,0.002243,0.002012,0.0,0.3755,0.3776,
1.408,0.2159,0.1471,0.02899,0.02605,0.02596,0.009406,0.002588,0.002081,0.002244,0.002013,0.0,0.3757,0.3778,
1.408,0.2084,0.1467,0.02893,0.02607,0.02595,0.009411,0.00259,0.002082,0.002245,0.002014,0.0,0.376,0.378,
1.41,0.2082,0.1484,0.02895,0.02608,0.02591,0.009417,0.00259,0.002082,0.002244,0.002072,0.0,0.3762,0.3761,
1.411,0.2077,0.1481,0.02892,0.02608,0.0258,0.009324,0.002589,0.002082,0.002244,0.002579,0.0,0.3762,0.3761,
1.411,0.2067,0.148,0.02887,0.02607,0.02575,0.009327,0.00259,0.002082,0.002245,0.002579,0.0,0.3763,0.3762,
1.412,0.206,0.1479,0.02884,0.02607,0.02569,0.009326,0.002589,0.002082,0.002244,0.002831,0.0,0.3763,0.3762,
1.411,0.2053,0.1477,0.02883,0.02607,0.02569,0.00925,0.002589,0.002082,0.002244,0.002831,0.0,0.3764,0.3764,
1.415,0.2048,0.1477,0.02881,0.02605,0.02562,0.009244,0.002587,0.002081,0.002243,0.003657,0.0,0.3761,0.3759,
1.414,0.204,0.1476,0.0288,0.02601,0.02554,0.009198,0.002587,0.002081,0.002243,0.003658,0.0,0.3762,0.3761,
1.415,0.2046,0.1475,0.0288,0.02601,0.02547,0.009197,0.002587,0.002081,0.002242,0.003879,0.0,0.3762,0.3761,
1.413,0.2043,0.1471,0.02876,0.026,0.02547,0.008313,0.002566,0.002056,0.0022,0.004329,0.0,0.3762,0.3771,
1.417,0.197,0.1477,0.02874,0.02599,0.02543,0.008261,0.002564,0.002054,0.002198,0.005215,0.0,0.3759,0.3759,
1.415,0.1956,0.1472,0.02867,0.02592,0.02532,0.008183,0.002564,0.002055,0.002198,0.005215,0.0,0.376,0.3766,
1.414,0.1942,0.1471,0.02865,0.02593,0.02532,0.007915,0.002565,0.002055,0.002199,0.005216,0.0,0.3761,0.377,
1.414,0.1917,0.1469,0.02865,0.02593,0.02529,0.007917,0.002565,0.002055,0.002199,0.005217,0.0,0.3762,0.3771,
1.413,0.1907,0.1459,0.02864,0.02595,0.02522,0.007832,0.002566,0.002056,0.002201,0.005222,0.0,0.3765,0.3779,
1.412,0.1908,0.1453,0.02863,0.02596,0.0252,0.007836,0.002567,0.002057,0.002201,0.005224,0.0,0.3767,0.3783,
1.413,0.1901,0.1463,0.02863,0.02597,0.02515,0.007655,0.002567,0.002057,0.002202,0.005529,0.0,0.3768,0.3771,
1.413,0.1901,0.146,0.02864,0.02598,0.02516,0.007539,0.002568,0.002058,0.002202,0.005531,0.0,0.377,0.3774,
1.412,0.1887,0.1454,0.02863,0.02599,0.02514,0.007543,0.00257,0.002059,0.002204,0.005534,0.0,0.3772,0.3777,
1.411,0.1878,0.1446,0.02856,0.026,0.02514,0.007455,0.002571,0.00206,0.002205,0.005536,0.0,0.3773,0.3785,
1.414,0.1866,0.1454,0.02854,0.02597,0.02504,0.007454,0.002571,0.00206,0.002205,0.00624,0.0,0.3773,0.3772,
