RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
2.359E7,4629000.0,4160000.0,4150000.0,1502000.0,413500.0,332500.0,358500.0,321600.0,0.0,6.001E7,6.033E7,
2.35E7,4629000.0,4160000.0,4146000.0,1502000.0,413400.0,332400.0,358400.0,321500.0,0.0,6.001E7,6.033E7,
2.342E7,4618000.0,4160000.0,4141000.0,1502000.0,413300.0,332400.0,358300.0,321500.0,0.0,6.001E7,6.033E7,
2.367E7,4617000.0,4160000.0,4132000.0,1502000.0,413000.0,332100.0,358000.0,330400.0,0.0,6.001E7,5.998E7,
2.363E7,4613000.0,4160000.0,4116000.0,1487000.0,413000.0,332100.0,358000.0,411400.0,0.0,6.001E7,6.0E7,
2.36E7,4604000.0,4158000.0,4107000.0,1487000.0,413000.0,332100.0,358000.0,411300.0,0.0,6.001E7,6.0E7,
2.358E7,4599000.0,4158000.0,4097000.0,1487000.0,412800.0,332000.0,357800.0,451400.0,0.0,6.001E7,6.0E7,
2.354E7,4596000.0,4157000.0,4097000.0,1475000.0,412800.0,332000.0,357800.0,451400.0,0.0,6.001E7,6.001E7,
2.356E7,4596000.0,4156000.0,4088000.0,1475000.0,412800.0,332000.0,357800.0,583500.0,0.0,6.001E7,5.997E7,
2.354E7,4595000.0,4148000.0,4073000.0,1467000.0,412700.0,331900.0,357700.0,583500.0,0.0,6.001E7,5.999E7,
2.352E7,4595000.0,4148000.0,4064000.0,1467000.0,412600.0,331900.0,357700.0,618800.0,0.0,6.001E7,5.999E7,
2.346E7,4588000.0,4148000.0,4063000.0,1326000.0,409400.0,327900.0,350900.0,690600.0,0.0,6.001E7,6.015E7,
2.358E7,4588000.0,4148000.0,4059000.0,1319000.0,409300.0,327900.0,350900.0,832300.0,0.0,6.001E7,5.999E7,
2.349E7,4576000.0,4137000.0,4040000.0,1306000.0,409200.0,327900.0,350800.0,832300.0,0.0,6.001E7,6.01E7,
2.347E7,4571000.0,4137000.0,4040000.0,1263000.0,409200.0,327900.0,350800.0,832300.0,0.0,6.001E7,6.015E7,
2.343E7,4570000.0,4137000.0,4035000.0,1263000.0,409200.0,327900.0,350800.0,832300.0,0.0,6.001E7,6.016E7,
2.325E7,4565000.0,4135000.0,4019000.0,1248000.0,409000.0,327700.0,350700.0,832100.0,0.0,6.001E7,6.022E7,
2.315E7,4560000.0,4135000.0,4015000.0,1248000.0,408900.0,327600.0,350600.0,832100.0,0.0,6.001E7,6.025E7,
2.33E7,4559000.0,4135000.0,4005000.0,1219000.0,408800.0,327600.0,350600.0,880400.0,0.0,6.001E7,6.005E7,
2.323E7,4559000.0,4135000.0,4005000.0,1200000.0,408800.0,327600.0,350600.0,880400.0,0.0,6.001E7,6.008E7,
